dimension_reduction_type,model,max_depth,min_samples_split,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-20)",Decision Tree,10.0,2,3.6375665358304476,1.4637499999999999,0.2303079270105965,0.24545454545454545
"Lasso (alpha=1.0, top-20)",Decision Tree,10.0,5,3.3360405810160314,1.4293793706293705,0.21256817388362814,0.21818181818181817
"Lasso (alpha=1.0, top-20)",Decision Tree,10.0,10,3.296132973375995,1.4277178377178377,0.23755101935744544,0.24545454545454545
"Lasso (alpha=1.0, top-20)",Decision Tree,20.0,2,3.4363636363636365,1.4181818181818182,0.2164746541111983,0.22727272727272727
"Lasso (alpha=1.0, top-20)",Decision Tree,20.0,5,3.540909090909091,1.4727272727272727,0.18472324285883607,0.19090909090909092
"Lasso (alpha=1.0, top-20)",Decision Tree,20.0,10,3.5016905033899084,1.4711002886002889,0.22162792331663708,0.22727272727272727
"Lasso (alpha=1.0, top-20)",Decision Tree,30.0,2,3.7454545454545456,1.509090909090909,0.18823362267616126,0.2
"Lasso (alpha=1.0, top-20)",Decision Tree,30.0,5,3.383522727272727,1.4477272727272728,0.21392268348711183,0.21818181818181817
"Lasso (alpha=1.0, top-20)",Decision Tree,30.0,10,3.3494109046817377,1.4593037518037517,0.2107653050717311,0.21818181818181817
"Lasso (alpha=1.0, top-20)",Decision Tree,,2,3.209090909090909,1.3727272727272728,0.24759075978634823,0.2545454545454545
"Lasso (alpha=1.0, top-20)",Decision Tree,,5,3.6028409090909093,1.5068181818181818,0.18352422913051034,0.19090909090909092
"Lasso (alpha=1.0, top-20)",Decision Tree,,10,3.5524562561556614,1.4831565656565657,0.23014676984871663,0.23636363636363636
"Ridge (alpha=1.0, top-20)",Decision Tree,10.0,2,4.342386973266075,1.6053887328887329,0.24723272413522632,0.23636363636363636
"Ridge (alpha=1.0, top-20)",Decision Tree,10.0,5,4.594596569225671,1.7000857025857026,0.1964003387916431,0.18181818181818182
"Ridge (alpha=1.0, top-20)",Decision Tree,10.0,10,3.901330354069575,1.5478959478959478,0.23057781614084769,0.22727272727272727
"Ridge (alpha=1.0, top-20)",Decision Tree,20.0,2,4.754545454545455,1.7,0.2147072462569893,0.20909090909090908
"Ridge (alpha=1.0, top-20)",Decision Tree,20.0,5,4.147411616161617,1.565909090909091,0.23944692485565947,0.22727272727272727
"Ridge (alpha=1.0, top-20)",Decision Tree,20.0,10,4.124661252548157,1.5890981240981241,0.25719731701759946,0.2545454545454545
"Ridge (alpha=1.0, top-20)",Decision Tree,30.0,2,4.8090909090909095,1.6818181818181819,0.21390791027154663,0.21818181818181817
"Ridge (alpha=1.0, top-20)",Decision Tree,30.0,5,4.2972222222222225,1.5984848484848486,0.23551560090286075,0.22727272727272727
"Ridge (alpha=1.0, top-20)",Decision Tree,30.0,10,4.117177686731258,1.5753896103896103,0.25688056060328207,0.2545454545454545
"Ridge (alpha=1.0, top-20)",Decision Tree,,2,5.072727272727272,1.690909090909091,0.2501052722941933,0.2545454545454545
"Ridge (alpha=1.0, top-20)",Decision Tree,,5,4.749116161616161,1.6803030303030304,0.23842505320766189,0.23636363636363636
"Ridge (alpha=1.0, top-20)",Decision Tree,,10,4.135905640875879,1.5843001443001443,0.2654241305258747,0.2636363636363636
PCA (variance=0.95),Decision Tree,10.0,2,3.0657234741834443,1.3956352813852815,0.20905244555330316,0.20909090909090908
PCA (variance=0.95),Decision Tree,10.0,5,3.3170187434174156,1.4281673326673328,0.21552625694690067,0.23636363636363636
PCA (variance=0.95),Decision Tree,10.0,10,3.230348736156921,1.4293546176046177,0.225775135680259,0.24545454545454545
PCA (variance=0.95),Decision Tree,20.0,2,4.0,1.5454545454545454,0.25046925353213384,0.2545454545454545
PCA (variance=0.95),Decision Tree,20.0,5,3.8553661616161614,1.5598484848484846,0.223156584548175,0.22727272727272727
PCA (variance=0.95),Decision Tree,20.0,10,3.5765750589798206,1.487012987012987,0.24895830225901133,0.2545454545454545
PCA (variance=0.95),Decision Tree,30.0,2,4.290909090909091,1.6545454545454545,0.18331916886940808,0.18181818181818182
PCA (variance=0.95),Decision Tree,30.0,5,4.0063131313131315,1.5924242424242423,0.2266251027016577,0.22727272727272727
PCA (variance=0.95),Decision Tree,30.0,10,3.5942667147667144,1.5040404040404038,0.21848292637162225,0.22727272727272727
PCA (variance=0.95),Decision Tree,,2,3.7545454545454544,1.518181818181818,0.21563557654466747,0.21818181818181817
PCA (variance=0.95),Decision Tree,,5,3.8702020202020204,1.5484848484848486,0.22068609552122218,0.22727272727272727
PCA (variance=0.95),Decision Tree,,10,3.3818663505806366,1.4680375180375178,0.22562122780339425,0.23636363636363636
