dimension_reduction_type,model,alpha,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-20)",Poisson Regression,0.1,2.0562425862847027,1.1655942792243361,0.2389498432601881,0.2545454545454545
"Lasso (alpha=1.0, top-20)",Poisson Regression,0.5,1.9538416938732788,1.128935968600748,0.2723929056018608,0.2818181818181818
"Lasso (alpha=1.0, top-20)",Poisson Regression,1.0,1.9249805261724922,1.1259448898089164,0.2677068471434669,0.2818181818181818
"Lasso (alpha=1.0, top-20)",Poisson Regression,5.0,2.0002768810725664,1.1759657290867997,0.19807872945468855,0.2545454545454545
"Lasso (alpha=1.0, top-20)",Poisson Regression,10.0,2.10059549136469,1.217253624640616,0.11672258929947159,0.20909090909090908
"Ridge (alpha=1.0, top-20)",Poisson Regression,0.1,2.344606767213617,1.2541351980093973,0.22590420332355818,0.2545454545454545
"Ridge (alpha=1.0, top-20)",Poisson Regression,0.5,2.2198946532750505,1.2453741572466632,0.15004329004329003,0.20909090909090908
"Ridge (alpha=1.0, top-20)",Poisson Regression,1.0,2.1884353487698247,1.2486585738161573,0.15541858141858142,0.22727272727272727
"Ridge (alpha=1.0, top-20)",Poisson Regression,5.0,2.2328886119061933,1.2709334640382017,0.10147919876733437,0.2
"Ridge (alpha=1.0, top-20)",Poisson Regression,10.0,2.2789932507069475,1.2786562091868554,0.07966275659824046,0.2
PCA (variance=0.95),Poisson Regression,0.1,2.1520370877742128,1.2289554817541848,0.15286635586635586,0.23636363636363636
PCA (variance=0.95),Poisson Regression,0.5,2.1647182957821762,1.239158936299452,0.11924564796905222,0.21818181818181817
PCA (variance=0.95),Poisson Regression,1.0,2.184847678170442,1.2486911757389452,0.11800463404661306,0.21818181818181817
PCA (variance=0.95),Poisson Regression,5.0,2.28629286351698,1.2735293621112076,0.05965909090909091,0.18181818181818182
PCA (variance=0.95),Poisson Regression,10.0,2.3352668642573575,1.2817444582612223,0.06120749479528105,0.19090909090909092
