dimension_reduction_type,model,n_estimators,max_depth,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-20)",Random Forest,10,10.0,2.229294119160884,1.1718198431270532,0.29266153470185724,0.3
"Lasso (alpha=1.0, top-20)",Random Forest,10,20.0,2.126454545454546,1.1700000000000002,0.25358978124068615,0.2636363636363636
"Lasso (alpha=1.0, top-20)",Random Forest,10,30.0,2.289090909090909,1.22,0.22030005525096688,0.23636363636363636
"Lasso (alpha=1.0, top-20)",Random Forest,10,,2.424818181818182,1.2609090909090908,0.21999751970869405,0.20909090909090908
"Lasso (alpha=1.0, top-20)",Random Forest,20,10.0,2.1113089928199624,1.1460015948505242,0.238699232117337,0.24545454545454545
"Lasso (alpha=1.0, top-20)",Random Forest,20,20.0,2.1439545454545454,1.1890909090909092,0.2103258810155362,0.21818181818181817
"Lasso (alpha=1.0, top-20)",Random Forest,20,30.0,2.094909090909091,1.1518181818181816,0.23469028318511223,0.2545454545454545
"Lasso (alpha=1.0, top-20)",Random Forest,20,,2.0566818181818185,1.1663636363636365,0.2090829713580138,0.21818181818181817
"Lasso (alpha=1.0, top-20)",Random Forest,50,10.0,2.0635047995403974,1.1628261189288973,0.21079997427285868,0.22727272727272727
"Lasso (alpha=1.0, top-20)",Random Forest,50,20.0,1.9565999999999997,1.1361818181818182,0.2244601990211824,0.22727272727272727
"Lasso (alpha=1.0, top-20)",Random Forest,50,30.0,2.0164618181818184,1.1616363636363636,0.20719227740099552,0.20909090909090908
"Lasso (alpha=1.0, top-20)",Random Forest,50,,2.0147527272727275,1.1561818181818182,0.2152766312671907,0.21818181818181817
"Lasso (alpha=1.0, top-20)",Random Forest,100,10.0,2.065840082168825,1.163384325907051,0.23025974025974028,0.24545454545454545
"Lasso (alpha=1.0, top-20)",Random Forest,100,20.0,2.1017390909090907,1.1759090909090908,0.2222355494748658,0.21818181818181817
"Lasso (alpha=1.0, top-20)",Random Forest,100,30.0,2.049984545454546,1.1577272727272727,0.20156018594938965,0.2
"Lasso (alpha=1.0, top-20)",Random Forest,100,,1.9917336363636367,1.1380909090909093,0.22967324903326145,0.23636363636363636
"Ridge (alpha=1.0, top-20)",Random Forest,10,10.0,2.2686130196528427,1.2603784588473577,0.1904001494140169,0.24545454545454545
"Ridge (alpha=1.0, top-20)",Random Forest,10,20.0,2.406818181818182,1.2736363636363637,0.22264496058014926,0.23636363636363636
"Ridge (alpha=1.0, top-20)",Random Forest,10,30.0,2.3212727272727274,1.2363636363636363,0.21779720279720277,0.2818181818181818
"Ridge (alpha=1.0, top-20)",Random Forest,10,,2.4707272727272724,1.2799999999999998,0.19987996220950763,0.24545454545454545
"Ridge (alpha=1.0, top-20)",Random Forest,20,10.0,2.4488192769534396,1.2688625430198686,0.20344827586206898,0.24545454545454545
"Ridge (alpha=1.0, top-20)",Random Forest,20,20.0,2.364022727272727,1.2595454545454543,0.20839867498748302,0.2636363636363636
"Ridge (alpha=1.0, top-20)",Random Forest,20,30.0,2.396977272727273,1.2713636363636365,0.19827210328465913,0.24545454545454545
"Ridge (alpha=1.0, top-20)",Random Forest,20,,2.2771136363636364,1.2331818181818186,0.1786564516687188,0.23636363636363636
"Ridge (alpha=1.0, top-20)",Random Forest,50,10.0,2.277177045772249,1.2660610380522836,0.17855086436615383,0.22727272727272727
"Ridge (alpha=1.0, top-20)",Random Forest,50,20.0,2.202050909090909,1.2210909090909092,0.21287991690376193,0.2818181818181818
"Ridge (alpha=1.0, top-20)",Random Forest,50,30.0,2.3207309090909085,1.2710909090909088,0.1664148827390573,0.21818181818181817
"Ridge (alpha=1.0, top-20)",Random Forest,50,,2.2372836363636366,1.2394545454545451,0.18577279645772798,0.24545454545454545
"Ridge (alpha=1.0, top-20)",Random Forest,100,10.0,2.3356530709910297,1.2695464469915136,0.16671844901509972,0.22727272727272727
"Ridge (alpha=1.0, top-20)",Random Forest,100,20.0,2.3074359535273135,1.2682546865551299,0.17208931419457738,0.22727272727272727
"Ridge (alpha=1.0, top-20)",Random Forest,100,30.0,2.2357299999999998,1.2471818181818182,0.18260277653381102,0.24545454545454545
"Ridge (alpha=1.0, top-20)",Random Forest,100,,2.2929018181818184,1.2792727272727273,0.14162849911596032,0.2
PCA (variance=0.95),Random Forest,10,10.0,2.5283702086583677,1.279134017022923,0.19742809681732765,0.21818181818181817
PCA (variance=0.95),Random Forest,10,20.0,2.5120909090909094,1.2554545454545454,0.24790829859795374,0.2636363636363636
PCA (variance=0.95),Random Forest,10,30.0,2.4026363636363643,1.2972727272727274,0.19311942959001785,0.21818181818181817
PCA (variance=0.95),Random Forest,10,,2.3772727272727274,1.2436363636363637,0.2395499656896716,0.2727272727272727
PCA (variance=0.95),Random Forest,20,10.0,2.315154041623051,1.2383821016425711,0.21533700234367398,0.2545454545454545
PCA (variance=0.95),Random Forest,20,20.0,2.304296164772728,1.2617045454545457,0.1963959347646793,0.20909090909090908
PCA (variance=0.95),Random Forest,20,30.0,2.3687727272727273,1.2545454545454549,0.19180209364862105,0.22727272727272727
PCA (variance=0.95),Random Forest,20,,2.2506136363636364,1.226818181818182,0.18517906336088152,0.22727272727272727
PCA (variance=0.95),Random Forest,50,10.0,2.3407902928514868,1.2550804211104998,0.19056814449917897,0.22727272727272727
PCA (variance=0.95),Random Forest,50,20.0,2.358685909090909,1.245909090909091,0.18972910391316467,0.20909090909090908
PCA (variance=0.95),Random Forest,50,30.0,2.2550181818181816,1.2207272727272727,0.18415172805336744,0.21818181818181817
PCA (variance=0.95),Random Forest,50,,2.361632727272727,1.2518181818181817,0.2244877521006214,0.23636363636363636
PCA (variance=0.95),Random Forest,100,10.0,2.2957092624413944,1.2283978564456106,0.18115346252493586,0.22727272727272727
PCA (variance=0.95),Random Forest,100,20.0,2.3455080870721603,1.254059795759796,0.21127708558719757,0.24545454545454545
PCA (variance=0.95),Random Forest,100,30.0,2.2242754545454546,1.2284545454545457,0.186192513368984,0.22727272727272727
PCA (variance=0.95),Random Forest,100,,2.2308618181818183,1.2123636363636363,0.19428844215145585,0.23636363636363636
