dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,2,1.7654903434248066,1.3465097402597401,-0.2097501105974955,0.3702359232947345,0.6727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,5,1.7996246400165363,1.3641504329004328,-0.2569813646379022,0.337181455846622,0.6363636363636364
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,10,1.7252089639399961,1.3099224386724384,-0.15517661752735656,0.39463853178208347,0.6363636363636364
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,2,1.681449591059074,1.2272727272727273,-0.09731845008981255,0.4207483445527601,0.6636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,5,1.7821009618940893,1.3318181818181818,-0.23262106891340917,0.3789257391831391,0.6363636363636364
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,10,1.712365345292171,1.3090512265512269,-0.13804081398084,0.3710335561951584,0.6363636363636364
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,2,1.791393566219023,1.3,-0.24550936617911212,0.36424181140323647,0.6363636363636364
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,5,1.8058546760775385,1.3363636363636366,-0.2656993983976277,0.36655434677287946,0.6181818181818182
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,10,1.733020894370782,1.320988455988456,-0.1656618291615679,0.39043348850319065,0.6181818181818182
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,2,1.7863115884159435,1.3,-0.23845265588914533,0.386554686931803,0.6090909090909091
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,5,1.7648361013551555,1.309090909090909,-0.20885367661734078,0.39611010256405454,0.6545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,10,1.797992571385225,1.3572835497835498,-0.25470250095435865,0.3507832124975076,0.5909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,2,1.8379374518999976,1.3624253403601232,-0.31107166836250744,0.3684416365044306,0.6545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,5,1.7667038192082012,1.284809594803874,-0.2114136789882799,0.39054820589548106,0.6454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,10,1.6857800739082334,1.2756924838446577,-0.10297789763892706,0.42476733057053556,0.6454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,2,1.7989896154129508,1.3272727272727274,-0.2560944316140621,0.40638267653356047,0.6545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,5,1.747725795010606,1.2818181818181817,-0.1855273287143957,0.4130414220254216,0.6545454545454545
