dimension_reduction_type,model,alpha,l1_ratio,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",ElasticNetCV,0.025166522827031315,0.1,1.1111608542676967,0.8719684200938829,0.5207977555462953,0.7306768653825888,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",ElasticNetCV,0.019774769252896476,0.1,1.3817975872858714,1.0765379866668714,0.25893920567194095,0.6189478567463191,0.7363636363636363
PCA (n_components=50) + SMOTE,ElasticNetCV,0.8870562050273604,0.1,0.9845457793964943,0.7628667854584131,0.6237843937675728,0.7820384024627787,0.8909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",ElasticNetCV,0.026042117665646857,0.5,1.0943693301211121,0.8441136277899871,0.53517143983873,0.7252825415529276,0.8454545454545455
"Ridge->PCA (top-100, 95%var) + SMOTE",ElasticNetCV,0.028077735008236078,0.1,1.2453953935398867,0.946763854184073,0.39802356929594995,0.6774725755557938,0.8363636363636363
"ElasticNet (top-200, l1r=0.5) + SMOTE",ElasticNetCV,0.02624277071080378,0.1,1.138882961692365,0.9090748152548447,0.49658845761991954,0.725273304697055,0.8181818181818182
"ElasticNet->PCA (top-200, 95%var) + SMOTE",ElasticNetCV,0.0786032871132994,0.1,1.0563015421925492,0.8304274289180733,0.5669472455971217,0.7638741253890994,0.8545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",ElasticNetCV,0.024621469698173273,0.1,1.261758659929557,1.0161020809572496,0.3917199001396475,0.6555279820372772,0.7545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",ElasticNetCV,0.025751390609368357,0.1,1.3132399848228942,1.0619962509610343,0.34107009950976064,0.6566944921793939,0.7363636363636363
PCA (n_components=50) + SMOTE,ElasticNetCV,0.6512943176589873,0.1,1.0959082990398032,0.8125520708775908,0.5411196596405883,0.735510003520665,0.8181818181818182
"Lasso->PCA (top-100, 95%var) + SMOTE",ElasticNetCV,0.05525460616311851,0.1,1.2914892504817657,1.0096193030345268,0.36271659169123005,0.613201645655338,0.7272727272727273
"Ridge->PCA (top-100, 95%var) + SMOTE",ElasticNetCV,0.03722824284697607,0.1,1.2277232470220025,0.9449816995351047,0.4240935017693386,0.6911226788639189,0.7818181818181819
"ElasticNet (top-200, l1r=0.5) + SMOTE",ElasticNetCV,0.02710933506068638,0.1,1.2883353749494233,1.019631346221216,0.3658253413752419,0.6397132397943522,0.7545454545454545
"ElasticNet->PCA (top-200, 95%var) + SMOTE",ElasticNetCV,0.0858914036916012,0.1,1.2163216727832928,0.9501763914043821,0.4347404470821179,0.6828464507805222,0.7545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",ElasticNetCV,0.03511067813517409,0.1,1.2203883777461564,0.9437724595947388,0.430954299481874,0.6350379778018374,0.7636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",ElasticNetCV,0.03677858417632382,0.1,1.362383647233539,1.1131247865067606,0.2908308015025022,0.5214392549501796,0.7181818181818181
PCA (n_components=50) + SMOTE,ElasticNetCV,1.0003968656965834,0.1,1.1625646446131843,0.891763255124424,0.4836011781191256,0.6732146733620179,0.8636363636363636
"Lasso->PCA (top-100, 95%var) + SMOTE",ElasticNetCV,0.06895909226219599,0.1,1.2834214035444595,0.9913486221825456,0.3706538558584115,0.5875522546648448,0.7727272727272727
"Ridge->PCA (top-100, 95%var) + SMOTE",ElasticNetCV,0.06598520989135655,0.1,1.315100723572078,1.0614155295785461,0.3392014920271681,0.5608470106208152,0.7545454545454545
"ElasticNet (top-200, l1r=0.5) + SMOTE",ElasticNetCV,0.03357370408266561,0.1,1.2356438223590518,0.9758417329087131,0.41663868658996306,0.6531626867688748,0.8090909090909091
"ElasticNet->PCA (top-200, 95%var) + SMOTE",ElasticNetCV,0.04385893911550163,0.5,1.2322377021825437,0.9639591669893163,0.4198503889725159,0.6339406283400835,0.7909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",ElasticNetCV,0.0048226734709052605,1.0,1.3063703064370549,1.0703198137313539,0.3281526266189687,0.5905898812678669,0.7272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",ElasticNetCV,0.03888030602231957,0.1,1.3131831664726783,1.045772237818891,0.3211268432015475,0.5911802682036257,0.7727272727272727
PCA (n_components=50) + SMOTE,ElasticNetCV,0.6920550493792653,0.1,1.1661146899695445,0.9446929608557775,0.4646712653250431,0.6677921979141882,0.7818181818181819
