dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,10.0,1.1403155226149069,0.9257991764409189,0.4953212136736673,0.6959617306284075,0.8727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,20.0,1.2076272754304767,0.970909090909091,0.4339812676417757,0.6238721949656134,0.8363636363636363
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,30.0,1.2263397126853108,0.9827272727272727,0.4163042083654094,0.5997875848307045,0.7818181818181819
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,,1.2637965889263265,1.0281818181818183,0.38010328457788045,0.6079742487122036,0.8181818181818182
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,10.0,1.1380671444885897,0.9417377727809824,0.4973094179205354,0.6995842564753461,0.8181818181818182
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,20.0,1.128937553631732,0.9127272727272728,0.5053422504490633,0.6954026816662489,0.8272727272727273
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,30.0,1.1435491005875285,0.9095454545454545,0.49245493328201184,0.6963049860354786,0.8636363636363636
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,,1.151352959071907,0.9113636363636363,0.4855040736463947,0.6827914448472573,0.8545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,10.0,1.162736537023948,0.9230174374516106,0.4752800012888646,0.6791583017525629,0.8363636363636363
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,20.0,1.1072586952387495,0.8865454545454545,0.5241575570952015,0.7124996243642796,0.8636363636363636
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,30.0,1.1502537269505526,0.9276363636363636,0.4864860148832436,0.6823256823443059,0.8545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,,1.1220776184463275,0.9056363636363637,0.511335514498332,0.7174485716453822,0.8181818181818182
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,10.0,1.1244254855026101,0.9109031043478625,0.5092883841218199,0.7000751618763088,0.8272727272727273
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,20.0,1.1261143975474412,0.9013636363636363,0.5078131575570952,0.7117838517695925,0.8363636363636363
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,30.0,1.1379351315590724,0.9056363636363637,0.497426032845779,0.695660546858668,0.8454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,,1.120344102983949,0.8916363636363637,0.5128442391583268,0.7105871180980455,0.8727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,10.0,1.1992076593040224,0.9661775454469157,0.44184635544603135,0.6381248244376772,0.8454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,20.0,1.1797919693357346,0.97,0.45977354375160384,0.6442701202609594,0.8090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,30.0,1.207100206731367,0.9454545454545453,0.4344752373620734,0.6305583178094191,0.7818181818181819
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,,1.2604833127884645,1.008181818181818,0.383349371311265,0.5819199469511156,0.7545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,10.0,1.1746600488503607,0.9715274779524121,0.4644631322999072,0.6604195461607005,0.7727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,20.0,1.1602213738608838,0.9431818181818182,0.4775476327944572,0.6809721068855715,0.8
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,30.0,1.1889070611279924,0.9318181818181818,0.45139370028226855,0.6390947584145894,0.8090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,,1.150948225673865,0.9199999999999999,0.48586573004875544,0.6896481119795598,0.8
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,10.0,1.158167607765501,0.946341634911452,0.47939563404879115,0.6716133044104314,0.8090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,20.0,1.175561761263718,0.9598181818181819,0.4636406209905055,0.6612323618827234,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,30.0,1.159103101540152,0.9225454545454546,0.47855427251732097,0.6819185089955118,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,,1.1339921436315958,0.9227272727272727,0.5009028740056453,0.6959203713197678,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,10.0,1.1459935344031158,0.9328074536483313,0.4902827723628971,0.6906166214626565,0.8363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,20.0,1.1630187991914522,0.9458181818181819,0.4750252117013086,0.6823803959614859,0.8090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,30.0,1.1428377758099273,0.9281818181818181,0.4930861560174493,0.6892516335964383,0.8363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,,1.15341823999954,0.9415454545454545,0.48365662689248134,0.683666694831662,0.8363636363636363
PCA (n_components=50) + SMOTE,Random Forest,10,10.0,1.1072536420119874,0.8726160839761913,0.5241619003156082,0.728370574893944,0.7909090909090909
PCA (n_components=50) + SMOTE,Random Forest,10,20.0,1.1170171317966762,0.8481818181818183,0.5157332563510393,0.726505580578503,0.8454545454545455
PCA (n_components=50) + SMOTE,Random Forest,10,30.0,1.1212817341207013,0.8563636363636365,0.5120284834488067,0.7236785914970453,0.8
PCA (n_components=50) + SMOTE,Random Forest,10,,1.1197402296149683,0.8654545454545456,0.5133692584039005,0.7229785244282371,0.8545454545454545
PCA (n_components=50) + SMOTE,Random Forest,20,10.0,1.1343264527385721,0.8739799208668544,0.5006085557246627,0.7137611727645065,0.8272727272727273
PCA (n_components=50) + SMOTE,Random Forest,20,20.0,1.0462487102196893,0.8163636363636362,0.5751507569925584,0.765262723451722,0.9090909090909091
PCA (n_components=50) + SMOTE,Random Forest,20,30.0,1.044672632498291,0.8213636363636364,0.5764297857326148,0.7659010877831449,0.8636363636363636
PCA (n_components=50) + SMOTE,Random Forest,20,,1.03775325496084,0.8004545454545454,0.5820222286374134,0.7570529051047167,0.8454545454545455
PCA (n_components=50) + SMOTE,Random Forest,50,10.0,1.0327900704861828,0.8045159082703615,0.586010729750201,0.7693885283451057,0.8818181818181818
