dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,2,1.9460212941809898,1.4058873252588833,-0.46980646704551043,0.2849798163449856,0.6
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,5,1.8592375413228048,1.3917531261246838,-0.3416361061160902,0.3075664832952728,0.5909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,10,1.8269504367186056,1.4004327798043377,-0.2954435966300446,0.32421521625316546,0.5727272727272728
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,2,1.986316829071975,1.4545454545454546,-0.5313061329227611,0.30640060946957504,0.5636363636363636
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,5,1.9332125092861896,1.4234848484848484,-0.4505215015824138,0.28592077788103265,0.6
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,10,1.8407867704872,1.3938383838383839,-0.3151398770287537,0.3068848231197786,0.6
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,2,1.9679246105293955,1.4363636363636363,-0.5030792917628943,0.3386950862722196,0.5818181818181818
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,5,1.7610222868974417,1.2765151515151514,-0.20363465129871972,0.3816505897251471,0.6363636363636364
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,10,1.8773674548855166,1.3845959595959594,-0.36792897049096096,0.31390170363339376,0.6
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,2,1.9954493683925387,1.5272727272727273,-0.5454195535026942,0.27792880539292486,0.5545454545454546
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,5,1.8247561065755744,1.4007575757575756,-0.29233357924899495,0.3790868650584766,0.5909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,10,1.780035144343095,1.3388888888888888,-0.229765008104573,0.35685802744128525,0.6181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,2,1.8216169083073575,1.3124906204906206,-0.2878909014510582,0.35914075950645935,0.6636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,5,1.6939844187997437,1.2333694083694084,-0.11373995556675975,0.4098298187052143,0.6818181818181818
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,10,1.5950784071466835,1.1672308802308802,0.01251831499096201,0.45240911078451934,0.6545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,2,1.8315418244051798,1.3,-0.30196304849884514,0.33789469894831864,0.6363636363636364
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,5,1.842367547971409,1.3545454545454545,-0.3173996022581471,0.35220174590793674,0.6454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,10,1.708707246404595,1.2926010101010104,-0.13318365064082727,0.38115725947192475,0.6454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,2,1.8115789195666254,1.2636363636363637,-0.27373620733897863,0.3566742190538912,0.6090909090909091
