dimension_reduction_type,model,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",Linear Regression,1.401906167066642,1.047330426829741,0.23721372513344396,0.652957960069628,0.7818181818181819
"Ridge (alpha=1.0, top-100) + SMOTE",Linear Regression,1.4331495488677404,1.133145010236267,0.20283540813511436,0.5963406519978676,0.7181818181818181
PCA (n_components=50) + SMOTE,Linear Regression,0.9925638632041545,0.7649374998683575,0.6176316855042681,0.7825279558240322,0.9
"Lasso->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.3005192483670387,1.016561357071381,0.3435546954062316,0.618827777619974,0.7545454545454545
"Ridge->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.2903559822769608,0.9961543326543457,0.35377455131912117,0.6381420432498053,0.8363636363636363
"Lasso (alpha=1.0, top-100) + SMOTE",Linear Regression,1.3548688901044645,1.0613302002360954,0.29863262233060284,0.5750065072470609,0.7363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Linear Regression,1.388363937927624,1.151222856914893,0.26352557605012517,0.6317044330083578,0.7272727272727273
PCA (n_components=50) + SMOTE,Linear Regression,1.1139833936129873,0.8190219561756441,0.5258579710420082,0.7265928864659078,0.8363636363636363
"Lasso->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.3629564956147657,1.054721752535777,0.2902343001624412,0.5594499648774898,0.7090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.2667726506475094,0.9878616950596173,0.38687591411206357,0.66511365233554,0.7545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Linear Regression,1.5923090947664813,1.2725226444321092,0.03126325856073098,0.41845439117817596,0.6454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",Linear Regression,1.4382536404476358,1.1648487466813473,0.20964540198438186,0.4818655136466738,0.6818181818181818
PCA (n_components=50) + SMOTE,Linear Regression,1.1643403465161377,0.8876039335400739,0.48202247767354933,0.6692725145813472,0.8454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.375756291035822,1.076333706010744,0.27684060105692754,0.5228224685574326,0.7636363636363637
"Ridge->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.3808844087807437,1.1381574678716393,0.2714394145692538,0.5360137156586012,0.7363636363636363
"Lasso (alpha=1.0, top-100) + SMOTE",Linear Regression,1.489851684279152,1.1739742201689773,0.12617574512272078,0.43149905167263986,0.6818181818181818
"Ridge (alpha=1.0, top-100) + SMOTE",Linear Regression,1.3550180212819423,1.0746413404391564,0.2771833211938497,0.5794555526512928,0.7454545454545455
PCA (n_components=50) + SMOTE,Linear Regression,1.1815677504193665,0.9663582888870399,0.4503891716275348,0.6611180581013535,0.7818181818181819
"Lasso->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.372089038961174,1.10408748666606,0.2588559733494108,0.5466660157270069,0.7090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.3540460334831494,1.0585367597287252,0.2782199376764528,0.5662225829740138,0.7727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Linear Regression,1.5022813270646833,1.193202481752706,0.11959465541519898,0.5130007371897236,0.6972477064220184
"Ridge (alpha=1.0, top-100) + SMOTE",Linear Regression,1.3016948602023193,1.0285115010151986,0.3390044859027629,0.6725273201623637,0.8073394495412844
PCA (n_components=50) + SMOTE,Linear Regression,1.1407264848015435,0.8664296390104599,0.4923747903575636,0.7034161271307933,0.8073394495412844
"Lasso->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.2906965746464398,1.0498870391034307,0.3501270700827437,0.5997454205810341,0.7431192660550459
"Ridge->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.2682552686030524,0.9959840929371464,0.37252925478268895,0.6823178629697016,0.7522935779816514
