dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.4868153569299676,1.1324954780786698,0.1420162670710251,0.6473280964152128,0.7272727272727273
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.3568969557291954,1.0462231587370998,0.28540707222053463,0.666614651477426,0.7545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.2962216547165926,1.0069231857750593,0.34788600219109966,0.6730204110251488,0.7909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.263097465786411,0.9973214180424423,0.3807889396420244,0.6828668993854548,0.7636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.321884392013266,1.068354673754079,0.3218091485513148,0.6815783579912122,0.6545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,2.1372125985811676,1.4450660954063241,-0.772802799190474,0.5770818075032724,0.6545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.6248681084063634,1.1844741213099241,-0.024710548933939203,0.6322166002074634,0.7636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.3994493323782073,1.0523739598052635,0.23988494193882792,0.6638943974229137,0.7545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.129824741302366,0.9236580284433147,0.50456448077645,0.7136718137209344,0.8363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.1540612742249758,0.9558229984450319,0.4830807403625905,0.7353091486027516,0.8181818181818182
PCA (n_components=50) + SMOTE,Poisson Regression,0.1,1.1185847171085466,0.8945684421446396,0.5143730943956709,0.7430542522520168,0.8545454545454545
PCA (n_components=50) + SMOTE,Poisson Regression,0.5,1.0631189784381792,0.8496633460258943,0.56133930767203,0.7510718431495269,0.9090909090909091
PCA (n_components=50) + SMOTE,Poisson Regression,1.0,1.064212951820093,0.8525174920264812,0.5604360597080515,0.7544848613944923,0.8909090909090909
PCA (n_components=50) + SMOTE,Poisson Regression,5.0,1.3035616104361192,1.092896214448201,0.3404798000495899,0.7470214818493447,0.6727272727272727
PCA (n_components=50) + SMOTE,Poisson Regression,10.0,1.4369502421280806,1.2123286796573232,0.19860166217415354,0.7405279721708312,0.6
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.3812620789654484,1.0668852936309525,0.25951348272599994,0.6259540119257677,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.3369439366715232,1.0419963311251388,0.306268572407837,0.6231829551639555,0.7363636363636363
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3213730595339743,1.045862154471517,0.32233372383268133,0.6199870030319987,0.7454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.4246797249159806,1.1710579154889587,0.2122299507666553,0.6149713902931186,0.5909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.5065529030651024,1.2490190076347398,0.11908551572427384,0.6127776370233505,0.5818181818181818
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.6857777970422672,1.2614928593328565,-0.10297491820978388,0.6144448895083743,0.7090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.4647167202143314,1.137726328299308,0.16733126915727892,0.6185783825114108,0.7181818181818181
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3489617006798154,1.062757847882662,0.293740640049979,0.6191418307196459,0.7545454545454545
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.3633517673642102,1.1356469742560276,0.2785922086522038,0.6042381637690325,0.7090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.4603936514710902,1.2255809286041508,0.17223921064888137,0.6005849872713768,0.6181818181818182
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.495318641217874,1.1627735377855417,0.14568404909654864,0.5830660318653211,0.7090909090909091
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.4065350838757695,1.1116044740824782,0.24412121000668274,0.5987562848835934,0.7181818181818181
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.3659477470876877,1.0897449349906287,0.28711546628991913,0.6018454619397916,0.7181818181818181
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.3550478037621683,1.1002831492608154,0.2984473756412841,0.592522602226907,0.6636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.4009269855673971,1.156983412891951,0.2501368319624696,0.5845967882573477,0.6181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.8447848576749555,1.3896187604660786,-0.3002967308848512,0.6189097071412684,0.6454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.4063869460781897,1.1169545309282136,0.24428042156684593,0.6626238678424847,0.7363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.2878981854371758,1.0247663474664876,0.3662556757007269,0.6734129339790574,0.7727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.216060432182643,0.9623577446714312,0.434983233000257,0.6802552306229351,0.7727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.2519246708927732,0.9974291351647335,0.40116466837479103,0.664800123917896,0.7363636363636363
PCA (n_components=50) + SMOTE,Poisson Regression,0.1,1.1768745294575766,0.8700626543959246,0.47081034251664056,0.7073154994928263,0.8
PCA (n_components=50) + SMOTE,Poisson Regression,0.5,1.1590273564096363,0.8876035071975203,0.48673884883761687,0.7105798836059433,0.8272727272727273
PCA (n_components=50) + SMOTE,Poisson Regression,1.0,1.1702834968308267,0.9181506852656017,0.4767211499652496,0.709634687640987,0.8272727272727273
PCA (n_components=50) + SMOTE,Poisson Regression,5.0,1.358520577459872,1.1327776396357294,0.2948468303855175,0.7100404302991146,0.6181818181818182
PCA (n_components=50) + SMOTE,Poisson Regression,10.0,1.4683073293841853,1.2350154764845664,0.17626986631620334,0.7053836111546964,0.6
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.4164322167973726,1.1055572804160865,0.23344624964929794,0.5575319086754323,0.7181818181818181
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.3936618847111626,1.091917481643852,0.25789413206448863,0.558749136649815,0.7
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3902402326543912,1.0969612305516636,0.2615336245432338,0.5646370159046882,0.6909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.4808012515372393,1.22004200015854,0.16219187870452234,0.5562593521567597,0.5909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.544760995477141,1.2895924002493202,0.08825453752612678,0.5566189876946454,0.5818181818181818
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.4332758989014949,1.1225410132468379,0.2151067097571805,0.6510970877820438,0.7
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.347452774862434,1.0609612157858057,0.30628972610874583,0.6519454587944922,0.7090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3037187936648411,1.0299020655030124,0.35059014857575554,0.6521621622596285,0.7454545454545455
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.3728101817988854,1.1423574014373927,0.2799344999042175,0.639238336455862,0.6545454545454545
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.4660678567402967,1.228943100204603,0.17878066807092874,0.6342864317418966,0.6
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.8733063273160802,1.4218524280007265,-0.3408142603538402,0.41782272363086387,0.6454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.8102949979888274,1.3585031306748614,-0.2521308710377579,0.4244529275216294,0.6454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.7316971093596794,1.3174018361597621,-0.14576323946548664,0.4337296801142723,0.6727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.495232160189381,1.2058962557765602,0.1457828641364839,0.4380130315847322,0.6
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.4805767094199993,1.2179494238971942,0.16244594243673205,0.42831670419788925,0.5636363636363636
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.8309762822560511,1.4416860239957183,-0.2809036334847548,0.40878111735145395,0.5909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.5741043735248863,1.2707510613201687,0.05328758713956516,0.46375463681570894,0.6636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.470922385972766,1.19128452550077,0.17333312535206802,0.4925439226946663,0.6636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.3697834445463108,1.135089643367159,0.2831061641373839,0.5092347002221848,0.7363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.391174541693802,1.1540344407473153,0.2605407203881015,0.4961033923773304,0.6818181818181818
PCA (n_components=50) + SMOTE,Poisson Regression,0.1,1.2561667341839884,0.9996162335854548,0.3970995656556049,0.6449971157740584,0.7909090909090909
PCA (n_components=50) + SMOTE,Poisson Regression,0.5,1.2172925792793434,0.9752789683965223,0.4338376707449073,0.6490176566591402,0.7909090909090909
PCA (n_components=50) + SMOTE,Poisson Regression,1.0,1.2128668976748667,0.9792591277974257,0.43794695289232344,0.6513368448073008,0.7909090909090909
PCA (n_components=50) + SMOTE,Poisson Regression,5.0,1.3671833353871363,1.1440166230801785,0.28582518241878274,0.6548041002494815,0.6181818181818182
PCA (n_components=50) + SMOTE,Poisson Regression,10.0,1.471796021714338,1.2408618608972661,0.172350857072745,0.6498153098393227,0.5818181818181818
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.4506902152611372,1.1391795762258234,0.1959179191664312,0.5259485313098242,0.7454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.4103670854755441,1.1075339915850588,0.2399969269287744,0.5254551851232373,0.7181818181818181
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3951425793730685,1.0970795644332572,0.2563163951171544,0.5228547435416019,0.6818181818181818
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.4734567165420673,1.2225734340321814,0.17048205450669596,0.5161738218185702,0.6
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.5391699319486034,1.2932996007831323,0.09484248441954324,0.5117521489873851,0.5818181818181818
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.6618042517950353,1.2955742818293658,-0.055141614592727706,0.4648427648534146,0.6454545454545455
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.519604288096562,1.2327263966389683,0.11770861005849109,0.47779886564135016,0.6545454545454545
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.4385362839928866,1.190377177847451,0.20933473275426573,0.4916586659860244,0.6727272727272727
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.423638326996655,1.1967729929145383,0.22562671250322397,0.5227486971650457,0.6090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.4955655211355856,1.2637554710294747,0.14540192747116665,0.5277974268315189,0.5727272727272728
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.5941399435360324,1.2590240661854164,-0.00043968411252182094,0.44057163841199426,0.6545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.5076243191368748,1.1950013266844162,0.10520346952757709,0.47551516517221226,0.6454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.4591384747756664,1.1681226850367579,0.16183206755254564,0.5061553246585017,0.6545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.3924853110009343,1.145052090869922,0.23665780744482823,0.5348628894097684,0.6727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.4178172578655355,1.1676268997216896,0.20863190076502203,0.5380638935770853,0.6090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.5566478748150583,1.18546845809602,0.04606498781196444,0.5713561818763531,0.7090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.428147137749257,1.10868780526276,0.1970584529723166,0.5780441588829945,0.7181818181818181
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.3652585125208916,1.0605141797851945,0.2662167245988366,0.5716790497318462,0.7363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.3012624856610315,1.0356816998210354,0.3333961125480355,0.5731365674795005,0.7454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.3195348298821872,1.0819290469616756,0.31454375247287336,0.5692390912239058,0.7
PCA (n_components=50) + SMOTE,Poisson Regression,0.1,1.3134131421479984,1.0568490509036947,0.32088904243227345,0.5976237881196796,0.6909090909090909
PCA (n_components=50) + SMOTE,Poisson Regression,0.5,1.2661663691648362,1.0279117958871333,0.3688689152690925,0.6177891918941878,0.7272727272727273
PCA (n_components=50) + SMOTE,Poisson Regression,1.0,1.2581209472404296,1.0241428890491522,0.37686404716259825,0.6290849544385085,0.7181818181818181
PCA (n_components=50) + SMOTE,Poisson Regression,5.0,1.3896762673568779,1.154553097853311,0.2397344628622844,0.6450484636936714,0.5818181818181818
