dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,10.0,1.2673710333077606,1.026268735219661,0.37659177038690894,0.5951000099822237,0.8090909090909091
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,20.0,1.2287465897483427,0.9690909090909089,0.41401077752117,0.6118166548706852,0.7727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,30.0,1.3234939983378706,1.0563636363636362,0.3201565306646138,0.5567325752987734,0.7181818181818181
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,,1.2355344813259785,0.9872727272727273,0.40751860405440077,0.6191070086320988,0.7727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,10.0,1.2320314673493262,0.9712737027471265,0.410873473437224,0.6148757893184073,0.8
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,20.0,1.2394646938387264,0.9763636363636364,0.40374326404926864,0.6218752821463454,0.8
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,30.0,1.3120681107597758,1.0404545454545455,0.33184420708237106,0.5568154278833263,0.7545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,,1.2592566349744887,1.0045454545454546,0.38454901206055947,0.5999094335386301,0.7818181818181819
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,10.0,1.2299602452791405,0.9618795692252577,0.41285262124383537,0.6144541263642469,0.7818181818181819
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,20.0,1.232103891723421,0.9832727272727272,0.4108042083654093,0.61981658848671,0.7818181818181819
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,30.0,1.1889215892793543,0.9367272727272726,0.4513802925327174,0.6495052819171613,0.8
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,,1.2385401964336151,0.9678181818181819,0.4046324095458045,0.6203776481287461,0.7909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,10.0,1.2329847595564183,0.9813215984245259,0.40996143991177114,0.6213679129849685,0.7818181818181819
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,20.0,1.205837317536506,0.9570909090909092,0.43565794200667185,0.6407026918850068,0.7909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,30.0,1.215690226691293,0.9655454545454547,0.42639777392866307,0.6433737644912313,0.8
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,,1.242604303286229,0.9900000000000001,0.40071875801898893,0.6098480165695348,0.7636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,10.0,1.2800679781110404,1.049476624349279,0.36403817853855625,0.5650407521584571,0.7636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,20.0,1.183984029376318,0.8927272727272729,0.45592763664357205,0.6567918370290232,0.7818181818181819
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,30.0,1.143121722620681,0.9527272727272728,0.4928342314600975,0.6667648164985582,0.8727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,,1.2726850642351677,1.07,0.37135296381832184,0.5626371663292048,0.7909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,10.0,1.210167354578359,0.9894781151700365,0.43159767719864905,0.6391453865789749,0.7909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,20.0,1.2219023915785803,1.0254545454545456,0.4205205927636645,0.6178047897011917,0.7909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,30.0,1.134370069485904,0.9359090909090908,0.5005701501154733,0.7098682574411654,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,,1.1906167233069513,0.9495454545454546,0.4498147613548884,0.6493478160794047,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,10.0,1.1730638611350606,0.9506411318013492,0.46591757281744706,0.660033391668122,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,20.0,1.165682008720451,0.9309090909090911,0.4726181678214012,0.6729324396168024,0.8090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,30.0,1.1428258437272536,0.94,0.49309674108288426,0.6937904364513418,0.8
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,,1.1645397061812566,0.9556363636363633,0.47365127020785225,0.6723780311499724,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,10.0,1.133222133406705,0.9275501501631173,0.5015804438004103,0.6932814543819324,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,20.0,1.1488741524561417,0.931,0.4877170579933283,0.6850083895566978,0.8090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,30.0,1.1482757825223315,0.9340909090909091,0.48825054529124956,0.6925883335529255,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,,1.1500260866606462,0.9440000000000001,0.4866892481395946,0.6857388736161508,0.8181818181818182
PCA (n_components=50) + SMOTE,Random Forest,10,10.0,1.0534661989721916,0.8318965423512913,0.569268941116221,0.7588727961478999,0.8545454545454545
PCA (n_components=50) + SMOTE,Random Forest,10,20.0,1.0547727027874083,0.8345454545454545,0.5681998973569413,0.7624464675099982,0.8636363636363636
PCA (n_components=50) + SMOTE,Random Forest,10,30.0,1.0876162424812765,0.8472727272727274,0.5408904285347704,0.7431149144916519,0.8454545454545455
PCA (n_components=50) + SMOTE,Random Forest,10,,1.0450750299293434,0.7945454545454543,0.576103412881704,0.764745484199495,0.8818181818181818
PCA (n_components=50) + SMOTE,Random Forest,20,10.0,1.0398558247981238,0.8048364305794806,0.5803268010637768,0.7669038141153475,0.8454545454545455
PCA (n_components=50) + SMOTE,Random Forest,20,20.0,1.0096916721094973,0.7659090909090909,0.604321433153708,0.777203013466344,0.8818181818181818
PCA (n_components=50) + SMOTE,Random Forest,20,30.0,0.9805378857823626,0.7427272727272729,0.626841159866564,0.7924999638925031,0.8636363636363636
PCA (n_components=50) + SMOTE,Random Forest,20,,1.0203052128028784,0.7822727272727273,0.5959592314600975,0.77212223322705,0.8636363636363636
PCA (n_components=50) + SMOTE,Random Forest,50,10.0,1.0199185650686513,0.7968646860260612,0.5962653983706208,0.76573535184745,0.8909090909090909
PCA (n_components=50) + SMOTE,Random Forest,50,20.0,0.9797346579559182,0.7761818181818182,0.6274522709776751,0.7934537816386423,0.8727272727272727
PCA (n_components=50) + SMOTE,Random Forest,50,30.0,0.9737406785643233,0.767090909090909,0.6319967924044138,0.7863373137243884,0.9090909090909091
PCA (n_components=50) + SMOTE,Random Forest,50,,0.9921821680243275,0.7754545454545454,0.61792571208622,0.7837120668817055,0.8818181818181818
PCA (n_components=50) + SMOTE,Random Forest,100,10.0,1.007697346082984,0.7884359807343755,0.6058829647882173,0.7728477308694348,0.8909090909090909
PCA (n_components=50) + SMOTE,Random Forest,100,20.0,0.9965627289474922,0.7806363636363637,0.6145444893507827,0.779650981801714,0.8727272727272727
PCA (n_components=50) + SMOTE,Random Forest,100,30.0,0.9985912804819325,0.775909090909091,0.612973665640236,0.783061372129524,0.8818181818181818
PCA (n_components=50) + SMOTE,Random Forest,100,,1.0033240208970833,0.7891818181818182,0.6092964139081346,0.7715755308207862,0.8727272727272727
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,10,10.0,1.3592660301884172,1.069351291217666,0.2829096066213572,0.5452314146559288,0.7272727272727273
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,10,20.0,1.3171249681857002,1.0536363636363635,0.3266839876828329,0.5723178922613035,0.7454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,10,30.0,1.3057912961460991,1.0290909090909093,0.3382217090069284,0.5880470742856361,0.7363636363636363
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,10,,1.308225724198445,1.050909090909091,0.33575186040544003,0.6027922606134807,0.7090909090909091
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,20,10.0,1.2713602397328383,1.0011708746095591,0.3726610855786556,0.6148143637432825,0.7636363636363637
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,20,20.0,1.2863355281220725,1.0304545454545457,0.35779525917372335,0.5899704286898849,0.7454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,20,30.0,1.297628956632407,1.035,0.3464692391583267,0.5938120951215305,0.8
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,20,,1.3275918047351754,1.0518181818181818,0.3159401462663587,0.5649568760121856,0.7454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,50,10.0,1.2602222686914455,0.9952174147741681,0.3836047595996809,0.6267529999587569,0.7727272727272727
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,50,20.0,1.261479650684429,0.9978181818181817,0.38237413394919184,0.6209476434871911,0.7636363636363637
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,50,30.0,1.2803479640671551,1.0194545454545454,0.3637599435463178,0.611841192485171,0.7636363636363637
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,50,,1.2996628933549024,1.0223636363636361,0.3444189119835772,0.5904436727601835,0.7818181818181819
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,100,10.0,1.2887816983988787,1.003735903006772,0.355350429171556,0.5983589050060542,0.7636363636363637
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,100,20.0,1.2682457461893073,0.9965454545454545,0.3757309468822171,0.6063920495255528,0.7636363636363637
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,100,30.0,1.280148073821576,1.0055454545454545,0.3639585899409802,0.606451480553624,0.7454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,100,,1.2778476221578787,1.0092727272727273,0.36624249422632815,0.6099061359336587,0.7818181818181819
