dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,2,1.9444525060271802,1.479025853397411,-0.4674376486131677,0.28162848924514067,0.5636363636363636
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,5,1.8469853648613233,1.3930085373800951,-0.3240118921588455,0.3374727074988338,0.6090909090909091
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,10,1.7932133910902874,1.3502379746095323,-0.24804120536389807,0.37101499960237677,0.6
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,2,1.9021518914592015,1.4181818181818182,-0.40428534770336144,0.3251688378616004,0.5909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,5,1.9098363143145927,1.35,-0.41565449205941896,0.30594442933187765,0.6272727272727273
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,10,1.8349898923777161,1.3932539682539682,-0.3068698246103867,0.3502855041019721,0.5909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,2,1.937664948990267,1.3909090909090909,-0.4572106748781113,0.2769196124955467,0.6090909090909091
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,5,1.963733688665548,1.4795454545454545,-0.4966841480626121,0.2809264919646266,0.5545454545454546
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,10,1.859850522416907,1.3970418470418469,-0.34252091305448884,0.34553671105111716,0.5818181818181818
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,2,1.8973665961010275,1.4,-0.39722863741339487,0.3087414218420639,0.5818181818181818
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,5,1.9575997981449043,1.5257575757575756,-0.4873487084081771,0.2658477660014676,0.5454545454545454
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,10,1.8883911636432609,1.3908080808080807,-0.384040812221067,0.28729279991627726,0.6181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,2,1.8191418373144024,1.303445165945166,-0.2843935076224722,0.35132082979807505,0.6545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,5,1.7617785088275453,1.2932178932178933,-0.20466860794893416,0.3942358769490937,0.6363636363636364
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,10,1.6660036120263428,1.238560606060606,-0.07725087333032876,0.41090841204959067,0.6909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,2,1.8512894768978534,1.3363636363636364,-0.33018988965871165,0.3396414323114566,0.6181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,5,1.7897717251881113,1.337878787878788,-0.24325513928092835,0.34916937768550166,0.6545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,10,1.6255061776944173,1.208095238095238,-0.025515493907006803,0.4302584828251294,0.6818181818181818
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,2,1.694912172570388,1.2181818181818183,-0.11496022581472931,0.41715061751872523,0.6636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,5,1.7484119778943532,1.3242424242424244,-0.18645842243321065,0.36497085850957656,0.6454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,10,1.708740087714085,1.293611111111111,-0.1332272105808887,0.3518530073631777,0.6454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,,2,1.6787441193290353,1.2181818181818183,-0.09379009494482937,0.42154145584505104,0.6818181818181818
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,,5,1.8730882509800748,1.3878787878787882,-0.3617000613007155,0.31565950207159804,0.6090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,,10,1.603068043441866,1.2048124098124098,0.002601086154578991,0.4721477212248234,0.6818181818181818
PCA (n_components=50) + SMOTE,Decision Tree,10.0,2,1.533331133750162,1.027235663735683,0.08749156962716698,0.5051516138435385,0.7727272727272727
PCA (n_components=50) + SMOTE,Decision Tree,10.0,5,1.4540963631808888,1.0087117145665727,0.1793625088423071,0.5529304592994658,0.7818181818181819
PCA (n_components=50) + SMOTE,Decision Tree,10.0,10,1.4501370628887291,1.0351938166938361,0.18382538606367216,0.5786770335017674,0.7727272727272727
PCA (n_components=50) + SMOTE,Decision Tree,20.0,2,1.6376257758774382,1.1363636363636365,-0.040864767770079524,0.4644335375016621,0.7363636363636363
PCA (n_components=50) + SMOTE,Decision Tree,20.0,5,1.5469912146427394,1.0803030303030303,0.0711605080831409,0.5249926611923392,0.7545454545454545
PCA (n_components=50) + SMOTE,Decision Tree,20.0,10,1.5004174722735608,1.0973015873015872,0.12624594712741344,0.5410036852052382,0.7636363636363637
PCA (n_components=50) + SMOTE,Decision Tree,30.0,2,1.5344528192634188,1.0636363636363637,0.08615601744932,0.5455402490244806,0.7363636363636363
PCA (n_components=50) + SMOTE,Decision Tree,30.0,5,1.5648442011067343,1.1196969696969696,0.049598337752687405,0.5049154856981231,0.7454545454545455
PCA (n_components=50) + SMOTE,Decision Tree,30.0,10,1.576677014008471,1.1237481962481963,0.035170774997360654,0.5034623160354434,0.7545454545454545
PCA (n_components=50) + SMOTE,Decision Tree,,2,1.5285168093166777,1.0636363636363637,0.09321272773928668,0.5307963073195049,0.7636363636363637
PCA (n_components=50) + SMOTE,Decision Tree,,5,1.5458481376404554,1.1196969696969696,0.07253264619507893,0.5102754295988626,0.7363636363636363
PCA (n_components=50) + SMOTE,Decision Tree,,10,1.4973673686829618,1.088481240981241,0.1297947348845877,0.5345760333506897,0.7727272727272727
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,10.0,2,1.7970968705335209,1.2918748925805377,-0.25345270917323015,0.397348193613935,0.6454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,10.0,5,1.7076622009005191,1.2638445895502346,-0.13179796407015965,0.40559675526471706,0.6272727272727273
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,10.0,10,1.6837856159489737,1.2773835505891957,-0.10036956010288822,0.4375683106765229,0.6090909090909091
