dimension_reduction_type,model,alpha,l1_ratio,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",ElasticNetCV,0.001712073842652987,1.0,1.187885593998903,0.9356745503918437,0.45233598179354206,0.6905704371832929,0.8363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",ElasticNetCV,0.030503838104132583,0.1,1.3438968694296334,1.0631131712611073,0.29903414717989796,0.6188739618993375,0.7545454545454545
PCA (n_components=50) + SMOTE,ElasticNetCV,1.02844585584419,0.1,0.9724481095003655,0.7619931484896735,0.6329731382917276,0.7858624607940796,0.8909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",ElasticNetCV,0.0048647486264664025,0.5,1.2939524282577135,1.0138903639709829,0.3501672463501476,0.6206936225062608,0.7545454545454545
"Ridge->PCA (top-100, 95%var) + SMOTE",ElasticNetCV,0.03389360053763474,0.1,1.2591650986650176,0.9699721242097225,0.3846384839965804,0.6485796903859646,0.8363636363636363
"ElasticNet (top-200, l1r=0.5) + SMOTE",ElasticNetCV,0.0016863975517095323,1.0,1.0382921024352754,0.8343088915515968,0.5815880507842085,0.774745904751276,0.9181818181818182
"ElasticNet->PCA (top-200, 95%var) + SMOTE",ElasticNetCV,0.004207478646295612,1.0,1.0911939906811705,0.8488967595118683,0.5378649494446288,0.723121117278714,0.8636363636363636
"Lasso (alpha=1.0, top-100) + SMOTE",ElasticNetCV,0.016824243954028283,0.1,1.3042385194024924,1.019814279595358,0.35007227264934837,0.6284446596072651,0.7545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",ElasticNetCV,0.0225991900330674,0.1,1.3208392774110551,1.0875972252265036,0.33342200888262097,0.6394412077849259,0.7545454545454545
PCA (n_components=50) + SMOTE,ElasticNetCV,0.5202685876339989,0.1,1.1084063208853825,0.8181484678146084,0.5305935986813002,0.7227521633497689,0.8090909090909091
"Lasso->PCA (top-100, 95%var) + SMOTE",ElasticNetCV,0.02840604602624899,0.5,1.3638057492030977,1.0583559014278052,0.28934951937639275,0.5601784573773096,0.7181818181818181
"Ridge->PCA (top-100, 95%var) + SMOTE",ElasticNetCV,0.05432491400182257,0.1,1.2415842687262626,0.9688794653724857,0.41101610073519235,0.6754324258456467,0.7545454545454545
"ElasticNet (top-200, l1r=0.5) + SMOTE",ElasticNetCV,0.016867674893346216,0.1,1.2784122950061554,0.9711931832921302,0.37555686154039747,0.6315015616792942,0.7727272727272727
