dimension_reduction_type,model,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",Linear Regression,1.401906167066642,1.047330426829741,0.23721372513344396,0.652957960069628,0.7818181818181819
"Ridge (alpha=1.0, top-100) + SMOTE",Linear Regression,1.4331495488677404,1.133145010236267,0.20283540813511436,0.5963406519978676,0.7181818181818181
PCA (n_components=50) + SMOTE,Linear Regression,0.9835565603064336,0.771228141498703,0.624540016724594,0.7862180797451788,0.9090909090909091
"Lasso->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.3005192483670387,1.016561357071381,0.3435546954062316,0.618827777619974,0.7545454545454545
"Ridge->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.2903559822769608,0.9961543326543457,0.35377455131912117,0.6381420432498053,0.8363636363636363
"ElasticNet (top-200, l1r=0.5) + SMOTE",Linear Regression,2.406183441008797,1.302130961314723,-1.2471002340453463,0.5870714671296057,0.7272727272727273
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Linear Regression,1.0938271789748053,0.8527916618139463,0.5356318783899742,0.7221604842679524,0.8636363636363636
"Lasso (alpha=1.0, top-100) + SMOTE",Linear Regression,1.3548688901044645,1.0613302002360954,0.29863262233060284,0.5750065072470609,0.7363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Linear Regression,1.388363937927624,1.151222856914893,0.26352557605012517,0.6317044330083578,0.7272727272727273
PCA (n_components=50) + SMOTE,Linear Regression,1.1144253523680887,0.817548632974964,0.5254816767624826,0.7239002306437888,0.8181818181818182
"Lasso->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.3629564956147657,1.054721752535777,0.2902343001624412,0.5594499648774898,0.7090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.2667726506475094,0.9878616950596173,0.38687591411206357,0.66511365233554,0.7545454545454545
"ElasticNet (top-200, l1r=0.5) + SMOTE",Linear Regression,1.5232212432226482,1.2264663277965604,0.11350355978283244,0.4620256198066428,0.6545454545454545
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Linear Regression,1.3089303043657878,0.9903326835940809,0.3453878444404912,0.6113527501336433,0.7545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Linear Regression,1.5923090947664813,1.2725226444321092,0.03126325856073098,0.41845439117817596,0.6454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",Linear Regression,1.4382536404476358,1.1648487466813473,0.20964540198438186,0.4818655136466738,0.6818181818181818
PCA (n_components=50) + SMOTE,Linear Regression,1.1439744310673523,0.875164510983569,0.4999842831436403,0.6849535461755708,0.8636363636363636
"Lasso->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.375756291035822,1.076333706010744,0.27684060105692754,0.5228224685574326,0.7636363636363637
"Ridge->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.3808844087807437,1.1381574678716393,0.2714394145692538,0.5360137156586012,0.7363636363636363
"ElasticNet (top-200, l1r=0.5) + SMOTE",Linear Regression,1.894915001026261,1.3006744815937432,-0.3719253724299374,0.49174626951448375,0.7181818181818181
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Linear Regression,1.344134597834792,1.0446562887998565,0.30970211920592283,0.5596251719344084,0.8090909090909091
"Lasso (alpha=1.0, top-100) + SMOTE",Linear Regression,1.489851684279152,1.1739742201689773,0.12617574512272078,0.43149905167263986,0.6818181818181818
"Ridge (alpha=1.0, top-100) + SMOTE",Linear Regression,1.3550180212819423,1.0746413404391564,0.2771833211938497,0.5794555526512928,0.7454545454545455
PCA (n_components=50) + SMOTE,Linear Regression,1.1737431314739026,0.9581432340411417,0.45764437278584824,0.6692220412742288,0.7727272727272727
"Lasso->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.372089038961174,1.10408748666606,0.2588559733494108,0.5466660157270069,0.7090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.3540460334831494,1.0585367597287252,0.2782199376764528,0.5662225829740138,0.7727272727272727
"ElasticNet (top-200, l1r=0.5) + SMOTE",Linear Regression,1.4337246751030368,1.1743401666499533,0.19077453239225595,0.5005650983605364,0.7
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Linear Regression,1.2660814557622155,1.0202571866841328,0.3689535640043551,0.6224846129926436,0.7454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Linear Regression,1.5022813270646833,1.193202481752706,0.11959465541519898,0.5130007371897236,0.6972477064220184
"Ridge (alpha=1.0, top-100) + SMOTE",Linear Regression,1.3016948602023193,1.0285115010151986,0.3390044859027629,0.6725273201623637,0.8073394495412844
PCA (n_components=50) + SMOTE,Linear Regression,1.1385676911814901,0.8709552629957845,0.4942943059256858,0.7017614542786088,0.8348623853211009
"Lasso->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.2906965746464398,1.0498870391034307,0.3501270700827437,0.5997454205810341,0.7431192660550459
"Ridge->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.2682552686030524,0.9959840929371464,0.37252925478268895,0.6823178629697016,0.7522935779816514
"ElasticNet (top-200, l1r=0.5) + SMOTE",Linear Regression,1.4284475183897904,1.1755648400142618,0.20400798731596592,0.5408646694312372,0.7247706422018348
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Linear Regression,1.2478138212839975,0.9965146123817199,0.3925931077465664,0.6453887889133552,0.7798165137614679
