dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.4868153569299676,1.1324954780786698,0.1420162670710251,0.6473280964152128,0.7272727272727273
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.3568969557291954,1.0462231587370998,0.28540707222053463,0.666614651477426,0.7545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.2962216547165926,1.0069231857750593,0.34788600219109966,0.6730204110251488,0.7909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.263097465786411,0.9973214180424423,0.3807889396420244,0.6828668993854548,0.7636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.321884392013266,1.068354673754079,0.3218091485513148,0.6815783579912122,0.6545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,2.1372125985811676,1.4450660954063241,-0.772802799190474,0.5770818075032724,0.6545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.6248681084063634,1.1844741213099241,-0.024710548933939203,0.6322166002074634,0.7636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.3994493323782073,1.0523739598052635,0.23988494193882792,0.6638943974229137,0.7545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.129824741302366,0.9236580284433147,0.50456448077645,0.7136718137209344,0.8363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.1540612742249758,0.9558229984450319,0.4830807403625905,0.7353091486027516,0.8181818181818182
PCA (n_components=50) + SMOTE,Poisson Regression,0.1,1.108361985137953,0.8971597589165831,0.5232088109379902,0.7485547999242141,0.8636363636363636
PCA (n_components=50) + SMOTE,Poisson Regression,0.5,1.0575717799317153,0.8493573231059404,0.5659050986827678,0.7547296380751192,0.9
PCA (n_components=50) + SMOTE,Poisson Regression,1.0,1.0598995816741807,0.8448138949026937,0.5639920390325716,0.7548404803455916,0.8909090909090909
PCA (n_components=50) + SMOTE,Poisson Regression,5.0,1.303028287028161,1.0918585016719058,0.3410193458677804,0.7532378858516768,0.6727272727272727
PCA (n_components=50) + SMOTE,Poisson Regression,10.0,1.4373187587215335,1.2147784840485982,0.19819056031912374,0.7446984125973587,0.6090909090909091
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.3812620789654484,1.0668852936309525,0.25951348272599994,0.6259540119257677,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.3369439366715232,1.0419963311251388,0.306268572407837,0.6231829551639555,0.7363636363636363
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3213730595339743,1.045862154471517,0.32233372383268133,0.6199870030319987,0.7454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.4246797249159806,1.1710579154889587,0.2122299507666553,0.6149713902931186,0.5909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.5065529030651024,1.2490190076347398,0.11908551572427384,0.6127776370233505,0.5818181818181818
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.6857777970422672,1.2614928593328565,-0.10297491820978388,0.6144448895083743,0.7090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.4647167202143314,1.137726328299308,0.16733126915727892,0.6185783825114108,0.7181818181818181
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3489617006798154,1.062757847882662,0.293740640049979,0.6191418307196459,0.7545454545454545
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.3633517673642102,1.1356469742560276,0.2785922086522038,0.6042381637690325,0.7090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.4603936514710902,1.2255809286041508,0.17223921064888137,0.6005849872713768,0.6181818181818182
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.1,6.905472020843633,1.8951347223575408,-17.50766873078382,0.6039749133766603,0.7
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.5,1.4511166453579718,1.0783824005563145,0.18272234497487894,0.6732605692778391,0.7727272727272727
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,1.0,1.2798038387728168,0.9932351482367476,0.3643006102314146,0.7072660541732116,0.8090909090909091
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,5.0,1.1263255937668866,0.8977694375931133,0.5076285266740638,0.7545171903900468,0.8454545454545455
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,10.0,1.1381768531242447,0.9144388647491757,0.4972124954210778,0.751856975898707,0.8272727272727273
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.1,1.1514801017337288,0.8937321348105535,0.48539043691514316,0.7113672181806938,0.8636363636363636
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.5,1.1415159622225062,0.8792283957709615,0.49425807758191653,0.7076078178405019,0.8454545454545455
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,1.0,1.161807876836549,0.9184601906193732,0.4761178385161232,0.7050307350520164,0.8363636363636363
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,5.0,1.3691834747484597,1.1353968614399903,0.27240739706685857,0.6931475199717783,0.6181818181818182
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,10.0,1.4773367202461754,1.2317102773484923,0.15292090716090945,0.6875084194614904,0.6090909090909091
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.495318641217874,1.1627735377855417,0.14568404909654864,0.5830660318653211,0.7090909090909091
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.4065350838757695,1.1116044740824782,0.24412121000668274,0.5987562848835934,0.7181818181818181
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.3659477470876877,1.0897449349906287,0.28711546628991913,0.6018454619397916,0.7181818181818181
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.3550478037621683,1.1002831492608154,0.2984473756412841,0.592522602226907,0.6636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.4009269855673971,1.156983412891951,0.2501368319624696,0.5845967882573477,0.6181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.8447848576749555,1.3896187604660786,-0.3002967308848512,0.6189097071412684,0.6454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.4063869460781897,1.1169545309282136,0.24428042156684593,0.6626238678424847,0.7363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.2878981854371758,1.0247663474664876,0.3662556757007269,0.6734129339790574,0.7727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.216060432182643,0.9623577446714312,0.434983233000257,0.6802552306229351,0.7727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.2519246708927732,0.9974291351647335,0.40116466837479103,0.664800123917896,0.7363636363636363
PCA (n_components=50) + SMOTE,Poisson Regression,0.1,1.163678473764054,0.8602829430970002,0.4826112020382002,0.7058631252052108,0.8272727272727273
PCA (n_components=50) + SMOTE,Poisson Regression,0.5,1.1503842863089968,0.8789848088395488,0.49436526335348174,0.70673454977778,0.8272727272727273
PCA (n_components=50) + SMOTE,Poisson Regression,1.0,1.1655236094549817,0.9145139082681295,0.48096915157462117,0.7078503420876308,0.8181818181818182
PCA (n_components=50) + SMOTE,Poisson Regression,5.0,1.3613183487479787,1.1369602100301486,0.29193941948533664,0.7048902649681096,0.6272727272727273
PCA (n_components=50) + SMOTE,Poisson Regression,10.0,1.4710752429925225,1.2379458172864115,0.17316130336920443,0.6977159970584912,0.6
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.4164322167973726,1.1055572804160865,0.23344624964929794,0.5575319086754323,0.7181818181818181
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.3936618847111626,1.091917481643852,0.25789413206448863,0.558749136649815,0.7
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3902402326543912,1.0969612305516636,0.2615336245432338,0.5646370159046882,0.6909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.4808012515372393,1.22004200015854,0.16219187870452234,0.5562593521567597,0.5909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.544760995477141,1.2895924002493202,0.08825453752612678,0.5566189876946454,0.5818181818181818
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.4332758989014949,1.1225410132468379,0.2151067097571805,0.6510970877820438,0.7
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.347452774862434,1.0609612157858057,0.30628972610874583,0.6519454587944922,0.7090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3037187936648411,1.0299020655030124,0.35059014857575554,0.6521621622596285,0.7454545454545455
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.3728101817988854,1.1423574014373927,0.2799344999042175,0.639238336455862,0.6545454545454545
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.4660678567402967,1.228943100204603,0.17878066807092874,0.6342864317418966,0.6
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.1,1.748693179602691,1.3143935293318185,-0.16836423064531658,0.4903123380749649,0.6727272727272727
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.5,1.518140100269854,1.1523066734328862,0.11940802346227897,0.5498735160032753,0.7363636363636363
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,1.0,1.4284071396768534,1.1058918988320852,0.22043013117478605,0.5775055131641644,0.7454545454545455
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,5.0,1.322457180259404,1.0548646856450423,0.3317880191102399,0.6205280670617543,0.7363636363636363
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,10.0,1.3293568492610555,1.0709443589844165,0.32479729213441866,0.6225706124884645,0.6636363636363637
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.1,1.3610706185395143,1.0393317363320842,0.29219709916058,0.6057691778723657,0.7090909090909091
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.5,1.3427475714477222,1.0415833622633852,0.3111260351887353,0.6102277363997441,0.6909090909090909
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,1.0,1.3435392028024142,1.0540920015845514,0.31031352955413627,0.6107764111306212,0.6909090909090909
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,5.0,1.4534977392393482,1.193776461055652,0.19280262390716008,0.6082681837894693,0.6
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,10.0,1.5272257486052463,1.2684691679160687,0.10883628484781516,0.6065806631886207,0.5909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.8733063273160802,1.4218524280007265,-0.3408142603538402,0.41782272363086387,0.6454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.8102949979888274,1.3585031306748614,-0.2521308710377579,0.4244529275216294,0.6454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.7316971093596794,1.3174018361597621,-0.14576323946548664,0.4337296801142723,0.6727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.495232160189381,1.2058962557765602,0.1457828641364839,0.4380130315847322,0.6
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.4805767094199993,1.2179494238971942,0.16244594243673205,0.42831670419788925,0.5636363636363636
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.8309762822560511,1.4416860239957183,-0.2809036334847548,0.40878111735145395,0.5909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.5741043735248863,1.2707510613201687,0.05328758713956516,0.46375463681570894,0.6636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.470922385972766,1.19128452550077,0.17333312535206802,0.4925439226946663,0.6636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.3697834445463108,1.135089643367159,0.2831061641373839,0.5092347002221848,0.7363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.391174541693802,1.1540344407473153,0.2605407203881015,0.4961033923773304,0.6818181818181818
PCA (n_components=50) + SMOTE,Poisson Regression,0.1,1.2526818269013544,0.9962834315600242,0.40044010580277656,0.654845596657699,0.7909090909090909
PCA (n_components=50) + SMOTE,Poisson Regression,0.5,1.2083252772537108,0.9720398925926299,0.4421483246907667,0.6625039893298561,0.8
PCA (n_components=50) + SMOTE,Poisson Regression,1.0,1.2012524891121026,0.9765889032112393,0.44865984826056826,0.6644819847882276,0.8181818181818182
PCA (n_components=50) + SMOTE,Poisson Regression,5.0,1.3579158284771504,1.14041962852045,0.2954744922015756,0.6658467555473839,0.6272727272727273
PCA (n_components=50) + SMOTE,Poisson Regression,10.0,1.4656202563421517,1.23775516593207,0.17928203911758323,0.664200731354753,0.5909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.4506902152611372,1.1391795762258234,0.1959179191664312,0.5259485313098242,0.7454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.4103670854755441,1.1075339915850588,0.2399969269287744,0.5254551851232373,0.7181818181818181
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3951425793730685,1.0970795644332572,0.2563163951171544,0.5228547435416019,0.6818181818181818
