dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,10.0,1.3182357142073449,1.0402752315141695,0.3255478791903338,0.5886615531722669,0.7909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,20.0,1.222627572819369,0.9809090909090908,0.4198325635103928,0.6288697316230576,0.8181818181818182
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,30.0,1.3435028842544403,1.0518181818181818,0.2994450859635617,0.5386055819950938,0.7363636363636363
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,,1.3172975090209227,1.0254545454545456,0.3265075699255836,0.5469333144689476,0.7363636363636363
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,10.0,1.2800302586595864,1.015282419792093,0.36407565745066894,0.5662056531080294,0.7545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,20.0,1.202128793583964,0.9459090909090909,0.4391238452655888,0.6338778583893032,0.7909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,30.0,1.278271204685169,1.0277272727272728,0.36582226712856036,0.5902172022965148,0.7454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,,1.2700483169048047,1.0213636363636365,0.37395512573774703,0.5872728622271145,0.7636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,10.0,1.2451319213675631,0.9823556073734164,0.3982782470662497,0.615225403829618,0.7727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,20.0,1.2260802287259702,0.9847272727272727,0.4165511932255581,0.628866161777732,0.7636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,30.0,1.2184998228074628,0.9741818181818181,0.4237433923530922,0.6252998155751714,0.7818181818181819
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,,1.2316050134239098,0.9818181818181818,0.4112812419810111,0.6120805889881924,0.8
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,10.0,1.1893762794131897,0.9517840026471931,0.4509605850085894,0.6566434655628384,0.7909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,20.0,1.2094224767519115,0.9675454545454545,0.43229718373107506,0.6359697166187106,0.7909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,30.0,1.2289696349529404,0.9724545454545456,0.4137980177059276,0.6286224667241727,0.8
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,,1.2224487347496045,0.9673636363636362,0.42000227739286644,0.6241583770046886,0.7727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,10.0,1.2181003849090266,0.9593706291622724,0.4241211371773872,0.6058288404893702,0.8090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,20.0,1.1809472315206822,0.9554545454545456,0.4587150372081088,0.664224765408903,0.8363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,30.0,1.1424853291280055,0.9490909090909091,0.4933987682832949,0.6685860150601394,0.8363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,,1.2612043306444691,1.020909090909091,0.38264370028226846,0.5840771912932617,0.7909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,10.0,1.1448860935763747,0.9195008127692188,0.49126743572294995,0.6960856690685502,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,20.0,1.2309364506157683,0.9940909090909091,0.41192022709776754,0.5997341386369883,0.7636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,30.0,1.1715859492003293,0.9713636363636364,0.4672624775468309,0.6688023855635473,0.7727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,,1.1811877689235297,0.9531818181818181,0.45849451501154725,0.6397967530678522,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,10.0,1.1297248474135524,0.9326970911612019,0.5046520851472529,0.6955906683501094,0.8363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,20.0,1.1754302887182906,0.9563636363636364,0.46376058506543494,0.6584659232681391,0.8090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,30.0,1.1901443762685417,0.9981818181818181,0.4502512188863229,0.6447323469621612,0.8090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,,1.1610120976583709,0.9421818181818182,0.47683525789068526,0.682125555655217,0.8
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,10.0,1.1509167122312312,0.9341469617253266,0.4858938840849668,0.681287397031222,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,20.0,1.1734045260770822,0.9689090909090909,0.4656073261483191,0.6567745039102996,0.8090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,30.0,1.1610203192959985,0.9515454545454547,0.47682784834488057,0.6822218280585652,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,,1.148649800259576,0.936,0.4879171157300487,0.6855903517742076,0.8272727272727273
