dimension_reduction_type,model,C,gamma,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.345835317635415,1.1216796599878507,0.297010530646738,0.6773386411456396,0.6545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.3177919332513703,1.09207234559639,0.32600190819724006,0.6807054751112414,0.6818181818181818
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.2212675687700154,0.9985734693878896,0.42112255767879037,0.6666192699053625,0.8
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.2081103051305495,0.970863810926604,0.43352838198332655,0.6698429326049374,0.7636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.2993105027151872,1.0281790535413915,0.34477437234287567,0.614560350206783,0.7454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.298008405727614,1.029351236930174,0.34608697593634663,0.6230721128934831,0.7727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.2796030721708582,1.0707723866652181,0.3645000426629429,0.7090302936448988,0.6818181818181818
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.2796030721708582,1.0707723866652181,0.3645000426629429,0.7090302936448988,0.6818181818181818
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.144647585809643,0.9395334997263456,0.49147937650859286,0.6860582330894752,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.144647585809643,0.9395334997263456,0.49147937650859286,0.6860582330894752,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.2149492630541543,0.9915935106132736,0.4270967823733137,0.636114553385746,0.8
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.2149492630541543,0.9915935106132736,0.4270967823733137,0.636114553385746,0.8
PCA (n_components=50) + SMOTE,SVR (rbf),0.1,scale,1.3688379263407928,1.1613846166431523,0.27277460386430474,0.705534143697079,0.6272727272727273
PCA (n_components=50) + SMOTE,SVR (rbf),0.1,auto,1.3688379263407928,1.1613846166431523,0.27277460386430474,0.705534143697079,0.6272727272727273
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,scale,1.025197499200668,0.800350366586081,0.59207525212842,0.7638002305421178,0.8909090909090909
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,auto,1.025197499200668,0.800350366586081,0.59207525212842,0.7638002305421178,0.8909090909090909
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,scale,1.1113259206869215,0.8357269405076185,0.5206553709877256,0.7252409757015005,0.8727272727272727
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,auto,1.1113259206869215,0.8357269405076185,0.5206553709877256,0.7252409757015005,0.8727272727272727
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.340211011994812,1.0832804787558634,0.3028739018561357,0.6387424388815313,0.6545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.340211011994812,1.0832804787558634,0.3028739018561357,0.6387424388815313,0.6545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.300620419974811,1.0378091258158886,0.343452557417533,0.5998229466618783,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.300620419974811,1.0378091258158886,0.343452557417533,0.5998229466618783,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.3664253893203118,1.0676689391399294,0.2753357720872498,0.5453532075805223,0.7272727272727273
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.3664253893203118,1.0676689391399294,0.2753357720872498,0.5453532075805223,0.7272727272727273
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.4219914839785865,1.19897593092156,0.2152000466980295,0.5900226425809357,0.6
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.4219914839785865,1.19897593092156,0.2152000466980295,0.5900226425809357,0.6
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.258169956249023,1.060562813051143,0.3856107637422125,0.6140523231337842,0.7909090909090909
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.258169956249023,1.060562813051143,0.3856107637422125,0.6140523231337842,0.7909090909090909
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.2618624121674202,1.0478509959662958,0.38199927374852893,0.6114613850614896,0.8
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.2618624121674202,1.0478509959662958,0.38199927374852893,0.6114613850614896,0.8
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),0.1,scale,1.2810970983798406,1.0660519786705,0.3630151949167728,0.7164844363341737,0.7
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),0.1,auto,1.2407590382888922,1.028951477477381,0.40249729945289725,0.7234490256621952,0.7181818181818181
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),1.0,scale,1.1270104701520642,0.9054384689050349,0.507029559341424,0.715953317121493,0.8454545454545455
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),1.0,auto,1.102559110548891,0.8594597284687127,0.5281882612818267,0.725037764872301,0.8454545454545455
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),10.0,scale,1.1708953024988762,0.935227119045091,0.46789038703141483,0.6815506474235941,0.7818181818181819
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),10.0,auto,1.1682887204397743,0.9192407777102637,0.4702568557508231,0.6792968545906535,0.7909090909090909
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.272701987740198,1.0457140372807416,0.3713362448635491,0.6937063497520771,0.7545454545454545
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.2727019877401977,1.0457140372807416,0.3713362448635492,0.6937063497520771,0.7545454545454545
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.1807319217071515,0.9155435029325395,0.4589123929191372,0.6443076445448375,0.8363636363636363
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.1807319217071515,0.9155435029325393,0.4589123929191371,0.6443076445448375,0.8363636363636363
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.3449750131491005,1.0403903642684864,0.2979089937597954,0.5792986529127222,0.7818181818181819
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.3449750131490974,1.0403903642684853,0.2979089937597986,0.5792986529127222,0.7818181818181819
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.4534061521273005,1.1957908534061832,0.19290434618074515,0.545184421874688,0.6363636363636364
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.4192823643789179,1.1664775712429387,0.2303582240983978,0.5649413228982838,0.6727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.4294553991152181,1.1583771645051695,0.2192855116826633,0.5234541361047447,0.7363636363636363
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.3974595143619346,1.11825611431101,0.2538442501879946,0.5520682149267834,0.7272727272727273
