dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,2,1.7662077008583128,1.2665872757420222,-0.21073340630971282,0.3076892025024277,0.6818181818181818
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,5,1.7569712654907021,1.2265742847362857,-0.1981033851647418,0.3389471911548912,0.6909090909090909
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,10,1.5836411708913851,1.1727981940978034,0.026628681244512786,0.4662123507749718,0.6818181818181818
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,2,1.7529196424044293,1.2363636363636363,-0.19258403900436227,0.3226625121036856,0.6727272727272727
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,5,1.7643511644950416,1.2471476341778958,-0.2081894368432644,0.3085102735870621,0.6545454545454545
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,10,1.7340968343089624,1.2763917196066643,-0.16710967257507114,0.3429054784989504,0.6454545454545455
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,2,1.760681686165901,1.3181818181818181,-0.20316910443931224,0.307134113246437,0.6181818181818182
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,5,1.6428431211471746,1.205999308819044,-0.04750755711050614,0.3969459181713125,0.7
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,10,1.691629695097083,1.257986068028517,-0.11064579825970045,0.360827527634035,0.6636363636363637
"Lasso (alpha=1.0, top-100)",Decision Tree,,2,1.7786613965666325,1.290909090909091,-0.22786759045419536,0.30978486509945236,0.6454545454545455
"Lasso (alpha=1.0, top-100)",Decision Tree,,5,1.6649837057894765,1.2263342370487091,-0.07593231846894843,0.41392803769820935,0.6727272727272727
"Lasso (alpha=1.0, top-100)",Decision Tree,,10,1.8020957123352173,1.3278256402210307,-0.26043566758549463,0.27003926293284963,0.6545454545454545
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,2,1.6384604404360927,1.1362063529495354,-0.04192605337361499,0.444318347916711,0.7090909090909091
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,5,1.6062966585215874,1.104542388016505,-0.0014205272533089897,0.4496027242690011,0.7
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,10,1.5648181780553256,1.110977922345545,0.049629947475433034,0.46031457423284255,0.6909090909090909
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,2,1.5811388300841898,1.0454545454545454,0.029702335129586976,0.466163589164323,0.7272727272727273
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,5,1.534403947356327,1.0285972280667852,0.08621422788945354,0.5064744396359049,0.7272727272727273
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,10,1.5503886072462538,1.1097477307095962,0.06707632521504858,0.47966609123531606,0.6909090909090909
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,2,1.6096301099659793,1.0818181818181818,-0.005581216320246218,0.46296493055527393,0.7090909090909091
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,5,1.61039452238732,1.0947662952675454,-0.006536543000850603,0.4416630190858026,0.7272727272727273
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,10,1.5310547579921931,1.0668311751244188,0.09019896937248384,0.4979034550374186,0.7
"Ridge (alpha=1.0, top-100)",Decision Tree,,2,1.6236882817719773,1.0363636363636364,-0.023222992045162982,0.4546224658510308,0.7
"Ridge (alpha=1.0, top-100)",Decision Tree,,5,1.6149850973733335,1.0733962384604652,-0.012283168569709346,0.48046489873203946,0.7
"Ridge (alpha=1.0, top-100)",Decision Tree,,10,1.531125843845938,1.04469678777264,0.09011448449818704,0.5024589543753291,0.7090909090909091
PCA (n_components=50),Decision Tree,10.0,2,1.3017482211302158,0.9161669122013325,0.3423134456726411,0.6720277190574689,0.7727272727272727
PCA (n_components=50),Decision Tree,10.0,5,1.3189071428866257,0.9125048602047953,0.3248606548677162,0.6640890147336322,0.7545454545454545
PCA (n_components=50),Decision Tree,10.0,10,1.292451450292987,0.9138719780352651,0.3516739770493398,0.6538920049668496,0.7909090909090909
PCA (n_components=50),Decision Tree,20.0,2,1.391532836969231,0.9000000000000001,0.24846035411855283,0.6507540669308151,0.7545454545454545
PCA (n_components=50),Decision Tree,20.0,5,1.433558912180998,0.995121630176726,0.20237994060199682,0.6095074174856707,0.7
PCA (n_components=50),Decision Tree,20.0,10,1.3479217835629145,0.9691179520951487,0.29482913367008323,0.6433359100217839,0.7545454545454545
PCA (n_components=50),Decision Tree,30.0,2,1.4109957799047774,0.9727272727272729,0.2272902232486529,0.6388208732813437,0.7363636363636363
PCA (n_components=50),Decision Tree,30.0,5,1.3325670579988105,0.9217245415066673,0.31080340437613496,0.6491826266479411,0.7545454545454545
PCA (n_components=50),Decision Tree,30.0,10,1.3684173359121208,0.9595855009206131,0.2732214311258534,0.6130284321798554,0.7181818181818181
PCA (n_components=50),Decision Tree,,2,1.381698559415515,0.9090909090909092,0.2590454195535027,0.6480349067746437,0.7272727272727273
PCA (n_components=50),Decision Tree,,5,1.394430913428785,0.9782209660443288,0.24532670563437886,0.6302460053384804,0.7454545454545455
PCA (n_components=50),Decision Tree,,10,1.3488528342590873,0.946247888045535,0.29385463116775234,0.638018726274737,0.7363636363636363
"Lasso->PCA (top-100, 95%var)",Decision Tree,10.0,2,1.6447048343088473,1.1673167691952184,-0.04988302871396577,0.4274467878432878,0.7
