dimension_reduction_type,model,alpha,l1_ratio,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",ElasticNetCV,0.02060186066234809,0.1,1.1987034987402738,0.9260950976407595,0.44231556509830317,0.6676491793351693,0.8181818181818182
"Ridge (alpha=1.0, top-100)",ElasticNetCV,0.05869745850059133,0.1,1.2784430513727667,1.0058120869313396,0.36565174201950046,0.6295656225719964,0.7818181818181819
PCA (n_components=50),ElasticNetCV,2.703475302794825,0.1,0.9668726569443271,0.7498300959330219,0.637169710981728,0.7940971178045985,0.8909090909090909
"Lasso->PCA (top-100, 95%var)",ElasticNetCV,0.05085397933202657,0.1,1.2662877496221265,1.0098711861721184,0.37765702961890124,0.6290945429224882,0.7818181818181819
"Ridge->PCA (top-100, 95%var)",ElasticNetCV,0.15650413769394653,0.1,1.177174971360297,0.9283080905765516,0.46216753112377784,0.6733575562645024,0.8454545454545455
"ElasticNet (top-200, l1r=0.5)",ElasticNetCV,0.058674838122883925,0.1,1.0299495096893208,0.8207157154155822,0.5882848502257444,0.7681230790905448,0.9
"ElasticNet->PCA (top-200, 95%var)",ElasticNetCV,0.1289764821513949,0.1,1.0783758738604994,0.835849677021727,0.5486584630348605,0.7313280637216147,0.8909090909090909
"Lasso (alpha=1.0, top-100)",ElasticNetCV,0.05651552737476965,0.1,1.319729600686359,1.0315117826021887,0.3345415627577095,0.6031595148666818,0.7090909090909091
"Ridge (alpha=1.0, top-100)",ElasticNetCV,0.09210622790805667,0.1,1.2240034333377159,0.9967609163913711,0.42757803219702395,0.6608717972732976,0.7909090909090909
PCA (n_components=50),ElasticNetCV,2.832292470881811,0.1,1.1407034696274783,0.883958431390503,0.50283958104127,0.7277962823042179,0.7909090909090909
"Lasso->PCA (top-100, 95%var)",ElasticNetCV,0.08647354500498455,0.7,1.363494494775029,1.070820970401814,0.2896738586279983,0.5565867127104762,0.7454545454545455
"Ridge->PCA (top-100, 95%var)",ElasticNetCV,0.2216010035550582,0.1,1.2029018914804135,0.9350722555919768,0.4471447528378353,0.6739431658618377,0.7909090909090909
"ElasticNet (top-200, l1r=0.5)",ElasticNetCV,0.060599747538592624,0.1,1.2754097063131589,0.9700407976529443,0.37848665826550887,0.628075802645331,0.7636363636363637
"ElasticNet->PCA (top-200, 95%var)",ElasticNetCV,0.3444478235908004,0.1,1.2845786190236432,0.9782081670313574,0.36951842608615526,0.619370778343686,0.7636363636363637
"Lasso (alpha=1.0, top-100)",ElasticNetCV,0.03015649575089581,0.1,1.3485366502269613,1.0572523958479287,0.3051732522730499,0.5413068130623557,0.7636363636363637
"Ridge (alpha=1.0, top-100)",ElasticNetCV,0.11258259126754107,0.1,1.308356322286009,1.070622249580696,0.3459618295684792,0.5592747578205711,0.7636363636363637
PCA (n_components=50),ElasticNetCV,2.8167662013955113,0.1,1.1872256877301808,0.9254452432438834,0.4614604664928653,0.6563994066098466,0.8090909090909091
"Lasso->PCA (top-100, 95%var)",ElasticNetCV,0.09240248076465914,1.0,1.3828854207313392,1.1058668123033157,0.26932639959763016,0.5065189908399449,0.7363636363636363
"Ridge->PCA (top-100, 95%var)",ElasticNetCV,0.12698428037742387,0.1,1.3226605535932394,1.0871011560896178,0.3315824820997806,0.5577071157323511,0.7636363636363637
"ElasticNet (top-200, l1r=0.5)",ElasticNetCV,0.1609361476896821,0.1,1.3216593754810908,1.0277867832581824,0.33259400650337856,0.5675463751919435,0.8
"ElasticNet->PCA (top-200, 95%var)",ElasticNetCV,0.3311428497451903,0.1,1.3291366992406377,1.0406230543685933,0.3250209094146833,0.5601646252412371,0.7727272727272727
"Lasso (alpha=1.0, top-100)",ElasticNetCV,0.010476384472871471,0.5,1.304663070940263,1.071154437934705,0.3299074922901206,0.5892199990809894,0.7090909090909091
"Ridge (alpha=1.0, top-100)",ElasticNetCV,0.1377765025858634,0.1,1.261741951242422,0.9841163632603348,0.3732719842057225,0.6177938042921234,0.7727272727272727
PCA (n_components=50),ElasticNetCV,1.9935363041946221,0.1,1.163301120600775,0.9572019763293532,0.46725140174351487,0.6782577288300983,0.7818181818181819
"Lasso->PCA (top-100, 95%var)",ElasticNetCV,0.1404059493452287,0.1,1.3088316561969255,1.0843473783031221,0.32561856840237646,0.583597485997475,0.7181818181818181
"Ridge->PCA (top-100, 95%var)",ElasticNetCV,0.23157654017035043,0.1,1.2514576705261027,0.9914916644019597,0.38344708994224075,0.6018948686080589,0.7909090909090909
