dimension_reduction_type,model,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Linear Regression,1.3706123362002849,1.0394202593311412,0.2708879929642265,0.6470879381625224,0.7909090909090909
"Ridge (alpha=1.0, top-100)",Linear Regression,1.3953909242135953,1.0932729366813438,0.24428722223281285,0.6109487395605544,0.7272727272727273
PCA (n_components=50),Linear Regression,1.0040562448167314,0.7590567284045576,0.6087259363824333,0.7812578881415349,0.8909090909090909
"Lasso->PCA (top-100, 95%var)",Linear Regression,1.2922429452870525,1.0187395370459122,0.3518831428440373,0.6173129332568499,0.7545454545454545
"Ridge->PCA (top-100, 95%var)",Linear Regression,1.2643183499270487,0.9821438159430371,0.3795913276705386,0.6417259433284157,0.8454545454545455
"ElasticNet (top-200, l1r=0.5)",Linear Regression,2.1495341961601313,1.2492308899077567,-0.7933030809464832,0.6043120586160141,0.7545454545454545
"ElasticNet->PCA (top-200, 95%var)",Linear Regression,1.0874481402657374,0.8493663604579746,0.5410323377281988,0.730589115251798,0.8545454545454545
"Lasso (alpha=1.0, top-100)",Linear Regression,1.370344479200983,1.0982365486486265,0.28251879442713623,0.5566697055269113,0.7363636363636363
"Ridge (alpha=1.0, top-100)",Linear Regression,1.363414668705863,1.1304199807883908,0.2897570285770925,0.628961059353973,0.7272727272727273
PCA (n_components=50),Linear Regression,1.0991013229493454,0.8312265141481213,0.5384417888433826,0.736505917317887,0.8181818181818182
"Lasso->PCA (top-100, 95%var)",Linear Regression,1.3546837298507202,1.0514232347330432,0.29882431097100204,0.5647983908255343,0.7090909090909091
"Ridge->PCA (top-100, 95%var)",Linear Regression,1.2546248990618687,0.9784467589881419,0.3985786727750591,0.6650675452152981,0.7727272727272727
"ElasticNet (top-200, l1r=0.5)",Linear Regression,1.5260956752307329,1.2396564294179446,0.11015463322204189,0.45780220759249723,0.6818181818181818
"ElasticNet->PCA (top-200, 95%var)",Linear Regression,1.292314973752293,0.983939936252793,0.3619014273974197,0.619785742425862,0.7727272727272727
"Lasso (alpha=1.0, top-100)",Linear Regression,1.5757363039717616,1.2413807793577971,0.05132358818338112,0.4382712314580861,0.6818181818181818
"Ridge (alpha=1.0, top-100)",Linear Regression,1.4140775521419202,1.1405299496739851,0.23599275588091229,0.49582213894385563,0.6818181818181818
PCA (n_components=50),Linear Regression,1.1457007340559062,0.8753504924708475,0.4984740572358922,0.6864013097511623,0.8545454545454545
"Lasso->PCA (top-100, 95%var)",Linear Regression,1.3891371797397458,1.0835383529258455,0.2627049966832845,0.5170544678151879,0.7454545454545455
"Ridge->PCA (top-100, 95%var)",Linear Regression,1.3738279113705254,1.1297347733119514,0.2788664664582251,0.5333441133966031,0.7090909090909091
"ElasticNet (top-200, l1r=0.5)",Linear Regression,1.8597612473724465,1.2530515077718254,-0.32149464638803393,0.5276729376068662,0.7272727272727273
"ElasticNet->PCA (top-200, 95%var)",Linear Regression,1.3264914594877608,1.028985654791627,0.3277049144482923,0.5673896109831215,0.8
"Lasso (alpha=1.0, top-100)",Linear Regression,1.456128758647866,1.1640481867198924,0.16528622340862065,0.4456821753246555,0.6636363636363637
"Ridge (alpha=1.0, top-100)",Linear Regression,1.3740099388264915,1.0891312308333143,0.25677934425015836,0.5811713646833414,0.7909090909090909
PCA (n_components=50),Linear Regression,1.1945166166772199,0.9979713744701512,0.43827673200911943,0.6650016971631413,0.7727272727272727
"Lasso->PCA (top-100, 95%var)",Linear Regression,1.338494234615702,1.0919699791258999,0.2947046305698974,0.575285944917497,0.7090909090909091
"Ridge->PCA (top-100, 95%var)",Linear Regression,1.3164192179275782,1.0250759790861952,0.3177768530816768,0.5867615909813068,0.7818181818181819
"ElasticNet (top-200, l1r=0.5)",Linear Regression,1.4160170526196478,1.1714858716573173,0.21064022810233696,0.5074006721011177,0.7090909090909091
"ElasticNet->PCA (top-200, 95%var)",Linear Regression,1.2629800566869567,1.0155968292144466,0.3720414059921021,0.6265066239924997,0.7454545454545455
"Lasso (alpha=1.0, top-100)",Linear Regression,1.4977448930639394,1.1903937126969035,0.12490374164728946,0.4990616592945305,0.6880733944954128
"Ridge (alpha=1.0, top-100)",Linear Regression,1.2843702751468113,1.0206048608405371,0.35648211154681,0.6796438357816442,0.7889908256880734
PCA (n_components=50),Linear Regression,1.1262320137918425,0.8629189244311899,0.5051929616706827,0.7092288174367479,0.8440366972477065
"Lasso->PCA (top-100, 95%var)",Linear Regression,1.2912694056865053,1.0491891311867327,0.3495500948235357,0.6072033013732581,0.7339449541284404
"Ridge->PCA (top-100, 95%var)",Linear Regression,1.2723425624640106,1.0009642763673134,0.3684783510922255,0.6857978912605424,0.7522935779816514
"ElasticNet (top-200, l1r=0.5)",Linear Regression,1.445744811589886,1.1861538000953236,0.184613687493418,0.5371760290902643,0.7155963302752294
"ElasticNet->PCA (top-200, 95%var)",Linear Regression,1.2321143053652728,0.9802783093196299,0.4077812790874643,0.647479650597634,0.8256880733944955
