dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.1,1.4663479075848302,1.1002020519558555,0.1654756270352593,0.6447556320546637,0.7636363636363637
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.5,1.3425028355712008,1.014654900112703,0.3004876267464638,0.6564356363057025,0.7818181818181819
"Lasso (alpha=1.0, top-100)",Poisson Regression,1.0,1.2836582157127105,0.9891804638220822,0.3604657807711845,0.6667762964551985,0.8
"Lasso (alpha=1.0, top-100)",Poisson Regression,5.0,1.2733443245804499,1.0104644019779958,0.37070150743555863,0.6878686568405259,0.7181818181818181
"Lasso (alpha=1.0, top-100)",Poisson Regression,10.0,1.343212075721543,1.0958314776100306,0.29974833101082465,0.6836104662832079,0.6363636363636364
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.1,1.9908252244662306,1.3695720075225966,-0.5382653130577784,0.5931908841452743,0.6636363636363637
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.5,1.5163745872999783,1.1334813410381523,0.10756216778896988,0.6409916132865355,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Poisson Regression,1.0,1.320305534483596,1.0118165012067117,0.32342824213834453,0.6767567192256588,0.7818181818181819
"Ridge (alpha=1.0, top-100)",Poisson Regression,5.0,1.1171657650000293,0.9064418411720371,0.5156043721931609,0.7300718513229265,0.8545454545454545
"Ridge (alpha=1.0, top-100)",Poisson Regression,10.0,1.160665785919342,0.966048813750672,0.4771473150530682,0.7489796952943587,0.8090909090909091
PCA (n_components=50),Poisson Regression,0.1,1.1267803996025194,0.8745487230120871,0.5072308110715357,0.7387314037035897,0.8818181818181818
PCA (n_components=50),Poisson Regression,0.5,1.075103797170554,0.8370084669400112,0.5513932860612145,0.7509379087393727,0.8818181818181818
PCA (n_components=50),Poisson Regression,1.0,1.0758370300801359,0.8531622597899771,0.5507811677242451,0.7530762408739043,0.8818181818181818
PCA (n_components=50),Poisson Regression,5.0,1.304299192914442,1.092687356023971,0.339733248200189,0.7546280326605194,0.6636363636363637
PCA (n_components=50),Poisson Regression,10.0,1.4362901195296052,1.208224017075037,0.19933780407216317,0.7543878744078288,0.6181818181818182
"Lasso->PCA (top-100, 95%var)",Poisson Regression,0.1,1.3724776037956257,1.061239166676994,0.26890214420262226,0.6266652498279661,0.7545454545454545
"Lasso->PCA (top-100, 95%var)",Poisson Regression,0.5,1.336751228857452,1.0496823811721516,0.30646854763253517,0.6249194840680244,0.7363636363636363
"Lasso->PCA (top-100, 95%var)",Poisson Regression,1.0,1.326340896117942,1.0540680674442304,0.31722863453134353,0.6196360025088359,0.7545454545454545
"Lasso->PCA (top-100, 95%var)",Poisson Regression,5.0,1.4313977457391702,1.1782806343425558,0.20478303731277747,0.6145695870626559,0.5909090909090909
"Lasso->PCA (top-100, 95%var)",Poisson Regression,10.0,1.5107646191397064,1.253429617424481,0.11415326575646212,0.613932244007439,0.5818181818181818
"Ridge->PCA (top-100, 95%var)",Poisson Regression,0.1,1.5814052928165434,1.1976121885007622,0.029375267135201777,0.6169665511616234,0.7181818181818181
"Ridge->PCA (top-100, 95%var)",Poisson Regression,0.5,1.4047637456416013,1.0964427595335733,0.2341009016251232,0.6232614684388735,0.7636363636363637
"Ridge->PCA (top-100, 95%var)",Poisson Regression,1.0,1.3199384523542643,1.0449899959346602,0.3238044018526822,0.6213355839894141,0.7636363636363637
"Ridge->PCA (top-100, 95%var)",Poisson Regression,5.0,1.3777099920403233,1.145655951326585,0.2633170917298645,0.6146250081978921,0.6636363636363637
"Ridge->PCA (top-100, 95%var)",Poisson Regression,10.0,1.4738908843661205,1.2352756273885428,0.1568678630320668,0.607235523499726,0.6090909090909091
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,0.1,1.9677252511889487,1.2981316710451247,-0.5027747702211955,0.6354587366187837,0.7090909090909091
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,0.5,1.3721662629274747,1.0304236925117443,0.2692337996308747,0.7168215815735275,0.8090909090909091
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,1.0,1.2460024522117679,0.9619608706123038,0.3974365684467335,0.7383665478966177,0.8272727272727273
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,5.0,1.1000846541653875,0.8696774624342533,0.5303036444510143,0.771531478907574,0.8727272727272727
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,10.0,1.127284925790245,0.9051559855302403,0.506789428491198,0.7676519994410368,0.8272727272727273
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,0.1,1.1331615001261344,0.876445974661855,0.5016337784528437,0.7210382062794185,0.8545454545454545
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,0.5,1.1249304750635085,0.8661096875471047,0.5088475191784708,0.7220542604254163,0.8454545454545455
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,1.0,1.145783682094361,0.9067692372440614,0.4904694323049811,0.7237399866221855,0.8454545454545455
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,5.0,1.3575573275254915,1.1273300888826912,0.2847113497571956,0.7205532713461014,0.6272727272727273
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,10.0,1.4694424976761924,1.2262644442353499,0.16194953896844244,0.7182348205220518,0.6272727272727273
