dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Random Forest,10,10.0,1.2642860175952797,0.9883362931820546,0.37962305860688106,0.5985386867073639,0.8181818181818182
"Lasso (alpha=1.0, top-100)",Random Forest,10,20.0,1.2705045526017678,1.0145454545454544,0.3735052604567617,0.6013978163628239,0.7727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,10,30.0,1.2827172862184542,1.0263636363636364,0.361403002309469,0.5901095723726196,0.7909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,10,,1.2991605681432075,1.0163636363636364,0.3449255837823968,0.5539098682866097,0.7727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,20,10.0,1.2377073786757025,0.9815571184502884,0.4054328131170718,0.6125564048390508,0.8
"Lasso (alpha=1.0, top-100)",Random Forest,20,20.0,1.2609610332094832,0.9977272727272727,0.38288186425455484,0.596716220466505,0.7909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,20,30.0,1.2313979491175504,0.9804545454545451,0.4114791827046447,0.6324364486447185,0.8
"Lasso (alpha=1.0, top-100)",Random Forest,20,,1.245218126200459,0.9804545454545454,0.39819492558378244,0.6064475840758826,0.7909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,50,10.0,1.169927618246686,0.9367057198113108,0.4687695455982167,0.6596131147259138,0.8
"Lasso (alpha=1.0, top-100)",Random Forest,50,20.0,1.222687055776594,0.9787272727272727,0.4197761098280729,0.6151649353949106,0.8090909090909091
"Lasso (alpha=1.0, top-100)",Random Forest,50,30.0,1.1694443124834972,0.9345454545454547,0.46920836540928934,0.6738219979379003,0.8090909090909091
"Lasso (alpha=1.0, top-100)",Random Forest,50,,1.2043708278221832,0.970181818181818,0.4370297664870414,0.6447032615028527,0.7636363636363637
"Lasso (alpha=1.0, top-100)",Random Forest,100,10.0,1.2018414919702236,0.94579524452457,0.4393919053426778,0.6395044794910297,0.8090909090909091
"Lasso (alpha=1.0, top-100)",Random Forest,100,20.0,1.209573929492981,0.9687272727272727,0.43215499101873234,0.6298437723240161,0.8181818181818182
"Lasso (alpha=1.0, top-100)",Random Forest,100,30.0,1.2170583014346146,0.9627272727272727,0.4251060431100847,0.6340578073422704,0.7727272727272727
