dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.585546374444667,1.2135228497722443,0.02428523875009625,0.6559091355209581,0.7181818181818181
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.3977149083334341,1.0968941711211324,0.24176788952308703,0.6895359093255495,0.7272727272727273
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.3055915942587208,1.0420353537751483,0.33842411235924297,0.7055156699853337,0.7454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.152364049020267,0.9158064421954489,0.48460004144726565,0.7270144520290602,0.8454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.1722208434096997,0.9394484763435537,0.46668492945656315,0.720156086543575,0.8363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,2.153235493288359,1.4614002241483917,-0.7994841988592776,0.5755253972887213,0.6636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.6935536895757308,1.2185329134183833,-0.11317364651188111,0.6373153446491979,0.7272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.4596909332006491,1.090322903544924,0.17303562972591102,0.6663052168056903,0.7727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.1339379347804142,0.9138358000711128,0.5009505900948725,0.7225022479352426,0.8545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.1471321972220692,0.9343505233735329,0.4892693558303588,0.7374428623093471,0.8181818181818182
PCA (n_components=50) + SMOTE,Poisson Regression,0.1,1.10632602369507,0.8853617930290087,0.5249588473335312,0.7493306958175214,0.8727272727272727
PCA (n_components=50) + SMOTE,Poisson Regression,0.5,1.0583420769658087,0.8402205358664298,0.5652725103379763,0.7562999035734793,0.8818181818181818
PCA (n_components=50) + SMOTE,Poisson Regression,1.0,1.0625581696131619,0.8511919357704133,0.5618019838298294,0.7567986937906056,0.9
PCA (n_components=50) + SMOTE,Poisson Regression,5.0,1.3051547531431769,1.0946528402067601,0.33886675491429497,0.7543416901284653,0.6818181818181818
PCA (n_components=50) + SMOTE,Poisson Regression,10.0,1.438307558581367,1.2146486940280579,0.19708697523175722,0.7450447946925852,0.6090909090909091
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.3350031425507642,1.0547519604652178,0.3082812411307725,0.6720135937350237,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.2283395733434543,0.9822601459274009,0.41439892545409573,0.6852361529168044,0.8090909090909091
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.1977385376166596,0.9578431270846673,0.4432130801143719,0.6886214605941516,0.7909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.3515134716267398,1.1264246645946525,0.29106611386125214,0.6867140498564376,0.6454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.4631106524264739,1.221706732541071,0.1691563172616678,0.6758237967825154,0.6
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.763579199823542,1.2682749733915148,-0.20713241878393496,0.6506579829573239,0.6909090909090909
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.5035181234960202,1.1408287021925143,0.12263094537657093,0.6500899163211523,0.7727272727272727
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3581398848443214,1.0600474567328497,0.28409732626572193,0.6497943369332257,0.7636363636363637
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.3503698710793874,1.1190042125219755,0.292265353364786,0.6350569333883209,0.7
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.4532314068426244,1.2181061251395344,0.1803385163526784,0.6230305470420558,0.6181818181818182
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.1,1.8285626001662567,1.3696606136537577,-0.29773089270573694,0.6002201314644047,0.6545454545454545
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.5,1.3551497692924004,1.0603338918198613,0.2872461554952439,0.6905427266156747,0.7363636363636363
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,1.0,1.2309436532267666,0.9785797545249492,0.41191334498418586,0.7224375899441337,0.7909090909090909
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,5.0,1.0687316992523277,0.85560937837425,0.5566952757140142,0.7610707396317328,0.8545454545454545
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,10.0,1.0533969438526245,0.8334303081633035,0.5693255719801003,0.7628349791034199,0.8545454545454545
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.1,1.3847534324548278,1.0295876955254994,0.25576536338161804,0.7133854711888803,0.7636363636363637
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.5,1.2196527045664853,0.9619804649587153,0.4226524278595156,0.716068777819902,0.7818181818181819
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,1.0,1.1584070569812057,0.9547922783852787,0.47918034363187434,0.7162442780814834,0.8272727272727273
