dimension_reduction_type,model,C,gamma,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.2861430180529951,1.0732870923328464,0.35798746661129566,0.7010450317429433,0.6727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.2861430180529951,1.0732870923328464,0.35798746661129566,0.7010450317429433,0.6727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.1124159883219094,0.8842386841878547,0.5197145590839767,0.7226546560571424,0.8272727272727273
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.1124159883219094,0.8842386841878547,0.5197145590839767,0.7226546560571424,0.8272727272727273
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.1716041386992853,0.932490203481213,0.4672459353480479,0.6735700039495749,0.8181818181818182
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.1716041386992853,0.932490203481213,0.4672459353480479,0.6735700039495749,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.2707537329949115,1.0579324297550199,0.3732594911458147,0.7193201510870949,0.6727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.2707537329949115,1.0579324297550199,0.3732594911458147,0.7193201510870949,0.6727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.1563835630333652,0.9571482756230018,0.4809982796789112,0.672683265785795,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.1563835630333652,0.9571482756230018,0.4809982796789112,0.672683265785795,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.234357305634482,1.0063151277935847,0.4086470589082646,0.6300921233567407,0.8
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.234357305634482,1.0063151277935847,0.4086470589082646,0.6300921233567407,0.8
PCA (n_components=50) + SMOTE,SVR (rbf),0.1,scale,1.3643209936424996,1.1507190008181103,0.2775661258117381,0.7100509662188329,0.6272727272727273
