dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc,qwk
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.05,1.1656175733870904,0.9641206119020073,0.4726764703167632,0.7067857376678308,0.8363636363636363,0.47547053378586857
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.1,1.0787334920949172,0.8507180277532722,0.5483590595873664,0.7321963281736491,0.8909090909090909,0.6087080250426864
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.05,1.100071661441427,0.9027796540792229,0.5303147392318236,0.7459407697122378,0.8727272727272727,0.563515954244431
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.1,1.0632152967297774,0.8394999909044302,0.5612598189914588,0.7362697816135132,0.8545454545454545,0.6175196317357162
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.05,1.1316114232140504,0.9049219898479205,0.5029962984636517,0.7078479760931922,0.8454545454545455,0.5380694488690667
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.1,1.1119132545640251,0.8634074477850182,0.5201485714437559,0.7148171838491499,0.8545454545454545,0.6146160433913788
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.05,1.0863405755404218,0.8670693222182617,0.5419667777331123,0.7278827164810947,0.9,0.5941327257191683
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.1,1.0453734508178214,0.7976169198298206,0.5758612912091161,0.7574267999899497,0.8727272727272727,0.6557271557271558
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,3,0.05,1.0419421160692346,0.8140313540587019,0.5786411080257283,0.7524250425348785,0.8818181818181818,0.6560245792145338
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,3,0.1,1.0694932134222288,0.8235623810430558,0.5560633058753504,0.7307553786575068,0.8636363636363636,0.6327493261455526
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,5,0.05,1.1020935280135604,0.8597222420278862,0.5285866452296173,0.7202623103861111,0.8636363636363636,0.6145685997171145
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,5,0.1,1.1061766248848477,0.8560159654780377,0.5250871382523814,0.7168077262897183,0.8454545454545455,0.6047008547008548
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,2,0.05,1.0497600975992685,0.8080364481284,0.5722942399156188,0.752000147164734,0.8818181818181818,0.6475563909774436
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,2,0.1,1.0777738026644936,0.8090295728013502,0.5491623019794207,0.7342561470332629,0.8727272727272727,0.6228868660598179
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,3,0.05,1.0370891656728631,0.7838952676578606,0.5825570103788803,0.7533163991265949,0.9,0.6879021879021879
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,3,0.1,1.0878738870911182,0.8300658682683314,0.5406728865153213,0.7207795743149826,0.8545454545454545,0.6445655062450173
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.05,1.1023476138012893,0.8547168315841505,0.5283692530790962,0.7163227913564013,0.8727272727272727,0.6288895232657722
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.1,1.1114275658921324,0.8599104319432226,0.5205676823799905,0.7123417064752645,0.8727272727272727,0.6453407510431155
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.05,1.1814388762551202,0.9744362345907145,0.458264254498453,0.6984256482335283,0.8181818181818182,0.523772040302267
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.1,1.101514165977887,0.8831656491848071,0.5290821516556159,0.7208627060178371,0.8272727272727273,0.6024985803520726
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.05,1.1363139059503533,0.9246538173716704,0.4988570553130808,0.7260076347389351,0.8272727272727273,0.568832768709578
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.1,1.0751053815158211,0.8513612478429028,0.5513919638661863,0.7491875245514946,0.8454545454545455,0.5889818286703201
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.05,1.159978941592531,0.9141947407382531,0.47776594644112924,0.6809918176432953,0.8,0.47752985543683224
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.1,1.1819615932193681,0.9135826693037049,0.4577847762723708,0.6492678361484815,0.7909090909090909,0.4797815820543093
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.05,1.0962399116843904,0.8867855914277085,0.5335810391957089,0.7251116597192826,0.8181818181818182,0.5899238429994142
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.1,1.0738188601067569,0.8396683995493264,0.5524649722131193,0.7307369049457614,0.8545454545454545,0.6616345653305571
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,3,0.05,1.077270254762136,0.8372977450531967,0.5495834763368342,0.7372165593404657,0.8636363636363636,0.6137339055793991
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,3,0.1,1.104665796628821,0.8619485841984487,0.5263835347984602,0.7134732213196712,0.8181818181818182,0.5548233314638249
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,5,0.05,1.1339146199297954,0.8656153001793782,0.5009711117521349,0.7015807693835603,0.8181818181818182,0.5264021479713603
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,5,0.1,1.1878906488201217,0.9130033287476454,0.4523313208234889,0.6471064118742679,0.8,0.5146678170836928
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,2,0.05,1.0727947111832359,0.8455784240664292,0.5533182333414505,0.7338081595234366,0.8363636363636363,0.6400264200792602
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,2,0.1,1.128178101701056,0.8556042470337394,0.5060075528352144,0.7083144373147641,0.8272727272727273,0.6272935779816514
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,3,0.05,1.0985294371630259,0.8386075685660969,0.531630748518221,0.7190014795594866,0.8363636363636363,0.611364245510587
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,3,0.1,1.142387343818942,0.8723294692949568,0.4934856619148018,0.693784863026995,0.8272727272727273,0.5546641283655154
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.05,1.1318473471766164,0.8550512876734773,0.5027890412670002,0.7049476033491622,0.8181818181818182,0.5438493231312538
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.1,1.189041420204988,0.9115038006217953,0.45126969664314076,0.6454068303936896,0.8,0.5146678170836928
PCA (n_components=50) + SMOTE,Gradient Boosting,50,2,0.05,1.1126206375936083,0.9020580308114715,0.5195378282425452,0.768621871993627,0.8090909090909091,0.5688373476063038
PCA (n_components=50) + SMOTE,Gradient Boosting,50,2,0.1,1.0224882348837783,0.8016821877111425,0.5942284287671123,0.7938800516915897,0.8727272727272727,0.7086170770036668
PCA (n_components=50) + SMOTE,Gradient Boosting,50,3,0.05,1.0606256473447278,0.8452923399923974,0.5633944751717469,0.7749444971525393,0.8636363636363636,0.6299824150058617
PCA (n_components=50) + SMOTE,Gradient Boosting,50,3,0.1,1.0278995525693913,0.8078178331500181,0.589922131412449,0.7817058756513612,0.8636363636363636,0.6673623793373337
