dimension_reduction_type,model,rmse,mae,r2,spearman_r,within_1_acc,qwk
"Lasso (alpha=1.0, top-100) + SMOTE",Linear Regression,1.2583574099690535,1.0114074815886633,0.38542767539739875,0.6684527857960948,0.7636363636363637,0.5869858395144977
"Ridge (alpha=1.0, top-100) + SMOTE",Linear Regression,1.4399155570978899,1.1302236348310892,0.195290690915205,0.5981418388930455,0.7,0.5079365079365079
PCA (n_components=50) + SMOTE,Linear Regression,0.9836179712948557,0.7733191247544409,0.6244931295613321,0.7846939985261822,0.9090909090909091,0.7249461851231762
"Lasso->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.1141714667048201,0.8593726452280821,0.5181975079435477,0.7306953390943342,0.8454545454545455,0.6496702779086199
"Ridge->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.2772524918330277,0.9712516027307634,0.36683267489371596,0.6690901288513117,0.8272727272727273,0.6072710951526032
"ElasticNet (top-200, l1r=0.5) + SMOTE",Linear Regression,1.5380681201014954,1.2464828028534487,0.08184475689383397,0.5660899490147506,0.6909090909090909,0.5021413276231264
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Linear Regression,1.1384302008308413,0.8728856180649087,0.4969886387547674,0.7506284740676369,0.8363636363636363,0.6891361256544503
"Lasso (alpha=1.0, top-100) + SMOTE",Linear Regression,1.3286848427715936,1.0930064896733271,0.3254797663938618,0.6297955982303488,0.7454545454545455,0.5057546859585663
"Ridge (alpha=1.0, top-100) + SMOTE",Linear Regression,1.390093310239625,1.1309978191150976,0.2616897004896652,0.6350241456657649,0.7272727272727273,0.49516441005802714
PCA (n_components=50) + SMOTE,Linear Regression,1.118453960940543,0.832304424790234,0.5220447415707019,0.7224616884922458,0.8363636363636363,0.6333447449503595
"Lasso->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.3011886841233316,1.0211241632168282,0.35310830466840293,0.6191632963025981,0.7181818181818181,0.46222527472527475
"Ridge->PCA (top-100, 95%var) + SMOTE",Linear Regression,1.2449969595467991,0.9597352033102324,0.4077738200038724,0.688720497899323,0.7727272727272727,0.5765407554671969
"ElasticNet (top-200, l1r=0.5) + SMOTE",Linear Regression,1.7078772545085947,1.3434714256726565,-0.11445959990086729,0.4575486184311675,0.6454545454545455,0.3913824057450628
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Linear Regression,1.2385709941930803,0.9767117806830341,0.4138715114893785,0.6792362632655922,0.7545454545454545,0.5702757229320781
"Lasso (alpha=1.0, top-100) + SMOTE",Linear Regression,1.1867561654879677,0.9287769847002465,0.4618863438846563,0.6621166895198252,0.8,0.5557809330628803
