dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc,qwk
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.585546374444667,1.2135228497722443,0.02428523875009625,0.6559091355209581,0.7181818181818181,0.5837751855779427
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.3977149083334341,1.0968941711211324,0.24176788952308703,0.6895359093255495,0.7272727272727273,0.5511049723756906
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.3055915942587208,1.0420353537751483,0.33842411235924297,0.7055156699853337,0.7454545454545455,0.6042995511457595
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.152364049020267,0.9158064421954489,0.48460004144726565,0.7270144520290602,0.8454545454545455,0.5873590982286634
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.1722208434096997,0.9394484763435537,0.46668492945656315,0.720156086543575,0.8363636363636363,0.5304309842748981
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,2.153235493288359,1.4614002241483917,-0.7994841988592776,0.5755253972887213,0.6636363636363637,0.485995232419547
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.6935536895757308,1.2185329134183833,-0.11317364651188111,0.6373153446491979,0.7272727272727273,0.5422535211267605
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.4596909332006491,1.090322903544924,0.17303562972591102,0.6663052168056903,0.7727272727272727,0.5714123524069028
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.1339379347804142,0.9138358000711128,0.5009505900948725,0.7225022479352426,0.8545454545454545,0.6111425339366516
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.1471321972220692,0.9343505233735329,0.4892693558303588,0.7374428623093471,0.8181818181818182,0.5527660853878533
PCA (n_components=50) + SMOTE,Poisson Regression,0.1,1.1214451687337808,0.9200933674576544,0.511886222595468,0.7509517640231816,0.8636363636363636,0.6890243902439024
PCA (n_components=50) + SMOTE,Poisson Regression,0.5,1.0589872012980004,0.8611581850916593,0.5647423627339313,0.7553254152789086,0.8909090909090909,0.6943612774451098
PCA (n_components=50) + SMOTE,Poisson Regression,1.0,1.0564807115160686,0.846561971709385,0.5668003247675606,0.7554824418287447,0.9,0.6779548472775565
PCA (n_components=50) + SMOTE,Poisson Regression,5.0,1.2977434833433503,1.0897334046209812,0.34635387485316904,0.7539352684700662,0.7,0.3943951868271057
PCA (n_components=50) + SMOTE,Poisson Regression,10.0,1.433693256117257,1.2120847553641332,0.2022304379363341,0.7482869311039057,0.6181818181818182,0.26759410801964
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.3350031425507642,1.0547519604652178,0.3082812411307725,0.6720135937350237,0.7545454545454545,0.5756958587915818
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.2283395733434543,0.9822601459274009,0.41439892545409573,0.6852361529168044,0.8090909090909091,0.58843797856049
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.1977385376166596,0.9578431270846673,0.4432130801143719,0.6886214605941516,0.7909090909090909,0.5212179663819234
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.3515134716267398,1.1264246645946525,0.29106611386125214,0.6867140498564376,0.6454545454545455,0.3203024453024452
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.4631106524264739,1.221706732541071,0.1691563172616678,0.6758237967825154,0.6,0.25122749590834703
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.763579199823542,1.2682749733915148,-0.20713241878393496,0.6506579829573239,0.6909090909090909,0.574726609963548
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.5035181234960202,1.1408287021925143,0.12263094537657093,0.6500899163211523,0.7727272727272727,0.5765120509322419
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3581398848443214,1.0600474567328497,0.28409732626572193,0.6497943369332257,0.7636363636363637,0.5046693589096416
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.3503698710793874,1.1190042125219755,0.292265353364786,0.6350569333883209,0.7,0.3724976901755467
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.4532314068426244,1.2181061251395344,0.1803385163526784,0.6230305470420558,0.6181818181818182,0.25840736040609136
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.1,1.8285626001662567,1.3696606136537577,-0.29773089270573694,0.6002201314644047,0.6545454545454545,0.523401250756506
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.5,1.3551497692924004,1.0603338918198613,0.2872461554952439,0.6905427266156747,0.7363636363636363,0.6135159010600707
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,1.0,1.2309436532267666,0.9785797545249492,0.41191334498418586,0.7224375899441337,0.7909090909090909,0.6586075665995075
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,5.0,1.0687316992523277,0.85560937837425,0.5566952757140142,0.7610707396317328,0.8545454545454545,0.6625766871165644
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,10.0,1.0533969438526245,0.8334303081633035,0.5693255719801003,0.7628349791034199,0.8545454545454545,0.6358597576695024
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.1,1.3847534324548278,1.0295876955254994,0.25576536338161804,0.7133854711888803,0.7636363636363637,0.624101111353236
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.5,1.2196527045664853,0.9619804649587153,0.4226524278595156,0.716068777819902,0.7818181818181819,0.6124253559944879
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,1.0,1.1584070569812057,0.9547922783852787,0.47918034363187434,0.7162442780814834,0.8272727272727273,0.5840914998700286
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,5.0,1.3099933581343954,1.1066419300752939,0.33395562483607955,0.7046427871053628,0.6363636363636364,0.30489354941213853
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,10.0,1.4354204040982657,1.2111815641775476,0.20030715897903195,0.6971609338484698,0.5909090909090909,0.20801206838752928
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.4626722167016175,1.1273200868641422,0.1825804047023597,0.6235111977413964,0.7454545454545455,0.4789175582127123
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.358441469826543,1.0331823973571599,0.2949289511500699,0.654947032322231,0.7818181818181819,0.5377821393523062
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.3169303115456983,1.0143205175182533,0.3373615873516377,0.6520653373071208,0.7454545454545455,0.5240821825530482
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.2786300784165465,1.0247776022869581,0.3753440899011272,0.6304318764896851,0.7727272727272727,0.4601962922573609
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.3002240408897667,1.0469314807052978,0.3540671024110853,0.6097528330612542,0.7636363636363637,0.44318641326324304
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.9130722459889282,1.4048017532436128,-0.39834316089282207,0.6359140130864308,0.6727272727272727,0.4942598187311179
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.4556655877347822,1.1306775423478148,0.19039300672220427,0.6638457065288913,0.7454545454545455,0.5418181818181818
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.3137814505337346,1.0246605104039719,0.34052661697006714,0.6840037394985906,0.7818181818181819,0.5529895602657386
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.2202993797258124,0.9561994987240365,0.4310372928881129,0.6839945180745421,0.8,0.511777301927195
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.2564821564783102,0.9961353532993187,0.39679675216977295,0.6670547620977182,0.7181818181818181,0.40099214551467555
PCA (n_components=50) + SMOTE,Poisson Regression,0.1,1.1898193082705446,0.8908713105051017,0.4591049027555619,0.7023267090826675,0.8090909090909091,0.5837979665464087
PCA (n_components=50) + SMOTE,Poisson Regression,0.5,1.1693742667859512,0.9030905373849647,0.47753393768555086,0.7018056986239356,0.8181818181818182,0.5659978880675818
PCA (n_components=50) + SMOTE,Poisson Regression,1.0,1.17876551601888,0.9298799661313344,0.46910838626926643,0.7054020540027932,0.8090909090909091,0.5637844125630089
PCA (n_components=50) + SMOTE,Poisson Regression,5.0,1.3641727374142245,1.1381903088014336,0.2889670082477802,0.6996294425485242,0.6181818181818182,0.3008531656937584
PCA (n_components=50) + SMOTE,Poisson Regression,10.0,1.472627134282426,1.2381197078832977,0.17141585818431493,0.6967293046853174,0.6,0.2727272727272727
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.3628783800452502,1.0813167018985188,0.29031565589640784,0.6148937769682109,0.7272727272727273,0.48201438848920874
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.3284345046884731,1.0562405781190387,0.3257339157444946,0.6100340864947289,0.7272727272727273,0.4979338842975206
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3213047781074976,1.0499397606139507,0.33295208464235015,0.6107118611622827,0.7090909090909091,0.4218928164196123
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.430557675516868,1.1792246830439699,0.2180810040714667,0.6046902712587083,0.6272727272727273,0.3040212107821476
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.5108991511557148,1.2583970783096243,0.12778816621765698,0.5974837283649207,0.5909090909090909,0.2652232746955344
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.4366310813292351,1.112231079906504,0.21142766577793382,0.6444253874830604,0.7,0.5220522052205221
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.3275570904913805,1.0534283831261397,0.32662431005024883,0.653171908192923,0.7272727272727273,0.5269230769230769
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.2705021790434976,1.0295676263493796,0.3832603801147262,0.6529690368638593,0.7636363636363637,0.5253549695740365
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.3469763595545627,1.1275672901484945,0.3067801859955718,0.6419586565501262,0.6545454545454545,0.3402714932126697
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.4519988594338966,1.2210380432749148,0.1944665659683672,0.637352555237974,0.6,0.23884758364312264
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.1,1.8198562962029308,1.2875158693976567,-0.2653923698202134,0.5708937521214955,0.6909090909090909,0.43267238828055643
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.5,1.440238457352089,1.067945052662976,0.20746248855869465,0.650161113241136,0.7727272727272727,0.5559496936472106
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,1.0,1.334023869225822,1.009576134094035,0.32004805417483273,0.6697013107995954,0.7636363636363637,0.5728314238952537
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,5.0,1.2296210334574076,0.9557997384044389,0.42231167957174387,0.6851471960805863,0.7727272727272727,0.5473828258638386
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,10.0,1.2350455695454154,0.973680294166397,0.4172034335744579,0.6725968379507783,0.7727272727272727,0.5266501941404871
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.1,1.3419228103221303,1.070956968718331,0.311972034821421,0.6484505390801665,0.7272727272727273,0.4806557377049181
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.5,1.2946842443191322,1.035183960690241,0.35955956174469506,0.6476528858999839,0.7272727272727273,0.5129265770423992
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,1.0,1.2883222054620582,1.039457040707886,0.3658383064969488,0.6454074691442101,0.7,0.4561532792925572
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,5.0,1.4205234640681805,1.1927823969012312,0.22901160015106292,0.6324375362202019,0.6181818181818182,0.3064729194187583
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,10.0,1.5065830513718526,1.2648772912496313,0.13276424461652836,0.6234558691971064,0.5909090909090909,0.265715559518502
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.2803836958842074,1.0294097831130404,0.3736295069278526,0.6293160841798344,0.7636363636363637,0.46982291290206
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.2632025628949182,1.0037667234788707,0.39032692379481826,0.6367393305387585,0.7818181818181819,0.45945945945945943
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.268083974549522,1.0012770782794584,0.38560588288980757,0.6232760514281634,0.7818181818181819,0.4436118396403147
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.3043065960142468,1.0424230823380576,0.35000442304727386,0.5767493563921996,0.7363636363636363,0.32990538872891806
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.3482306017466634,1.0952836671757415,0.3054885963755517,0.5397760566703291,0.7,0.27969018932874357
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.9015034841022824,1.4487037856071536,-0.3814821292318271,0.4123267548980456,0.6,0.1840659340659342
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.613337111998409,1.2861128884214996,0.005508058129036542,0.4601813349969723,0.6545454545454545,0.2708029197080293
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.4914520408081546,1.2070804445428964,0.15009652343386926,0.49774480585793723,0.7,0.2964060763245647
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.365869603000486,1.129910875837805,0.2871970303436,0.523855268050848,0.7272727272727273,0.2645914396887159
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.3872212660888161,1.1489652991695123,0.2647373653358932,0.49980579413274406,0.6727272727272727,0.23189655172413792
PCA (n_components=50) + SMOTE,Poisson Regression,0.1,1.2412197778960674,0.9868047556882291,0.4113618649724212,0.6617570539819394,0.8,0.500523560209424
PCA (n_components=50) + SMOTE,Poisson Regression,0.5,1.2016254121056955,0.9580561032985315,0.44831747338659234,0.6642837241711881,0.8272727272727273,0.5001838911364471
PCA (n_components=50) + SMOTE,Poisson Regression,1.0,1.1980912293690527,0.968037224214276,0.4515578835428439,0.6676864296450304,0.8272727272727273,0.47987245914707044
PCA (n_components=50) + SMOTE,Poisson Regression,5.0,1.357382749438746,1.1396501032246988,0.2960275368804175,0.6691526360687183,0.6363636363636364,0.28990825688073396
PCA (n_components=50) + SMOTE,Poisson Regression,10.0,1.4646435009196817,1.2365298770767523,0.18037560150577014,0.6671654191862985,0.5909090909090909,0.2300140252454419
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.3702494268169239,1.1008996264337851,0.28261832550839905,0.5823698143496706,0.7545454545454545,0.42254519673874513
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.3113119395609092,1.0587671249371446,0.34300350707937055,0.5874323761522161,0.7636363636363637,0.4009025949605115
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.2954314586857885,1.0449571701218852,0.35882010053210545,0.5927162521319224,0.7454545454545455,0.37420986093552466
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.412742251831181,1.1807847961090532,0.23743496452937163,0.597857196038879,0.6272727272727273,0.24236817761332097
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.5008667930484516,1.2663720784153052,0.13933266984261983,0.5973269641560989,0.6,0.22107243650047037
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.687285980406447,1.285317834847305,-0.08774830762200758,0.47532752399639167,0.6909090909090909,0.27800829875518673
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.5250544140699391,1.2142299628422757,0.11136850904424267,0.4935767221880818,0.7090909090909091,0.30044843049327363
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.4302288113136685,1.1619841107666045,0.21844046614002088,0.49969513704416385,0.7181818181818181,0.30823529411764716
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.4047889454472817,1.1743776634696386,0.24599681160959552,0.5128587198731874,0.6454545454545455,0.22527472527472536
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.4823660751354149,1.253057809751232,0.1604202505093395,0.5107331816300421,0.5818181818181818,0.1491686460807602
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.1,1.5355813724724645,1.1555732839609416,0.09905829571626967,0.5978525853268547,0.7272727272727273,0.45384118786313754
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.5,1.2806014485123058,1.0434780829682304,0.3734164373306712,0.6221049305740226,0.8,0.4651639344262296
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,1.0,1.2619187752928591,1.0241706860504907,0.3915655106008017,0.621302666681816,0.7818181818181819,0.4568965517241379
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,5.0,1.2897641009149687,1.0394087436804706,0.36441799944081377,0.5934078589355487,0.7727272727272727,0.3952
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,10.0,1.3191283488909429,1.074211822717195,0.3351477732085726,0.5529995787556671,0.7636363636363637,0.3744889615699101
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.1,1.2697143855965938,0.9930885374945574,0.384024979822845,0.6259594858262342,0.7909090909090909,0.5061371841155234
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.5,1.242690482049062,0.9847812244552772,0.4099661001761503,0.6258257751775329,0.7818181818181819,0.4681972149040271
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,1.0,1.247538272821112,1.0094990933179904,0.40535362404694986,0.6237832297508229,0.7818181818181819,0.42006525285481244
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,5.0,1.402395302619873,1.1861571088743261,0.24856413918328812,0.5998490236333233,0.5909090909090909,0.18334108887854816
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,10.0,1.4959065293932723,1.269327003954099,0.14501216424120633,0.5928084663724059,0.5727272727272728,0.15238996687174633
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.567061604267031,1.227672028034133,0.033258945016517494,0.5329718062561664,0.6454545454545455,0.35596519349667965
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.4272642258844563,1.1509820407823366,0.19805093821825803,0.5638564228330434,0.7,0.3598466105888174
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.3906147195338214,1.1286904967286946,0.23870729737025154,0.5712916083052545,0.7181818181818181,0.3692660550458715
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.3498831638154225,1.0898075124519015,0.28265118665333,0.5594700323962737,0.7272727272727273,0.3254757171258166
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.3594719233314663,1.1112101352486174,0.27242375992480083,0.5432297792649737,0.7,0.2627345844504021
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.6135046754317226,1.206667445470163,-0.02489288734527384,0.5628370828892725,0.7363636363636363,0.4131975199291408
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.4399850114976713,1.1143266715087286,0.18369216282570366,0.5729797459496895,0.7272727272727273,0.4063404050144648
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.3619055581381563,1.061449448830526,0.26981651267634066,0.577296950417425,0.7363636363636363,0.4551681195516811
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.2847983573212052,1.033972509940001,0.35015771376884663,0.5913693765189859,0.7363636363636363,0.4322990126939351
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.304932077486394,1.077641513350872,0.32963113303875713,0.5901055794846274,0.6727272727272727,0.28504085480829666
