dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc,qwk
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,10.0,1.1877097278625142,0.9201553739299788,0.4524981328048212,0.6478985914529151,0.8272727272727273,0.5457126632595116
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,20.0,1.1501778518599162,0.9236363636363637,0.48655375930202704,0.6845858859702787,0.8,0.5297462817147857
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,30.0,1.1890408663364695,0.9672727272727273,0.45127020785219396,0.640399927966149,0.8272727272727273,0.49132256134051466
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,10,,1.1809857207973655,0.9290909090909093,0.4586797536566588,0.6470122965683223,0.8363636363636363,0.47108066971080675
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,10.0,1.1647446389278526,0.9507917586967661,0.47346600287640483,0.6752841758644329,0.8363636363636363,0.5058565153733529
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,20.0,1.20705313583424,0.954090909090909,0.43451934180138574,0.640966737419102,0.8363636363636363,0.5004611128189365
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,30.0,1.1667456683208446,0.9377272727272726,0.4716552797023351,0.6899674418626305,0.8545454545454545,0.5043886198547216
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,20,,1.1236709320954972,0.889090909090909,0.5099467539132667,0.7084794692105831,0.8545454545454545,0.5667762175082163
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,10.0,1.154369069708036,0.9223933415225624,0.4828049722833906,0.6917758468746812,0.8272727272727273,0.4989123679303915
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,20.0,1.1620280077989047,0.9478181818181819,0.4759192968950474,0.6825797378143933,0.8181818181818182,0.44287507846829877
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,30.0,1.1829869744921884,0.9558181818181818,0.4568435976392098,0.660093783363532,0.8272727272727273,0.46069031639501434
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,50,,1.1412274094149684,0.9036363636363637,0.4945137285091096,0.6937050611347495,0.8363636363636363,0.49230769230769234
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,10.0,1.141524482958608,0.9250558461213602,0.4942505274298693,0.6927318614575064,0.8181818181818182,0.5021446078431373
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,20.0,1.1309866971326006,0.9076363636363637,0.503544906338209,0.7123549503503444,0.8454545454545455,0.5325267127592709
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,30.0,1.1426440629283707,0.9211818181818182,0.49325798691301004,0.6997614498206969,0.8545454545454545,0.5201384518565135
"Lasso (alpha=1.0, top-100) + SMOTE",Random Forest,100,,1.1458621208504975,0.9303636363636364,0.49039966641005905,0.6974471278412154,0.8727272727272727,0.5246700188560653
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,10.0,1.2237139868701101,0.9762526734357353,0.4188010440048552,0.6261028357345575,0.8090909090909091,0.5171202809482001
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,20.0,1.2074390630210252,0.9736363636363637,0.4341576853990248,0.6416156306054218,0.7818181818181819,0.44959003947768006
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,30.0,1.210033808693715,0.9836363636363635,0.4317231203489865,0.646199037715491,0.7727272727272727,0.47412227602905566
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,10,,1.19688990911673,0.9672727272727272,0.4440017962535284,0.6096113597678587,0.8,0.4280048810250153
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,10.0,1.2042194290558799,0.9652741732618866,0.4371712970515911,0.6409041824098369,0.7909090909090909,0.4231984829329961
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,20.0,1.2238445385527752,0.9595454545454544,0.41867702720041045,0.6096910427133188,0.7818181818181819,0.489871909442955
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,30.0,1.1155716023635598,0.9081818181818181,0.5169858224275082,0.7007789707846529,0.8181818181818182,0.5550782448603866
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,20,,1.1643960588297189,0.9336363636363637,0.47378111367718756,0.669805200171464,0.8181818181818182,0.49669471153846156
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,50,10.0,1.17581192829423,0.9581878026020271,0.4634123153162739,0.6530503286283551,0.8181818181818182,0.4665336198956095
