dimension_reduction_type,model,max_depth,min_samples_split,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,2,3.0250463108594596,1.3033868092691623,0.2505629045876724,0.2727272727272727
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,5,3.2410816643948133,1.3321746880570409,0.27357497108884454,0.3
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,10,2.908804429174126,1.271283634665988,0.3205414546467178,0.32727272727272727
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,2,3.1272727272727274,1.290909090909091,0.3396323483280005,0.34545454545454546
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,5,3.1744949494949495,1.3272727272727274,0.28556807466668543,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,10,3.014566199122747,1.3678968253968258,0.28162644300217793,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,2,3.1545454545454548,1.3545454545454545,0.263949126356735,0.2727272727272727
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,5,3.529482323232324,1.4234848484848486,0.2880228738693202,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,10,3.1308257332394236,1.3806673881673885,0.2872794386132632,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Decision Tree,,2,3.6454545454545455,1.4272727272727272,0.30518773269912813,0.3090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,,5,3.4601010101010097,1.4151515151515153,0.2809981254975135,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Decision Tree,,10,3.140141109221467,1.3554148629148632,0.30800401834884594,0.3090909090909091
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,2,2.7961370429546357,1.1856623882939674,0.3446316953683725,0.34545454545454546
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,5,2.9433103274950976,1.2537458200137626,0.30737273743205945,0.3
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,10,3.0628485328536255,1.3092446393762187,0.25679325889852206,0.2545454545454545
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,2,3.036363636363636,1.290909090909091,0.27400312134715465,0.2727272727272727
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,5,3.107891414141414,1.2977272727272726,0.30661495996745997,0.3090909090909091
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,10,3.003250657081014,1.3302705627705629,0.2360423531322639,0.22727272727272727
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,2,3.0454545454545454,1.3,0.2940892798957315,0.3
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,5,3.0527777777777776,1.2863636363636364,0.28799065521394585,0.2727272727272727
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,10,2.993412087141254,1.3110930735930737,0.2503582455280568,0.24545454545454545
"Ridge (alpha=1.0, top-100)",Decision Tree,,2,3.109090909090909,1.309090909090909,0.2748825380404327,0.2818181818181818
"Ridge (alpha=1.0, top-100)",Decision Tree,,5,2.931502525252525,1.2780303030303028,0.2611766685498461,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Decision Tree,,10,2.9337688492063494,1.2706385281385284,0.28401143129316503,0.2818181818181818
PCA (variance=0.95),Decision Tree,10.0,2,3.438968671694267,1.4573398268398268,0.21259400020269587,0.21818181818181817
PCA (variance=0.95),Decision Tree,10.0,5,3.156791470690143,1.4099855144855145,0.2136975358607237,0.22727272727272727
PCA (variance=0.95),Decision Tree,10.0,10,3.2396887384356248,1.4315836385836387,0.22105849017249773,0.24545454545454545
PCA (variance=0.95),Decision Tree,20.0,2,3.909090909090909,1.5454545454545454,0.22849731789949182,0.22727272727272727
PCA (variance=0.95),Decision Tree,20.0,5,3.7988636363636363,1.5257575757575756,0.22998782166684315,0.23636363636363636
PCA (variance=0.95),Decision Tree,20.0,10,3.57208572115715,1.4849927849927849,0.24895830225901133,0.2545454545454545
PCA (variance=0.95),Decision Tree,30.0,2,3.9,1.5727272727272728,0.20522868435911912,0.20909090909090908
PCA (variance=0.95),Decision Tree,30.0,5,3.9754419191919195,1.5825757575757577,0.2050943251750787,0.20909090909090908
PCA (variance=0.95),Decision Tree,30.0,10,3.6093477977049404,1.5074314574314573,0.2259567999610203,0.23636363636363636
PCA (variance=0.95),Decision Tree,,2,3.8181818181818183,1.5636363636363637,0.1829721362229102,0.18181818181818182
PCA (variance=0.95),Decision Tree,,5,3.81969696969697,1.5772727272727274,0.1855322890084212,0.19090909090909092
PCA (variance=0.95),Decision Tree,,10,3.4482761973476257,1.4841269841269842,0.22845296873108173,0.23636363636363636
