dimension_reduction_type,model,alpha,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.1,3.265554978658842,1.2751917272532391,0.20647006121859604,0.2
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.5,2.583667070475264,1.1518126899297298,0.2663303024617373,0.2545454545454545
"Lasso (alpha=1.0, top-100)",Poisson Regression,1.0,2.1615433093848266,1.095615930575475,0.30435454388091115,0.3
"Lasso (alpha=1.0, top-100)",Poisson Regression,5.0,1.6943401429216876,1.078475419130606,0.2385367903169627,0.2636363636363636
"Lasso (alpha=1.0, top-100)",Poisson Regression,10.0,1.758386064704729,1.1129236451426512,0.19645448473199667,0.23636363636363636
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.1,4.854356687216586,1.4346039347537656,0.2792180753534039,0.2727272727272727
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.5,2.796003320868682,1.2399050378280405,0.23339810540131992,0.24545454545454545
"Ridge (alpha=1.0, top-100)",Poisson Regression,1.0,2.2442761193751233,1.1793821160135365,0.21973151742145802,0.23636363636363636
"Ridge (alpha=1.0, top-100)",Poisson Regression,5.0,1.768768433112835,1.1179401242945806,0.2193641753159825,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Poisson Regression,10.0,1.8292649936745888,1.1305496927914955,0.21709343288290658,0.2727272727272727
PCA (variance=0.95),Poisson Regression,0.1,2.1520370877742128,1.2289554817541848,0.15286635586635586,0.23636363636363636
PCA (variance=0.95),Poisson Regression,0.5,2.1647182957821762,1.239158936299452,0.11924564796905222,0.21818181818181817
PCA (variance=0.95),Poisson Regression,1.0,2.184847678170442,1.2486911757389452,0.11800463404661306,0.21818181818181817
PCA (variance=0.95),Poisson Regression,5.0,2.28629286351698,1.2735293621112076,0.05965909090909091,0.18181818181818182
PCA (variance=0.95),Poisson Regression,10.0,2.3352668642573575,1.2817444582612223,0.06120749479528105,0.19090909090909092
