dimension_reduction_type,model,n_estimators,max_depth,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-100)",Random Forest,10,10.0,1.8790893396110668,1.1112129396774446,0.26935678332435803,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Random Forest,10,20.0,1.9413636363636364,1.1627272727272728,0.22946569419335022,0.22727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,10,30.0,1.7872727272727278,1.0836363636363637,0.256825966727834,0.2636363636363636
"Lasso (alpha=1.0, top-100)",Random Forest,10,,1.9971818181818182,1.1718181818181819,0.18751631143975642,0.21818181818181817
"Lasso (alpha=1.0, top-100)",Random Forest,20,10.0,1.7766216086675002,1.0821722959006626,0.2266347687400319,0.2636363636363636
"Lasso (alpha=1.0, top-100)",Random Forest,20,20.0,1.750318181818182,1.0736363636363635,0.2681179055644296,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Random Forest,20,30.0,1.8832727272727274,1.1163636363636367,0.23482523592488222,0.2727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,20,,1.6645454545454546,1.0645454545454547,0.2657299270819903,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Random Forest,50,10.0,1.710161593213506,1.0540239548460388,0.2765544209163014,0.3
"Lasso (alpha=1.0, top-100)",Random Forest,50,20.0,1.721821818181818,1.0630909090909089,0.2559973335294482,0.2727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,50,30.0,1.6776836363636363,1.0583636363636362,0.2441262426637921,0.2727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,50,,1.7551345454545457,1.0796363636363637,0.24250648050946114,0.2545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,100,10.0,1.6786682033743576,1.0597347718335626,0.2866444274856758,0.3090909090909091
"Lasso (alpha=1.0, top-100)",Random Forest,100,20.0,1.6832727272727275,1.0630909090909089,0.2648225588413676,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,100,30.0,1.6943454545454546,1.0663636363636364,0.2523637892162482,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Random Forest,100,,1.737038181818182,1.0772727272727274,0.27145151966761505,0.3
"Ridge (alpha=1.0, top-100)",Random Forest,10,10.0,1.7901051216093091,1.0886554889373738,0.2543043336422263,0.2818181818181818
"Ridge (alpha=1.0, top-100)",Random Forest,10,20.0,2.2403636363636363,1.2181818181818183,0.20627816627816628,0.22727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,10,30.0,1.9563636363636363,1.1054545454545452,0.3016945452079168,0.3090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,10,,2.028090909090909,1.1736363636363638,0.2305937920580277,0.24545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,20,10.0,1.7646318061242539,1.0600136972205578,0.28797992276609435,0.3090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,20,20.0,1.7316818181818183,1.0754545454545452,0.2422959322959323,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,20,30.0,1.7531136363636366,1.0886363636363638,0.24608051794752564,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,20,,1.7780454545454547,1.0727272727272728,0.2591820045982725,0.2818181818181818
"Ridge (alpha=1.0, top-100)",Random Forest,50,10.0,1.7647819772632924,1.091780004304975,0.22248767275505243,0.2545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,50,20.0,1.7889781818181818,1.1038181818181818,0.21998159987152874,0.2545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,50,30.0,1.6966,1.0809090909090908,0.21758712579286743,0.22727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,50,,1.8263236363636364,1.1216363636363638,0.22590791027154664,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,100,10.0,1.7285146080672784,1.0771746317483937,0.22778803164049066,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,100,20.0,1.7238898000216192,1.081278996865204,0.20293706293706296,0.23636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,100,30.0,1.7179190909090905,1.0842727272727273,0.19897874019233663,0.21818181818181817
"Ridge (alpha=1.0, top-100)",Random Forest,100,,1.7968890909090909,1.0978181818181818,0.2255070226886865,0.2636363636363636
PCA (variance=0.95),Random Forest,10,10.0,2.320456482676529,1.2687204143274071,0.14923482968644255,0.18181818181818182
PCA (variance=0.95),Random Forest,10,20.0,2.6078196022727274,1.3226136363636365,0.19123251748251746,0.21818181818181817
PCA (variance=0.95),Random Forest,10,30.0,2.4712727272727277,1.2890909090909088,0.19034632034632032,0.21818181818181817
PCA (variance=0.95),Random Forest,10,,2.4582727272727274,1.29,0.16914822266934942,0.2
PCA (variance=0.95),Random Forest,20,10.0,2.5541242849674357,1.2920101739299377,0.16933791925658429,0.22727272727272727
PCA (variance=0.95),Random Forest,20,20.0,2.2271136363636366,1.2068181818181818,0.22281829645764076,0.2545454545454545
PCA (variance=0.95),Random Forest,20,30.0,2.4015,1.2581818181818183,0.21920619731146046,0.2545454545454545
PCA (variance=0.95),Random Forest,20,,2.3802045454545455,1.2386363636363635,0.23672311224581047,0.2636363636363636
PCA (variance=0.95),Random Forest,50,10.0,2.31852179280017,1.239559239658456,0.22598659601211457,0.2636363636363636
PCA (variance=0.95),Random Forest,50,20.0,2.357178181818182,1.246909090909091,0.20112206578999747,0.23636363636363636
PCA (variance=0.95),Random Forest,50,30.0,2.290109090909091,1.2254545454545456,0.17830453138193078,0.22727272727272727
PCA (variance=0.95),Random Forest,50,,2.342738181818182,1.2354545454545456,0.23193193282127708,0.2545454545454545
PCA (variance=0.95),Random Forest,100,10.0,2.3234169088306444,1.2397843246179518,0.20686460466918288,0.23636363636363636
PCA (variance=0.95),Random Forest,100,20.0,2.2743836363636363,1.2338181818181817,0.1944411190276899,0.23636363636363636
PCA (variance=0.95),Random Forest,100,30.0,2.311157272727273,1.2302727272727272,0.2085456630023447,0.23636363636363636
PCA (variance=0.95),Random Forest,100,,2.263453636363636,1.2237272727272728,0.2492538527266496,0.2727272727272727
