feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
11092.828422080514,-3856.484092755157,753.3609283388942,-2921.2170257697603,-2291.636523697637,-13.739319000903262,5.0
-11090.530627331467,-741.768207938885,-2402.9547396863577,9421.510464549187,-1776.4030412838426,-1345.3452833034644,2.0
4741.9039842151915,-2890.5369584117757,-2281.25262358007,-337.0947793481978,9.479198806373367,944.429763469213,5.0
116935.45330092222,-19198.508581921928,4047.677791486265,-2751.251473764861,-4861.766801847328,-737.1112239583587,1.0
-13483.29938641685,-465.032021635799,97.23173268567868,-1600.5493691857973,153.2692519655647,-626.4534627367021,2.0
-4568.571186231511,-1514.1347961770969,-2767.756344406121,57.83840513236018,-1130.2508695988433,-777.5560983289823,4.0
-5268.321830758344,-1586.2525043074304,-531.4622274553594,-1470.3289302749522,951.411919226796,-882.5590309183096,2.0
2192.633489666753,-2532.6205734534333,-1786.482310020839,83.59864204404113,-1506.2240523420933,-2200.7077797599673,3.0
-9931.162841650013,-1480.6991469602442,10474.442126926746,26475.048621931062,-10249.887724719993,-3971.5055552791955,3.0
-1655.9123244445736,-2070.801243985093,-523.35144775426,3520.228328532677,377.8321755688282,1710.2126538653513,2.0
-14656.070955742236,-32.99807565393067,-3672.9985455114556,-1491.6325913178096,2169.065960839855,-553.6669961190769,5.0
-887.5710232328637,-2009.072661883126,-3002.5292210458397,-2034.1054565491784,-611.9406242297516,405.31700471232904,5.0
-1746.7489688188898,-2028.5264704295334,-1757.4085408552828,2691.942785961091,-1107.9856981806224,-519.4496395267452,2.0
52111.476635765044,-10062.165251371269,2816.6103918172466,37.24008917897621,9625.284123694553,-3508.8021288660625,3.0
-3709.7794193875125,-1759.4247107692713,-470.2521870113416,-2309.4312680316557,-651.846000487379,-116.34553431056871,4.0
-6923.721028142721,-1262.1840865943386,-423.086569463314,-3806.0556452230667,-1639.285189314677,-2304.88556960237,0.0
-13343.445759184058,-415.40898137487835,-692.3566808965352,-2209.834602596806,1485.7760913621764,-2201.5805537246997,5.0
-11358.473256728248,-716.5020070803675,518.7148306368094,-3739.143475350409,-801.1582504087935,-2548.0154585007053,5.0
6407.295483610717,-3128.289889116683,-2053.5325915566123,-1086.8105540450922,51.68347781568826,1301.444684571158,1.0
-3352.598042183916,-1809.109582058475,187.01453869589147,-1676.858268700551,353.0564826504434,2050.3877675331987,2.0
1571.2753419881426,-2344.456996554468,-2582.0800672768137,-1219.5177810131804,-691.0106573965425,2479.56490590906,5.0
-6627.7987940480725,-1303.8419177410888,-344.28181643293277,3019.2525800714147,-1274.817802575073,947.1543923244116,4.0
-3593.195439129529,-1982.417989402554,2268.8385152425635,8080.847385566621,-2426.07905979187,-2062.603119228012,2.0
-8750.894618471655,-787.9147871381243,-3216.069907575863,-221.48517752920012,488.024635601264,3832.215312090069,2.0
-14176.815014273003,-133.46394178876082,-2585.0091318791224,-978.2925502678174,1364.768100432631,456.22913383833566,1.0
