dimension_reduction_type,model,max_depth,min_samples_split,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,2,2.843228129041278,1.1942959001782532,0.3318623436060507,0.35454545454545455
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,5,3.0463846946978435,1.3033868092691623,0.27186897313213104,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,10,2.962002545541885,1.2907100415923949,0.3246314946476475,0.32727272727272727
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,2,3.1636363636363636,1.2727272727272727,0.3561411707368194,0.36363636363636365
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,5,3.2743055555555554,1.3689393939393941,0.28862543321780854,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,10,3.2285530059666967,1.3852128427128432,0.28789858943989005,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,2,3.2636363636363637,1.3727272727272728,0.2730612244897959,0.2727272727272727
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,5,3.4506944444444447,1.4174242424242427,0.27945651880347305,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,10,3.2489073429877,1.4041161616161617,0.30939008040107646,0.3090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,,2,3.5545454545454547,1.4272727272727272,0.2682408654519594,0.2727272727272727
"Lasso (alpha=1.0, top-100)",Decision Tree,,5,3.1690656565656563,1.3181818181818181,0.3119968600923129,0.3181818181818182
"Lasso (alpha=1.0, top-100)",Decision Tree,,10,3.0897906660138807,1.3562806637806641,0.30558035509310805,0.3090909090909091
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,2,3.364195484513077,1.3126753753069542,0.30255883060343364,0.3090909090909091
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,5,2.8387210462529238,1.2350130376446167,0.3068135018135018,0.3090909090909091
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,10,2.9026795599614377,1.2729351155666948,0.27230218384471305,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,2,3.463636363636364,1.3545454545454545,0.2816167021384413,0.2909090909090909
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,5,2.938573232323232,1.2537878787878787,0.28428404928404927,0.2818181818181818
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,10,2.9028516485718865,1.3120346320346323,0.20919030095500685,0.20909090909090908
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,2,2.918181818181818,1.2454545454545454,0.30557975517305663,0.3090909090909091
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,5,3.0777777777777775,1.3,0.27194138966368786,0.2727272727272727
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,10,2.947214208410637,1.3040259740259743,0.24622757323895195,0.24545454545454545
"Ridge (alpha=1.0, top-100)",Decision Tree,,2,3.090909090909091,1.3272727272727274,0.25491681521093285,0.2545454545454545
"Ridge (alpha=1.0, top-100)",Decision Tree,,5,3.0057449494949497,1.2704545454545455,0.2832234828878753,0.2909090909090909
"Ridge (alpha=1.0, top-100)",Decision Tree,,10,3.112076563537873,1.3203354978354982,0.2672994142697813,0.2636363636363636
PCA (n_components=50),Decision Tree,10.0,2,3.5191509812675585,1.4344190896822475,0.2869272020155704,0.2909090909090909
PCA (n_components=50),Decision Tree,10.0,5,3.590616327248139,1.4478162188688504,0.2804711747582561,0.2909090909090909
PCA (n_components=50),Decision Tree,10.0,10,3.238796580461329,1.3915503648398382,0.23691273918546646,0.2545454545454545
PCA (n_components=50),Decision Tree,20.0,2,3.4727272727272727,1.4363636363636363,0.22601970071716937,0.22727272727272727
PCA (n_components=50),Decision Tree,20.0,5,3.3301767676767677,1.3681818181818182,0.2979486818367554,0.3
PCA (n_components=50),Decision Tree,20.0,10,2.9821452607137133,1.2983513708513708,0.2984152575113673,0.3
PCA (n_components=50),Decision Tree,30.0,2,3.909090909090909,1.4727272727272727,0.2817112320756822,0.2909090909090909
PCA (n_components=50),Decision Tree,30.0,5,3.6676136363636362,1.4068181818181817,0.3165276259355815,0.3181818181818182
PCA (n_components=50),Decision Tree,30.0,10,3.456160927586523,1.4225937950937952,0.25911295362514875,0.2636363636363636
PCA (n_components=50),Decision Tree,,2,3.881818181818182,1.4454545454545455,0.31096289065625454,0.3090909090909091
PCA (n_components=50),Decision Tree,,5,3.2922348484848483,1.3356060606060605,0.3074607182549767,0.3181818181818182
PCA (n_components=50),Decision Tree,,10,3.162383149808745,1.371684704184704,0.2484961880225038,0.2636363636363636
