dimension_reduction_type,model,alpha,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.1,3.265554978658842,1.2751917272532391,0.20647006121859604,0.2
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.5,2.583667070475264,1.1518126899297298,0.2663303024617373,0.2545454545454545
"Lasso (alpha=1.0, top-100)",Poisson Regression,1.0,2.1615433093848266,1.095615930575475,0.30435454388091115,0.3
"Lasso (alpha=1.0, top-100)",Poisson Regression,5.0,1.6943401429216876,1.078475419130606,0.2385367903169627,0.2636363636363636
"Lasso (alpha=1.0, top-100)",Poisson Regression,10.0,1.758386064704729,1.1129236451426512,0.19645448473199667,0.23636363636363636
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.1,4.854356687216586,1.4346039347537656,0.2792180753534039,0.2727272727272727
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.5,2.796003320868682,1.2399050378280405,0.23339810540131992,0.24545454545454545
"Ridge (alpha=1.0, top-100)",Poisson Regression,1.0,2.2442761193751233,1.1793821160135365,0.21973151742145802,0.23636363636363636
"Ridge (alpha=1.0, top-100)",Poisson Regression,5.0,1.768768433112835,1.1179401242945806,0.2193641753159825,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Poisson Regression,10.0,1.8292649936745888,1.1305496927914955,0.21709343288290658,0.2727272727272727
PCA (n_components=50),Poisson Regression,0.1,1.9472892005987041,1.1175486475746916,0.2565291005291005,0.2727272727272727
PCA (n_components=50),Poisson Regression,0.5,1.841324761969235,1.0961274528849925,0.22522575704393888,0.2818181818181818
PCA (n_components=50),Poisson Regression,1.0,1.8011900102030038,1.0860868413270086,0.2512194378391561,0.2818181818181818
PCA (n_components=50),Poisson Regression,5.0,1.9372768596957308,1.1733989735583163,0.12558681568589516,0.21818181818181817
PCA (n_components=50),Poisson Regression,10.0,2.0867106755944063,1.2206132847141773,0.06158357771260997,0.18181818181818182
