dimension_reduction_type,model,n_estimators,max_depth,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-100)",Random Forest,10,10.0,1.7546688417571992,1.0729441064818415,0.241821456259721,0.2636363636363636
"Lasso (alpha=1.0, top-100)",Random Forest,10,20.0,1.8775454545454549,1.1281818181818182,0.21312096330979102,0.23636363636363636
"Lasso (alpha=1.0, top-100)",Random Forest,10,30.0,1.7247272727272727,1.0672727272727274,0.28799070247933883,0.3
"Lasso (alpha=1.0, top-100)",Random Forest,10,,1.7980000000000003,1.0818181818181816,0.26971968552205156,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,20,10.0,1.7498346744510145,1.0842729797516797,0.2702581735703393,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Random Forest,20,20.0,1.7165000000000001,1.0781818181818181,0.2615937639638708,0.2636363636363636
"Lasso (alpha=1.0, top-100)",Random Forest,20,30.0,1.7371818181818182,1.0699999999999998,0.229124284806103,0.2545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,20,,1.7021590909090911,1.0504545454545455,0.2627249468934613,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Random Forest,50,10.0,1.6537713319659293,1.0480829458378198,0.218396258024741,0.2636363636363636
"Lasso (alpha=1.0, top-100)",Random Forest,50,20.0,1.7111999999999998,1.0665454545454545,0.24100458171604416,0.2727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,50,30.0,1.6766218181818182,1.0612727272727274,0.2571211414847778,0.2727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,50,,1.7078072727272724,1.0710909090909089,0.21760134552354668,0.2545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,100,10.0,1.6899835648687813,1.0588842083676018,0.26640563469495077,0.3
"Lasso (alpha=1.0, top-100)",Random Forest,100,20.0,1.668915454545455,1.0517272727272726,0.22905791082261673,0.2727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,100,30.0,1.7468709090909091,1.0839999999999999,0.22598619499568598,0.24545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,100,,1.6170554545454545,1.0350000000000001,0.2547520661157025,0.2909090909090909
