dimension_reduction_type,model,max_depth,min_samples_split,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,2,2.631285938974521,1.1511229946524069,0.32340490609398176,0.32727272727272727
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,5,2.536658607362944,1.170170991557745,0.30008255871892237,0.3
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,10,2.404795351001237,1.1791412799195835,0.2749610233563703,0.2636363636363636
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,2,2.372727272727274,1.154545454545455,0.2738829365384389,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,5,2.612686016248451,1.1849117630753034,0.3077856366872385,0.3090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,10,2.320953499214791,1.1412361548206076,0.2963081103256177,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,2,2.7818181818181826,1.2363636363636368,0.28628472043631403,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,5,2.5986373419590865,1.1624425127310873,0.2947981277526732,0.3
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,10,2.4473530785087205,1.1827579855099242,0.28228372950520497,0.2727272727272727
"Lasso (alpha=1.0, top-100)",Decision Tree,,2,2.3818181818181823,1.1272727272727279,0.2864750723112747,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Decision Tree,,5,2.6193865980061672,1.1890471491413825,0.3014157384117858,0.3
"Lasso (alpha=1.0, top-100)",Decision Tree,,10,2.4238285231286723,1.1984986271274352,0.2538873413962509,0.24545454545454545
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,2,3.5349287090687245,1.4407798504563782,0.271804712621703,0.2727272727272727
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,5,3.5627654966358446,1.45562358097383,0.26244246662428483,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,10,3.325155416219421,1.426657874549635,0.27383375024185297,0.2727272727272727
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,2,3.7181818181818183,1.4636363636363636,0.25733467681743544,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,5,3.6793625440443076,1.4664043831721236,0.27446478152553266,0.2818181818181818
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,10,3.4243505935594865,1.4376794660594199,0.25376364871017276,0.2545454545454545
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,2,3.7181818181818183,1.4636363636363636,0.270288196651833,0.2727272727272727
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,5,3.718621480855931,1.487603883439432,0.26257199297662825,0.2727272727272727
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,10,3.7405029248321355,1.509260870551041,0.25096393261465033,0.24545454545454545
"Ridge (alpha=1.0, top-100)",Decision Tree,,2,3.8,1.490909090909091,0.27940610114523157,0.2818181818181818
"Ridge (alpha=1.0, top-100)",Decision Tree,,5,3.566797941820101,1.4471278043841032,0.2573412945930279,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Decision Tree,,10,3.4557553757139803,1.430965265227572,0.2817468516332152,0.2818181818181818
PCA (n_components=50),Decision Tree,10.0,2,3.196852996844301,1.3949382893531033,0.24010354510354506,0.22727272727272727
PCA (n_components=50),Decision Tree,10.0,5,3.2476602066751035,1.3867708368126612,0.25490832696715054,0.23636363636363636
PCA (n_components=50),Decision Tree,10.0,10,3.2775702515000025,1.4308715914910128,0.20691678578459483,0.2
PCA (n_components=50),Decision Tree,20.0,2,3.7181818181818183,1.4272727272727272,0.29272648919707744,0.2909090909090909
PCA (n_components=50),Decision Tree,20.0,5,3.5138394737627556,1.4470542675180635,0.23724990748735658,0.23636363636363636
PCA (n_components=50),Decision Tree,20.0,10,3.3910355703599233,1.4470050196964657,0.21084873271976867,0.20909090909090908
PCA (n_components=50),Decision Tree,30.0,2,3.772727272727273,1.4636363636363636,0.2610722243442831,0.2636363636363636
PCA (n_components=50),Decision Tree,30.0,5,3.542317078377058,1.4031299598776346,0.3048189002117512,0.3
PCA (n_components=50),Decision Tree,30.0,10,3.4287914701264826,1.458809586087199,0.2241064689251081,0.21818181818181817
PCA (n_components=50),Decision Tree,,2,3.5,1.4272727272727272,0.23687838955786375,0.23636363636363636
PCA (n_components=50),Decision Tree,,5,3.420859450199673,1.3696033734305941,0.3112473027488507,0.3090909090909091
PCA (n_components=50),Decision Tree,,10,3.419638757533493,1.4540751375486343,0.21856409373454827,0.21818181818181817
