dimension_reduction_type,model,alpha,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.1,4.812353577944194,1.345116658651579,0.2981357733175915,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.5,3.5704519005432145,1.2136651361095325,0.2929016203737611,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Poisson Regression,1.0,2.68483136917587,1.1509034182889581,0.305930260633818,0.3090909090909091
"Lasso (alpha=1.0, top-100)",Poisson Regression,5.0,1.848492422541488,1.0887860383646726,0.2709743263762064,0.3181818181818182
"Lasso (alpha=1.0, top-100)",Poisson Regression,10.0,1.8915422005584823,1.1107221190314762,0.2394804335236204,0.3090909090909091
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.1,9.755960402759545,1.5741598468802387,0.3245622335810903,0.3181818181818182
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.5,4.130503081133508,1.3122687647967082,0.2346459370668857,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Poisson Regression,1.0,2.8467254527351016,1.2156465204379274,0.26748798631336074,0.3
"Ridge (alpha=1.0, top-100)",Poisson Regression,5.0,1.8629380056987623,1.1107575514988066,0.23804272097229842,0.2818181818181818
"Ridge (alpha=1.0, top-100)",Poisson Regression,10.0,1.9196910923177257,1.119474547950404,0.23677633244359858,0.2818181818181818
PCA (n_components=50),Poisson Regression,0.1,2.31237747627389,1.1943509208434941,0.23418181818181819,0.2636363636363636
PCA (n_components=50),Poisson Regression,0.5,2.114124334010129,1.1385031646067165,0.26163916140581694,0.2909090909090909
PCA (n_components=50),Poisson Regression,1.0,2.0125761227527796,1.1098529381460318,0.28099856275329854,0.3090909090909091
PCA (n_components=50),Poisson Regression,5.0,2.050087621390649,1.168764807891406,0.20588086612183,0.3
PCA (n_components=50),Poisson Regression,10.0,2.1772660918325015,1.2193119512878754,0.19689578713968958,0.2909090909090909
