dimension_reduction_type,model,n_estimators,max_depth,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-100)",Random Forest,10,10.0,1.8229502571692424,1.0924191356107362,0.23686845271023768,0.2545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,10,20.0,1.8930000000000002,1.1209090909090909,0.25023527197440243,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Random Forest,10,30.0,1.6648181818181818,1.0463636363636362,0.26523698523698525,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,10,,1.7109090909090912,1.0509090909090908,0.28721974542870066,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,20,10.0,1.5661470847190706,1.020640428423177,0.219494137575979,0.2545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,20,20.0,1.6848636363636367,1.048181818181818,0.27156170663857826,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Random Forest,20,30.0,1.8204545454545455,1.120909090909091,0.20714243842586086,0.21818181818181817
"Lasso (alpha=1.0, top-100)",Random Forest,20,,1.666204545454545,1.0613636363636363,0.24131706953624762,0.2545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,50,10.0,1.7781811573470139,1.1004960786624132,0.18529543749882732,0.20909090909090908
"Lasso (alpha=1.0, top-100)",Random Forest,50,20.0,1.6481381818181817,1.0338181818181817,0.25719606490298486,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,50,30.0,1.5586036363636362,1.012,0.2674754918398182,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,50,,1.7248981818181819,1.0663636363636364,0.2220690764344015,0.2545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,100,10.0,1.61404130807362,1.0251680718720908,0.26359235030717193,0.3
"Lasso (alpha=1.0, top-100)",Random Forest,100,20.0,1.6552600000000004,1.0563636363636366,0.2386271216705999,0.2636363636363636
"Lasso (alpha=1.0, top-100)",Random Forest,100,30.0,1.653358181818182,1.0514545454545456,0.23197457478982408,0.2636363636363636
"Lasso (alpha=1.0, top-100)",Random Forest,100,,1.722766363636364,1.0635454545454543,0.2395898808830947,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,10,10.0,1.942761592420119,1.1341459064605393,0.23922004948519435,0.2727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,10,20.0,1.744181818181818,1.0618181818181818,0.2933248627433687,0.3090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,10,30.0,2.0734545454545454,1.1836363636363638,0.19693437044239184,0.22727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,10,,1.5926363636363632,1.0336363636363637,0.28006226702992637,0.3090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,20,10.0,1.8238222842639669,1.1321635727152144,0.17083935385067964,0.19090909090909092
"Ridge (alpha=1.0, top-100)",Random Forest,20,20.0,1.7743636363636364,1.0954545454545457,0.2191758996387733,0.23636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,20,30.0,1.628409090909091,1.06,0.22457395011405706,0.23636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,20,,1.6748636363636364,1.0590909090909093,0.22396153064149077,0.2818181818181818
"Ridge (alpha=1.0, top-100)",Random Forest,50,10.0,1.6474757713164208,1.067175145584114,0.21257575757575758,0.2545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,50,20.0,1.816105454545455,1.1074545454545455,0.255354556733589,0.2727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,50,30.0,1.8158254545454544,1.1145454545454545,0.20780483287469084,0.23636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,50,,1.8110254545454552,1.1138181818181818,0.16992954884162037,0.20909090909090908
"Ridge (alpha=1.0, top-100)",Random Forest,100,10.0,1.68724585492966,1.0714028462466614,0.24772247876756678,0.2727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,100,20.0,1.7164027272727276,1.0926363636363636,0.2042944827633823,0.23636363636363636
