feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,target
109.5844,199.2236,169.4723,241.6923,225.7141,40.0761,98.6054,197.4353,136.4503,175.8541,98.9764,1139.2844,90.4362,324.1915,116.3081,23.3208,25.5123,134.5734,280.3825,51.1183,496.454,37.2458,67.7001,139.4464,64.1239,47.3689,22.1706,165.1756,791.2582,32.7417,114.5713,223.9088,43.6278,6.6386,324.2112,72.4864,109.4927,272.6876,9.4589,392.5719,336.8034,48.4092,55.8886,33.6814,2.6912,62.5213,10.4219,133.8428,385.4912,15.54,134.1422,211.594,88.7834,309.8634,201.4718,166.8824,49.1962,76.0867,161.5576,104.1603,44.2577,188.5728,93.3565,38.5571,255.6525,15.7501,696.4917,7.807,55.7154,242.3408,60.4337,70.6936,25.2481,350.7548,5.4004,427.3296,95.5523,52.9402,3.4876,387.8071,28.5505,229.6059,218.129,85.287,6.0256,39.4333,78.2837,125.5054,74.8226,275.7835,465.8898,309.5399,265.5883,61.33,184.1687,156.8268,245.6668,53.3198,44.8004,2.8925,5.0
32.9989,60.0537,86.3104,55.5214,97.5714,76.9711,127.6358,77.8861,56.7621,64.3441,96.4914,367.4162,7.5545,131.2016,39.3952,13.5789,61.8537,29.7561,162.1888,33.9617,183.7312,41.9132,107.5707,48.8863,59.5258,47.3495,43.0892,51.1066,176.6135,15.6908,80.6469,468.2383,45.3673,8.0553,130.225,54.9746,95.4935,84.7197,8.8595,129.0773,405.3193,56.8792,60.124,29.9693,33.5799,127.9809,13.6799,71.6621,153.5308,79.8076,149.1137,193.9203,71.2126,90.4508,70.0312,77.2203,30.9545,75.0371,41.122,141.9778,21.6686,80.3575,130.8326,112.491,92.7559,65.958,154.6889,36.1299,15.5019,81.674,74.3473,124.4089,10.6289,63.6629,5.6384,126.0227,34.0299,18.4653,0.3452,170.8134,13.3947,330.6506,100.4622,28.6129,23.6172,51.3319,112.2791,34.4769,121.3562,128.1893,154.3955,132.9203,82.9817,61.1885,139.1686,147.1008,261.6503,105.2111,22.8154,6.0413,2.0
214.8072,114.9957,111.5915,145.3391,201.8751,35.443,45.1479,207.3234,152.4503,11.5028,45.5364,794.6372,38.0959,351.6121,69.842,12.3054,72.6866,79.2345,294.4808,49.4782,672.4569,11.2969,82.0408,89.3667,83.1129,77.4199,27.8087,49.8356,516.7327,23.9804,93.0334,144.5408,52.8038,8.5348,288.416,27.5745,209.9373,361.9835,7.5233,244.7394,336.9807,91.9736,32.4123,27.1349,9.061,54.9643,28.0193,78.8176,289.8762,8.5283,173.4756,106.2007,153.8521,125.3025,230.149,121.5287,64.1668,50.9988,132.5639,31.3311,82.8411,131.2661,146.2627,57.8459,93.8064,43.5305,426.6323,8.4438,36.4776,142.1827,55.5793,55.5732,6.081,151.2434,0.075,314.6017,33.2391,25.4171,0.038,444.7459,17.1164,166.1673,133.5239,35.9285,2.1099,26.495,90.7637,37.5532,22.386,204.3532,308.6228,250.2424,193.8557,31.9007,136.8009,132.8114,202.1534,89.5514,43.515,11.9333,5.0
85.3728,363.6163,77.8843,562.7536,372.9678,31.9485,58.0292,445.6831,146.8014,84.5618,31.453,857.8259,39.6186,158.7961,192.4531,59.412,53.3846,192.1961,488.0411,24.2866,1991.2406,54.1833,46.6827,211.4877,42.73,46.3266,19.5544,93.1032,1627.4951,20.0698,118.6477,161.6065,39.4291,1.6389,502.6496,45.5448,100.3997,726.4488,17.5912,762.0567,165.027,31.6605,96.6953,22.3685,6.9533,122.6107,3.6254,127.8869,214.8157,4.8666,96.1456,800.7606,47.004,370.6881,212.1292,141.5048,36.5671,77.2832,287.8597,39.6854,72.7562,190.8658,77.2299,35.4109,65.8617,9.8144,807.537,5.4083,25.192,353.4594,64.2304,20.1967,13.0175,199.4908,1.679,847.5163,42.9466,15.361,0.9373,340.3798,50.9804,72.8426,157.1158,47.2608,2.2408,31.0931,34.3206,21.6124,27.221,404.6574,529.7008,452.3008,167.3148,50.6475,140.4147,269.6207,167.0486,29.648,31.9312,3.3338,1.0
124.3097,142.4521,182.2349,178.589,209.3612,80.66,16.0911,160.8115,118.8635,26.4032,147.1802,668.7393,5.7851,78.4418,117.1157,11.5069,61.2266,70.5322,398.5101,12.1679,550.4382,29.8446,126.6757,115.0944,100.962,17.1782,36.4374,125.1495,581.7067,5.5292,108.9419,493.6144,27.8807,5.3978,292.6809,51.6277,114.7702,355.329,0.1655,354.0191,763.8448,65.9044,39.8158,19.9153,1.6612,59.2512,32.5434,94.9571,143.9336,8.8771,166.7913,381.8217,81.214,62.555,213.8401,147.3554,80.7322,49.0564,85.6653,273.0757,13.088,128.7713,150.9884,86.6475,204.7586,30.3393,542.8528,11.3174,43.6742,223.278,58.8886,55.9143,27.4046,34.2644,3.9719,375.5012,31.7818,27.2988,0.6979,336.235,5.5175,57.9674,168.1393,13.9102,1.1912,25.0948,148.8085,12.0584,17.4491,177.4088,420.1182,225.9608,225.5002,36.6637,183.2748,239.9558,442.0029,11.6266,18.1347,0.2951,2.0
71.0192,147.1653,125.5449,167.8912,181.3671,63.4352,133.2172,179.5969,99.2501,72.5601,112.9542,776.3401,25.8279,437.3329,77.8899,15.5038,28.6805,74.2881,189.5771,25.9359,409.8527,72.4681,65.4433,80.0654,50.608,33.9673,34.3357,71.8069,526.4231,16.9857,80.0747,284.771,47.7612,5.6014,299.54,52.5396,120.6743,234.4374,0.1464,281.1824,362.3843,47.5576,49.1667,45.299,15.1476,96.232,7.5821,111.222,250.1546,66.5417,105.8619,183.4976,71.4573,254.9541,137.5892,136.0624,39.7567,68.6603,133.6523,95.8269,22.4269,139.0972,94.9514,61.2857,114.7914,22.8262,455.9915,6.7092,18.2146,155.9752,76.6666,19.1596,225.3765,141.3926,28.7904,325.3013,125.638,41.861,13.1332,327.9749,24.2223,217.4338,158.3516,32.5992,17.766,45.5178,87.9715,23.4302,22.4092,256.6624,309.7434,247.3427,163.7462,68.4263,154.0987,114.0847,200.0314,56.0959,17.3954,6.6086,4.0
25.8362,152.5398,108.6215,162.432,216.9478,83.4515,34.5428,91.5587,101.265,31.8869,70.4383,599.4747,4.6576,241.642,96.8214,6.7676,33.8643,50.6523,309.1639,24.5371,424.1661,63.0046,163.6418,109.6051,81.0198,26.7214,23.5997,38.0024,485.191,24.8541,101.0961,447.6985,24.0378,41.9557,248.1561,105.2005,55.4706,196.7548,5.3205,251.4555,543.5288,74.2312,60.3038,27.9544,2.9326,71.2223,30.243,78.4971,79.7456,4.3924,172.3791,162.6665,82.7499,103.6093,164.4572,170.5609,69.3829,55.8164,72.7063,28.0786,20.776,120.138,119.9367,126.4997,254.6765,12.4203,379.2065,4.171,49.1458,210.0832,38.6156,13.569,29.562,45.8413,1.1456,282.5965,32.624,28.8889,1.0169,302.7664,7.7594,245.8208,174.7341,13.6169,5.2452,44.8045,115.7814,31.4561,161.6995,181.7879,326.5247,165.5896,126.3321,40.4611,135.1456,168.865,334.4762,17.0041,23.0689,0.1378,2.0
42.8379,254.006,116.8684,284.0173,273.3599,57.165,100.111,223.106,100.3596,71.8199,57.6088,805.5798,19.3657,290.459,66.9943,6.201,32.3209,58.8811,190.7824,72.6873,797.963,40.565,85.9694,111.8047,63.6704,26.7497,30.0896,31.2144,969.3691,38.1273,114.4035,167.284,29.4858,1.5567,376.938,47.077,53.7612,393.6667,3.82,427.2975,244.0161,51.1464,44.9754,49.4259,13.702,91.1457,15.2042,142.8244,175.1558,6.4624,126.1916,423.4906,58.3207,248.693,125.6431,185.2933,49.5373,43.1595,110.6499,143.4211,181.0096,112.4325,114.516,44.8797,134.1888,8.2911,495.4808,5.8355,48.3389,304.3682,56.2617,24.8616,3.2386,159.2971,4.4794,453.4759,30.2599,22.9099,0.2875,350.7435,21.4974,175.2142,190.6223,46.9381,3.7442,59.494,95.7989,14.44,80.618,196.2288,446.5049,193.7033,142.5937,63.6083,122.3809,155.2356,152.5431,54.6194,81.3209,3.0979,3.0
145.0269,234.0767,167.6986,288.5376,294.0421,66.795,274.3475,305.1457,304.1146,112.9623,127.7023,1176.0745,63.2642,147.3678,148.1299,44.8986,47.8246,231.1736,384.1687,101.4864,588.4056,144.3336,56.7411,178.3311,52.933,23.9454,44.2307,61.8763,1112.5926,14.8199,82.7446,208.1017,30.7048,3.65,543.8405,174.9329,249.3996,549.0513,3.16,461.527,432.8618,61.1005,141.5081,77.7517,10.2588,139.8263,11.7051,203.4749,1129.4719,22.5206,88.4702,340.3774,107.0595,644.1826,172.113,169.3754,23.7988,60.9849,358.6341,170.0245,36.0537,196.9572,67.0788,82.7055,76.7131,38.7914,854.4036,52.3797,10.9091,343.0344,43.0824,19.4421,81.1485,95.97,20.297,616.3049,99.985,48.1593,138.6016,508.5131,16.5599,216.3754,436.5065,30.4847,5.4662,56.951,211.4019,10.3596,15.6467,707.0105,406.2589,491.2431,295.148,39.3966,241.2703,225.6956,350.1957,23.5202,11.2028,65.7365,3.0
35.1112,131.3557,115.9899,164.0032,199.0632,118.2412,102.0337,151.8217,113.1291,71.8013,58.9724,711.6158,5.9219,75.396,84.3137,18.8559,41.1084,50.3618,188.2636,11.7704,487.8164,63.2761,190.7598,87.0968,81.8023,72.3507,40.0548,26.5193,429.1739,12.7689,110.7336,203.5796,45.208,1.5456,239.4147,69.4365,145.9046,208.2585,2.7774,243.7282,476.2074,33.3694,98.0962,44.614,42.8992,134.99,21.0829,104.5862,228.4786,1.6794,169.5871,321.0461,102.3572,103.8553,127.939,126.6609,35.0852,29.1835,79.2649,22.4693,12.429,108.385,110.8173,53.6031,181.4481,57.3214,318.6235,56.1636,24.4022,191.688,28.2962,14.3247,14.0574,60.7943,1.3452,337.9099,12.4731,48.5645,0.6615,280.7067,12.2763,100.1003,157.4405,37.1202,2.6234,38.1361,89.5493,8.6054,28.8765,211.4781,274.8318,180.4207,116.2494,31.5437,159.3798,123.2195,296.6093,76.0236,30.5781,5.3046,2.0
