dimension_reduction_type,model,max_depth,min_samples_split,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,2,3.349204695860593,1.310567512334185,0.3500453082271264,0.34545454545454546
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,5,3.041278429409801,1.2323333524162978,0.365817900112413,0.35454545454545455
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,10,2.8025574087062446,1.2044993812135518,0.35777323795474114,0.33636363636363636
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,2,3.00909090909091,1.2090909090909097,0.38907007907132035,0.38181818181818183
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,5,3.201955775161569,1.269924054685948,0.3824698598892147,0.37272727272727274
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,10,2.9700432114764483,1.2340413716684897,0.36236903995894354,0.34545454545454546
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,2,3.300000000000001,1.2818181818181824,0.3692884953893918,0.36363636363636365
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,5,3.2202878234104118,1.2784882177955659,0.3469836747379121,0.34545454545454546
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,10,2.8563798543576397,1.2042416749623184,0.3660842045443031,0.34545454545454546
"Lasso (alpha=1.0, top-100)",Decision Tree,,2,3.272727272727274,1.2363636363636368,0.3725317983031231,0.37272727272727274
"Lasso (alpha=1.0, top-100)",Decision Tree,,5,3.1564682834947555,1.2459035264776943,0.38435034068723906,0.37272727272727274
"Lasso (alpha=1.0, top-100)",Decision Tree,,10,3.0072980272829675,1.2741677652547534,0.3271191763258659,0.3090909090909091
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,2,3.3210884405786394,1.4197656722434995,0.2336479116281861,0.23636363636363636
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,5,3.6514036447163574,1.4880613715121822,0.22105425101597875,0.21818181818181817
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,10,3.6864848324051,1.5033119303082665,0.25311264493082675,0.2545454545454545
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,2,3.5454545454545454,1.4727272727272727,0.22540677295000217,0.22727272727272727
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,5,3.4187841532936845,1.4451552034009143,0.24386121055977517,0.24545454545454545
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,10,3.2802999433640903,1.3667724467309392,0.2985629229030988,0.3
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,2,3.2363636363636363,1.3818181818181818,0.25765363782755085,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,5,3.231897524926397,1.3992190816854961,0.22294605399551926,0.21818181818181817
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,10,3.69846069555516,1.477862746345488,0.277679847321552,0.2818181818181818
"Ridge (alpha=1.0, top-100)",Decision Tree,,2,3.390909090909091,1.4454545454545455,0.2165351797877242,0.21818181818181817
"Ridge (alpha=1.0, top-100)",Decision Tree,,5,3.5492311856002217,1.486890740590997,0.23502519990421872,0.23636363636363636
"Ridge (alpha=1.0, top-100)",Decision Tree,,10,3.4834531824071506,1.4105073744446617,0.3135896786086702,0.3090909090909091
PCA (n_components=50),Decision Tree,10.0,2,4.095905923918738,1.6055333076665028,0.19567763110012312,0.2
PCA (n_components=50),Decision Tree,10.0,5,3.7588192936585036,1.5562640691252037,0.2223984901121968,0.21818181818181817
PCA (n_components=50),Decision Tree,10.0,10,3.435844297071426,1.4787537668155393,0.21900955405743364,0.22727272727272727
PCA (n_components=50),Decision Tree,20.0,2,4.0,1.5636363636363637,0.2396585061886827,0.23636363636363636
PCA (n_components=50),Decision Tree,20.0,5,3.5225088782809,1.4904449353482894,0.22706179386801395,0.21818181818181817
PCA (n_components=50),Decision Tree,20.0,10,3.5209350667486623,1.5035119860864008,0.21830218148602068,0.22727272727272727
PCA (n_components=50),Decision Tree,30.0,2,3.790909090909091,1.5,0.2654825566590272,0.2636363636363636
PCA (n_components=50),Decision Tree,30.0,5,4.038659528363319,1.573347900989576,0.2564448365734276,0.2545454545454545
PCA (n_components=50),Decision Tree,30.0,10,3.4957901685188517,1.4943418654269185,0.21769761364007356,0.22727272727272727
PCA (n_components=50),Decision Tree,,2,3.8454545454545452,1.5363636363636364,0.2105999263894001,0.21818181818181817
PCA (n_components=50),Decision Tree,,5,3.847758038940749,1.524322468419299,0.25638029553442465,0.2545454545454545
PCA (n_components=50),Decision Tree,,10,3.4413791850538145,1.4772656983507515,0.22551331092379587,0.23636363636363636
