dimension_reduction_type,model,alpha,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.1,2.5915338840297495,1.1718619254974167,0.30841802962546,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.5,1.922633617167406,1.0715103649581639,0.30777820729295885,0.3
"Lasso (alpha=1.0, top-100)",Poisson Regression,1.0,1.7684222786398558,1.042823131361604,0.2900596400596401,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Poisson Regression,5.0,1.7687619129301588,1.08930030914845,0.21816414768027673,0.2636363636363636
"Lasso (alpha=1.0, top-100)",Poisson Regression,10.0,1.9171240824107343,1.1406933699702941,0.21688186209925342,0.2909090909090909
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.1,2.7282114354226312,1.2691241877150423,0.21711366364727708,0.20909090909090908
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.5,2.080518915376532,1.1809851383212828,0.22526599851910806,0.23636363636363636
"Ridge (alpha=1.0, top-100)",Poisson Regression,1.0,1.9667024354103773,1.1575005146887283,0.20538796858456299,0.20909090909090908
"Ridge (alpha=1.0, top-100)",Poisson Regression,5.0,2.005565751089873,1.1857508424595362,0.20200498161649344,0.2545454545454545
"Ridge (alpha=1.0, top-100)",Poisson Regression,10.0,2.0921257174230616,1.2182695035999807,0.19286312158413088,0.2545454545454545
PCA (n_components=50),Poisson Regression,0.1,2.838461504975723,1.3131643930643495,0.23775557775557776,0.2545454545454545
PCA (n_components=50),Poisson Regression,0.5,2.487401915613013,1.2501093142605524,0.22340476518795863,0.2545454545454545
PCA (n_components=50),Poisson Regression,1.0,2.2899788412508886,1.2075796467781497,0.21775190813313985,0.2636363636363636
PCA (n_components=50),Poisson Regression,5.0,2.217335062399591,1.2329938141604055,0.17421967421967421,0.2727272727272727
PCA (n_components=50),Poisson Regression,10.0,2.3719015196892124,1.295389013225319,0.15789794496691048,0.2545454545454545
