dimension_reduction_type,model,n_estimators,max_depth,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-100)",Random Forest,10,10.0,1.990900604688156,1.133128887362473,0.22532671250318312,0.23636363636363636
"Lasso (alpha=1.0, top-100)",Random Forest,10,20.0,1.8113636363636363,1.0663636363636364,0.26515902499325694,0.2909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,10,30.0,1.7690000000000006,1.0918181818181818,0.23189968832584648,0.2636363636363636
"Lasso (alpha=1.0, top-100)",Random Forest,10,,1.803363636363636,1.0681818181818181,0.30324362255286835,0.32727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,20,10.0,1.6709973407688372,1.0490053205253091,0.21436385532275945,0.2545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,20,20.0,1.6877272727272727,1.0527272727272725,0.29639708776072415,0.3181818181818182
"Lasso (alpha=1.0, top-100)",Random Forest,20,30.0,1.7691136363636366,1.0940909090909092,0.22012684318105874,0.2727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,20,,1.6852272727272728,1.0454545454545454,0.24035159904989178,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Random Forest,50,10.0,1.6272416109055077,1.035286589524263,0.23047954998654935,0.2727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,50,20.0,1.6656545454545455,1.0579999999999998,0.2401591577274074,0.2727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,50,30.0,1.6988800000000004,1.0679999999999998,0.236169583105067,0.2636363636363636
"Lasso (alpha=1.0, top-100)",Random Forest,50,,1.5975927272727275,1.0269090909090908,0.23206742737239094,0.2727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,100,10.0,1.6493959275061247,1.04497658481445,0.2319174632895669,0.2636363636363636
"Lasso (alpha=1.0, top-100)",Random Forest,100,20.0,1.55203,1.0239090909090907,0.23057114034066659,0.2818181818181818
"Lasso (alpha=1.0, top-100)",Random Forest,100,30.0,1.588154545454545,1.0292727272727273,0.2644477923100496,0.3090909090909091
"Lasso (alpha=1.0, top-100)",Random Forest,100,,1.5973545454545452,1.0463636363636364,0.24003288196836586,0.2818181818181818
"Ridge (alpha=1.0, top-100)",Random Forest,10,10.0,1.854246203564948,1.1239863636611593,0.21212958653215272,0.2545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,10,20.0,1.861,1.1263636363636365,0.1763319942557355,0.21818181818181817
"Ridge (alpha=1.0, top-100)",Random Forest,10,30.0,1.7697272727272726,1.1045454545454545,0.1875990675990676,0.22727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,10,,1.9288181818181815,1.1572727272727272,0.2018168604651163,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,20,10.0,1.7608838069804973,1.0804539214287636,0.2124246090670773,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,20,20.0,1.8062045454545455,1.115,0.15636911819909788,0.20909090909090908
"Ridge (alpha=1.0, top-100)",Random Forest,20,30.0,1.7045000000000001,1.080909090909091,0.18526155475308018,0.2545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,20,,1.73725,1.0795454545454544,0.2210409329034744,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,50,10.0,1.7635132163229104,1.0943826061583353,0.1795030716449473,0.24545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,50,20.0,1.7143527272727273,1.0681818181818181,0.21679156495751487,0.2909090909090909
"Ridge (alpha=1.0, top-100)",Random Forest,50,30.0,1.6034836363636364,1.0425454545454547,0.18529105282069705,0.2545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,50,,1.7219563636363637,1.0869090909090908,0.17380210364531382,0.23636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,100,10.0,1.6677283023238765,1.051568985495954,0.19411928767658176,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,100,20.0,1.715694545454546,1.086909090909091,0.19189792663476876,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,100,30.0,1.7467427272727272,1.096272727272727,0.167516803004009,0.23636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,100,,1.6311354545454546,1.044272727272727,0.21715871644651544,0.2818181818181818
PCA (n_components=50),Random Forest,10,10.0,2.011709863809809,1.1659578731713258,0.17061972394040703,0.2
PCA (n_components=50),Random Forest,10,20.0,2.095181818181818,1.1936363636363638,0.197270231856698,0.24545454545454545
PCA (n_components=50),Random Forest,10,30.0,2.0780000000000003,1.2145454545454546,0.16909774436090227,0.21818181818181817
PCA (n_components=50),Random Forest,10,,1.9939090909090913,1.195454545454545,0.17390570758956103,0.21818181818181817
PCA (n_components=50),Random Forest,20,10.0,1.774967966867933,1.1171359810016972,0.21279373710613098,0.24545454545454545
PCA (n_components=50),Random Forest,20,20.0,1.7089318181818183,1.0804545454545453,0.2187471395881007,0.2545454545454545
PCA (n_components=50),Random Forest,20,30.0,1.7323181818181819,1.1063636363636364,0.15352385878701666,0.20909090909090908
PCA (n_components=50),Random Forest,20,,1.8800909090909088,1.1654545454545453,0.19145570954554617,0.22727272727272727
PCA (n_components=50),Random Forest,50,10.0,1.7928918033092327,1.1252042368810808,0.18620095693779903,0.22727272727272727
PCA (n_components=50),Random Forest,50,20.0,1.8045963636363642,1.1243636363636362,0.19794387689124532,0.2636363636363636
PCA (n_components=50),Random Forest,50,30.0,1.6323818181818184,1.075090909090909,0.19809476433279444,0.2545454545454545
PCA (n_components=50),Random Forest,50,,1.7847745454545456,1.1347272727272728,0.16607474412931972,0.20909090909090908
PCA (n_components=50),Random Forest,100,10.0,1.704457963523416,1.0906707922684808,0.17437351381013355,0.23636363636363636
PCA (n_components=50),Random Forest,100,20.0,1.7459190909090914,1.123181818181818,0.16278984173721017,0.21818181818181817
PCA (n_components=50),Random Forest,100,30.0,1.7502681818181824,1.1122727272727273,0.18171461449942466,0.23636363636363636
PCA (n_components=50),Random Forest,100,,1.7920090909090909,1.1238181818181818,0.20064067107653655,0.2545454545454545
