feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,target
315.9595,80.618,164.4552,47.077,201.1076,134.1888,33.783,113.3503,805.5798,969.3691,1087.2803,419.7713,86.8044,136.6408,323.0727,220.5988,573.9706,25.4672,1005.1017,495.4808,142.7888,504.9994,72.64,297.0329,116.8684,64.8751,129.4611,98.7549,890.3757,167.284,117.4252,54.5697,18.8128,391.4534,52.5251,62.3522,398.7399,246.303,95.4303,149.1623,0.2875,175.1558,83.9072,122.0417,58.3207,82.6426,27.2173,333.4717,145.023,19.2154,159.2971,556.7146,6.8997,167.2961,33.0355,33.9265,361.53,94.8439,42.0309,213.6733,210.1085,397.936,6.0656,181.0096,190.7824,152.3441,24.5769,21.4974,148.02,453.4759,423.4906,78.0873,248.693,313.4264,17.694,126.5495,85.9694,0.1651,51.5719,188.523,63.5914,175.2142,212.5324,62.4962,81.3209,31.2144,61.6654,162.88,20.5275,94.8941,359.7455,42.8943,141.0114,31.6363,142.5937,61.2016,57.165,73.5571,14.44,146.9903,3.0
673.128,7.6727,135.8172,61.0187,601.212,102.9466,28.9136,54.1835,3405.3276,3990.7192,1055.6922,2033.4758,152.2887,518.2807,1140.0952,255.2377,2293.1018,210.1398,2256.3686,3046.4047,201.1021,1810.5679,36.6739,602.2616,362.546,183.8246,301.0735,242.3993,2449.2852,198.3445,63.3071,309.9967,18.3785,2266.3491,64.2956,113.0227,625.9331,1311.0491,33.0965,36.2365,0.1516,422.1988,55.1986,237.5903,130.9952,163.8018,29.4989,1252.0315,416.965,0.8019,76.8302,534.7542,29.0684,230.7886,188.3036,35.6797,782.6938,23.8347,393.2499,49.5049,168.2135,1458.8886,0.721,44.2001,935.0178,289.043,52.4922,26.629,656.7831,1773.0987,794.9042,164.7565,396.0274,1638.5838,1.1896,116.6123,30.4703,0.3966,106.149,392.4451,108.6645,43.9058,196.4132,119.4053,44.8557,50.4517,467.2749,172.5596,5.3513,30.665,580.0058,1.5938,1025.283,47.4932,763.84,18.3848,29.5291,17.3096,15.7897,189.2462,3.0
223.8275,20.104,191.5427,18.4688,658.1465,44.3522,32.1781,125.236,913.4126,592.8836,1757.1142,384.7207,90.8678,123.6441,277.847,156.3361,438.538,189.2891,588.8155,511.7379,89.7644,1289.7674,66.7792,391.961,187.3369,119.6423,119.3313,131.2191,622.9976,879.3296,33.158,41.3566,155.0202,1153.9491,92.6781,29.9735,888.3337,204.7042,256.9068,154.2375,31.1486,227.8436,66.9865,119.2916,107.0799,180.54,23.5643,306.8784,180.0947,10.5515,109.2404,486.517,1.1164,211.8313,31.995,104.4521,576.6725,50.2778,19.1888,81.5286,200.9017,403.9343,2.0234,37.3359,260.1994,315.336,5.9716,21.397,180.2541,346.0768,235.077,31.5224,293.7924,387.9948,11.3471,66.8384,102.6599,33.5652,83.7544,175.0658,138.5137,112.8103,143.6726,79.0704,33.599,59.5231,91.0291,231.4941,15.6135,44.4243,225.4922,30.1307,124.3256,71.6183,175.6773,27.7108,52.7341,165.5077,42.1831,213.9034,5.0
130.2199,88.0922,58.2425,55.831,179.1254,83.777,122.26,107.632,720.2252,335.094,1015.663,240.4379,73.2651,113.895,270.2089,533.8569,264.3672,27.0978,376.755,324.1373,77.8714,316.6472,53.0964,255.3195,57.8091,50.6521,158.6549,4.4841,439.4447,425.1305,112.1072,15.3954,77.1178,286.937,19.9442,15.2005,398.7405,135.7582,207.3004,89.4719,306.6203,428.397,83.491,41.1583,71.8707,164.7412,26.7457,254.5549,96.7434,33.9047,86.8988,434.5029,2.3267,192.6125,26.5569,47.2411,261.2846,107.1473,52.9839,300.3955,222.9211,250.0931,2.5135,81.9319,147.2545,320.4328,42.4154,22.4164,122.5419,235.2809,254.2826,2.7243,418.8806,177.3212,84.3165,69.1355,83.4649,0.5353,44.4027,133.8357,436.5789,473.4147,89.8067,69.0256,26.3406,88.7589,53.7652,208.8911,28.728,932.0608,168.8818,9.3982,104.683,32.804,123.9261,1.6662,40.1037,377.395,149.0023,182.3338,0.0
248.4321,91.0213,197.8492,60.3606,61.2518,430.9661,27.4131,163.398,708.6654,457.6645,926.0706,241.3643,127.0656,209.1824,283.3152,777.6926,338.4218,64.8928,605.3362,366.5962,493.6119,396.2902,98.1453,83.2927,134.5052,28.3053,35.994,6.5351,574.3448,350.1615,217.628,85.9113,34.3435,192.5828,78.7867,66.184,265.3784,186.5377,29.1778,303.8614,1.9772,62.1464,40.7505,147.188,98.1982,249.1534,75.2541,275.4578,131.4543,26.6045,38.7242,608.4083,2.0384,244.1518,25.5679,11.3605,95.8179,43.5366,25.0,133.6504,194.5775,267.2115,2.4222,6.1007,167.8022,189.4378,21.1145,29.3402,145.5031,267.2781,283.1074,0.8761,44.2505,245.2438,71.7254,8.7622,107.7156,0.237,27.2245,149.0347,47.5621,131.9447,28.9613,47.2371,13.4217,20.723,49.1466,200.0262,3.1882,71.0633,262.0728,8.713,109.4663,23.1619,202.4277,1.7031,97.3897,31.2553,14.2793,97.2379,2.0
239.3311,75.5674,445.0876,88.1401,87.5725,365.9425,11.9065,208.2183,581.2769,504.3677,1126.5475,305.6928,160.6675,138.9419,165.0434,599.0883,346.7116,126.3017,665.9073,406.8022,150.0844,295.824,76.6988,70.1343,109.7285,94.4329,86.7201,20.1001,630.4912,232.7401,218.6061,93.5793,0.5023,184.398,102.2594,61.0368,152.3402,203.4695,96.1997,361.3079,0.0191,83.5286,55.1038,227.5786,144.2682,270.8749,72.4697,320.3885,227.7538,41.5922,100.3538,767.8672,0.6671,246.0353,32.2767,6.9942,53.4495,86.2814,31.1265,154.8683,197.0036,339.4293,23.046,11.5307,200.777,280.3947,31.0772,14.2718,185.8641,377.4494,344.2683,0.0,106.3458,253.5068,47.1193,1.2752,167.0929,0.1495,58.8726,232.1076,50.4113,89.1272,42.3769,74.3754,18.8732,64.0269,60.1574,248.1721,1.4707,79.5528,256.5785,5.5056,135.8109,33.0074,131.4074,1.4989,80.4453,0.0224,29.3897,70.3973,2.0
235.675,55.5136,45.3627,39.1435,109.0876,190.1813,47.5286,70.9989,949.6789,988.2698,842.6293,618.2612,589.6857,31.1118,212.8435,296.5595,598.14,24.5594,483.9317,685.6734,154.9357,199.4317,61.9711,241.7442,93.8496,71.8318,366.3738,895.7928,616.779,117.1131,135.423,40.5096,49.3839,221.0291,51.2224,132.0688,396.3946,237.993,187.271,74.9978,8.6456,669.1147,82.7078,14.6081,82.6067,288.2055,20.1196,448.3408,340.7027,7.8473,193.7026,399.2149,6.3184,218.9101,84.716,1.9702,273.3279,175.2855,13.8309,222.8533,209.4255,590.8498,6.6566,265.93,201.1266,251.4569,9.5489,52.0864,303.6996,442.7415,162.3208,0.5815,340.7611,534.9245,92.7699,1.7923,80.9658,1.0184,83.2636,271.2057,52.0624,180.018,235.9331,138.5444,58.312,55.6879,156.8528,164.6459,15.4479,95.1235,201.0792,82.4149,298.5391,60.7465,181.584,4.3003,33.7048,66.4865,127.3864,169.3147,3.0
412.1744,44.836,70.4115,38.2575,136.5821,237.0781,56.9009,106.3802,1438.8735,1120.7413,1305.3956,685.9685,55.0466,104.5876,326.2754,102.4355,713.3546,19.9117,976.9816,863.2543,113.5973,256.6186,64.7963,200.3576,95.6146,46.229,159.3323,38.7909,1017.8007,137.3629,165.3087,93.6197,40.2779,301.5343,40.5294,53.3592,337.076,364.8085,48.7895,114.0914,0.472,171.5532,83.5776,8.9872,45.9306,49.6142,32.1731,215.2206,151.8668,8.8067,144.0221,611.3947,3.5039,139.7603,14.5201,66.6965,277.8953,78.3304,28.9554,237.2044,243.1327,705.1565,38.9447,32.135,145.2989,327.6385,14.6616,24.2362,118.7887,509.5365,418.84,13.5979,297.0509,339.1511,25.3404,98.2904,52.0141,1.0318,69.2866,211.3103,78.5598,149.7539,168.089,90.9916,38.1796,90.6046,101.8509,208.524,24.6746,72.5196,397.3429,10.6741,193.9109,29.882,333.0582,17.3019,32.1805,50.8249,19.2641,117.3549,2.0
211.4735,21.5224,26.7607,186.964,42.7107,38.0112,42.2658,241.389,864.842,521.8512,929.4566,245.5051,452.229,134.3829,380.1168,827.9825,306.429,380.6278,492.7032,382.5539,172.8918,364.2024,60.1586,175.3343,49.4385,87.2257,109.2889,21.8876,510.9207,175.0559,44.4012,53.1499,56.772,468.4152,70.1661,13.9943,475.6033,198.3851,17.9369,132.8179,7.7968,184.995,94.2196,118.2425,142.7078,241.4486,22.4502,298.5549,129.775,8.1139,99.0668,662.7454,3.1119,191.7707,24.8126,132.9399,167.1002,66.7693,64.7523,204.8532,237.0828,310.05,2.6449,40.5589,165.1605,182.9754,7.8308,18.82,202.5522,284.044,229.6022,24.1296,220.3894,246.486,21.2681,41.3123,90.0929,0.3043,44.9378,167.1843,58.8812,110.8058,99.943,82.7864,21.2741,43.6536,75.9587,267.6989,10.3271,103.9386,226.6356,14.3371,146.0162,16.8078,174.1999,10.065,39.5533,53.6237,14.2697,143.2094,4.0
160.5157,17.2165,52.973,98.5589,122.0637,92.2677,146.549,155.7334,837.6834,483.3828,764.9937,264.2424,130.0942,297.4257,284.4483,608.1413,315.5718,38.8749,436.4627,424.4718,152.7877,519.938,44.5124,156.8563,122.2157,49.3215,156.8228,13.089,472.7701,203.838,209.6327,21.188,126.581,299.6683,41.0585,29.2688,447.3228,189.3248,97.6723,157.0603,63.3326,465.4958,104.8584,47.7887,94.0919,336.1376,49.5953,289.123,155.1855,13.3399,106.7427,613.9901,8.5166,225.8659,114.3426,18.4472,190.6411,73.4613,95.1777,395.6896,206.9841,313.9477,2.6613,23.023,177.1762,154.5304,11.489,14.7403,173.892,314.0521,224.0357,4.9156,259.736,265.9324,112.0652,9.8955,113.1244,3.4096,57.615,249.0897,120.0759,164.6231,45.995,119.5152,15.2924,207.7671,100.4326,324.7716,9.1455,104.0376,177.8081,8.3352,159.4079,58.4099,171.0331,8.1743,86.6499,165.4221,21.2799,152.4208,1.0
