feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,target
19.2154,78.214,75.1794,82.248,64.8751,63.1921,18.522,0.2875,21.374,68.1602,54.6194,4.3302,29.4858,122.3809,35.6116,11.5475,7.2249,94.8439,235.2343,95.7989,79.2166,61.2016,2.2056,5.7288,21.4974,24.8616,55.3924,41.2843,297.0329,556.7146,62.532,91.1454,17.08,79.5099,193.7033,6.687,16.0626,74.3477,91.2605,614.8773,397.936,313.4264,152.5431,82.6275,41.2012,31.6363,46.9137,131.3869,162.88,46.9381,108.7221,122.2986,73.5571,495.4808,148.02,88.5242,3.1859,72.5114,125.6431,453.4759,19.4451,7.9941,126.1916,22.4787,95.1187,86.1429,53.7612,480.4277,42.5215,210.1085,172.1321,13.702,361.6251,175.2142,137.8899,144.0965,91.1457,1.9263,78.0873,207.3688,25.6298,62.3522,279.0102,117.3641,162.9261,81.3209,14.44,142.5937,108.4499,300.3378,30.0322,111.8047,104.3438,63.5914,124.6789,40.565,4.8443,108.3513,1.4204,146.9903,3.0
0.8019,284.4567,78.8204,19.4294,183.8246,25.0858,2.354,0.1516,12.8179,107.7983,7.2675,1.1196,21.0348,461.6607,257.3685,3.5733,9.6546,23.8347,388.6043,327.2239,4.5267,18.3848,0.1261,52.2143,26.629,24.878,179.6778,162.4904,602.2616,534.7542,23.1498,14.9793,8.2862,70.0742,694.2887,33.5203,19.2108,237.512,200.9688,1018.7477,1458.8886,1638.5838,801.3116,83.5223,172.519,47.4932,56.2921,264.3107,172.5596,75.8386,365.8362,390.4671,17.3096,3046.4047,656.7831,76.4838,16.0446,46.5012,388.5083,1773.0987,17.7004,0.4102,88.3798,39.1056,68.7547,607.2706,247.626,1042.1473,57.3488,168.2135,17.005,0.8236,1011.4622,43.9058,298.9114,508.9304,119.4559,0.1714,164.7565,98.9914,23.8842,113.0227,942.616,702.611,231.8554,44.8557,15.7897,763.84,445.6877,906.4658,29.3724,634.7645,107.4664,108.6645,130.6449,24.6271,17.6182,425.7699,52.3683,189.2462,3.0
10.5515,60.8489,42.5678,39.9534,119.6423,48.3194,79.2111,31.1486,70.2613,68.5526,57.9438,1.0467,61.2812,145.4564,57.4462,9.081,3.9976,50.2778,259.3969,92.1946,12.7734,27.7108,0.0866,25.1567,21.397,41.1796,38.0768,36.0455,391.961,486.517,52.5781,71.4681,18.4867,48.0932,221.2833,11.2157,28.205,74.8661,91.9832,403.0214,403.9343,387.9948,172.7105,119.1413,29.3638,71.6183,38.6701,137.4207,231.4941,38.1091,105.512,158.4775,165.5077,511.7379,180.2541,187.2436,2.3802,55.0346,163.5167,346.0768,39.0941,68.629,120.4194,30.0518,85.9526,91.1654,66.0474,329.6218,35.7729,200.9017,104.9135,4.0887,285.2764,112.8103,144.1707,195.4183,63.8951,0.5227,31.5224,145.18,47.0809,29.9735,263.1692,154.5526,35.7089,33.599,42.1831,175.6773,178.9964,406.6822,114.5017,81.2238,139.0016,138.5137,139.096,164.1155,6.064,133.1571,0.8883,213.9034,5.0
33.9047,32.76,112.1494,236.6729,50.6521,54.4673,18.1159,306.6203,47.9054,57.5472,43.4551,8.1823,51.8997,130.6017,33.0287,3.1121,13.5611,107.1473,139.3943,92.4898,18.7959,1.6662,4.0844,20.6559,22.4164,222.5449,32.8879,35.6194,255.3195,434.5029,74.3182,94.5081,17.0415,111.3893,161.7595,31.0568,198.0599,72.9003,55.0381,348.7594,250.0931,177.3212,146.7188,31.7368,43.7081,32.804,36.4445,104.6045,208.8911,32.1888,74.5014,124.6973,377.395,324.1373,122.5419,306.9589,21.3422,45.4775,97.7945,235.2809,23.0908,42.5986,124.8986,28.3893,106.6986,139.5333,67.9816,234.5956,30.5999,222.9211,148.6186,22.2508,181.755,473.4147,108.8364,99.2014,81.6358,3.7919,2.7243,153.2545,31.8104,15.2005,217.3329,126.0643,77.8607,26.3406,149.0023,123.9261,157.0506,256.8468,34.767,52.2209,89.8362,436.5789,52.9487,64.3286,8.4296,144.1911,0.6461,182.3338,0.0
26.6045,56.3043,22.4596,42.0788,28.3053,53.0503,15.8898,1.9772,8.4385,91.4449,44.6382,2.697,44.0548,131.5418,41.5821,10.1997,1.4059,43.5366,52.5462,79.4719,9.9131,1.7031,0.3702,5.4341,29.3402,11.5625,48.5563,47.8391,83.2927,608.4083,34.0802,100.7807,48.2466,54.0331,170.0817,15.6525,13.252,135.3124,92.3458,484.5572,267.2115,245.2438,320.3882,31.2304,25.9867,23.1619,43.1551,124.4476,200.0262,14.0743,65.9984,115.4613,31.2553,366.5962,145.5031,12.5883,5.0735,19.2105,184.2871,267.2781,19.8245,20.198,196.3368,17.0423,94.2349,66.3503,89.8777,380.2075,25.2606,194.5775,59.0049,12.6293,283.2517,131.9447,110.9181,94.7385,77.5574,2.2172,0.8761,124.093,17.6552,66.184,168.8715,136.6037,262.2968,13.4217,14.2793,202.4277,332.49,383.5285,38.3019,66.0813,114.6791,47.5621,193.241,25.1411,4.8835,75.6987,1.9014,97.2379,2.0
41.5922,95.4256,48.0208,43.4632,94.4329,55.8733,10.4646,0.0191,12.0579,64.6987,38.3243,0.0306,49.3086,127.0124,61.2906,3.6397,1.106,86.2814,54.7778,90.543,8.5802,1.4989,2.1404,4.9273,14.2718,20.9861,76.201,52.9394,70.1343,767.8672,44.0434,97.3432,27.7822,63.7229,165.6424,21.2604,22.722,144.5631,110.9089,466.9202,339.4293,253.5068,300.9483,19.9969,26.1463,33.0074,47.8889,107.8997,248.1721,25.0762,92.9104,133.1097,0.0224,406.8022,185.8641,4.4836,5.5836,42.6362,140.3982,377.4494,34.9613,0.5413,217.5964,15.5065,71.9992,65.4211,79.0462,378.2897,49.2618,197.0036,104.9266,2.8102,271.8617,89.1272,119.9107,172.5847,66.4881,0.079,0.0,163.413,23.2954,61.0368,176.4525,96.288,212.4481,18.8732,29.3897,131.4074,220.929,284.4156,22.1386,91.4444,98.8407,50.4113,183.7979,12.5401,12.3453,85.0674,0.8577,70.3973,2.0
7.8473,94.1594,144.2693,163.1802,71.8318,50.7024,65.9633,8.6456,13.5732,59.6324,28.2522,0.6924,53.1268,163.3,130.2637,7.9618,9.218,175.2855,415.3292,142.5299,37.7556,4.3003,4.2833,19.7455,52.0864,59.1733,72.792,33.9196,241.7442,399.2149,105.367,82.6572,6.2341,44.4364,266.2515,85.2673,28.4029,86.9323,79.4645,368.9263,590.8498,534.9245,127.2377,34.2394,51.5441,60.7465,29.4296,153.2011,164.6459,77.554,135.143,178.0156,66.4865,685.6734,303.6996,21.9798,5.1677,101.3971,184.8533,442.7415,28.687,56.3301,124.6315,40.9812,75.9973,150.4118,270.3828,352.3451,43.2025,209.4255,245.4795,28.0144,306.9148,180.018,98.0026,250.308,100.7709,0.1602,0.5815,128.6016,23.0416,132.0688,256.6686,166.1359,86.2323,58.312,127.3864,181.584,119.1939,419.0097,47.4094,89.6329,160.1725,52.0624,44.49,15.1655,0.8741,158.3027,0.6501,169.3147,3.0
8.8067,93.9883,70.252,71.4128,46.229,58.5163,14.113,0.472,18.2977,59.0421,22.7995,23.5094,31.9538,174.9603,62.681,4.495,3.7891,78.3304,180.6355,89.4787,17.5331,17.3019,2.0494,5.3424,24.2362,23.2079,50.656,58.6795,200.3576,611.3947,66.464,86.645,14.0637,61.9996,296.2446,24.7856,16.8855,85.0628,112.989,664.4726,705.1565,339.1511,197.3092,109.1695,45.4486,29.882,43.58,165.1998,208.524,36.9998,87.9302,155.6711,50.8249,863.2543,118.7887,65.3869,2.4296,80.0998,171.7423,509.5365,22.9845,10.3711,123.5344,13.252,43.341,78.0893,57.6028,456.3654,50.7196,243.1327,151.4555,6.7503,491.8041,149.7539,374.0648,152.2092,107.7893,5.2223,13.5979,192.0384,13.4015,53.3592,247.0949,254.6157,121.5212,38.1796,19.2641,333.0582,156.9058,596.9523,25.1319,111.314,156.2133,78.5598,111.5587,35.6525,3.567,137.3532,0.4961,117.3549,2.0
8.1139,59.876,75.6514,55.3573,87.2257,56.7129,7.5213,7.7968,19.3412,107.1608,41.5918,29.9918,55.7892,189.008,32.1212,8.1398,7.3288,66.7693,91.3463,109.4835,16.9767,10.065,2.7176,7.534,18.82,18.0142,49.2294,51.5999,175.3343,662.7454,52.7282,80.6994,16.0123,80.1949,251.5658,35.3642,11.9187,121.1827,76.9252,422.4868,310.05,246.486,242.0039,58.0454,88.3065,16.8078,35.4685,169.3588,267.6989,30.4418,98.2111,124.1487,53.6237,382.5539,202.5522,56.0918,10.311,64.9116,88.5888,284.044,15.121,63.1689,133.8375,83.173,45.2723,118.0569,84.2671,293.1782,92.8666,237.0828,112.142,3.2338,255.3101,110.8058,90.1446,132.3893,98.34,8.9571,24.1296,128.6709,77.6585,13.9943,258.5792,168.7509,163.1429,21.2741,14.2697,174.1999,255.9658,382.147,70.7327,87.5004,138.9579,58.8812,78.7814,13.0738,0.6461,121.9747,1.8482,143.2094,4.0
13.3399,101.0775,109.9569,106.9741,49.3215,53.4246,29.0579,63.3326,78.3549,59.4439,43.1124,6.9119,39.2085,151.729,56.078,1.7143,7.1387,73.4613,163.2365,106.7564,15.4952,8.1743,10.6636,20.3879,14.7403,22.2428,53.8392,43.5424,156.8563,613.9901,69.9647,88.1362,12.6123,98.3759,217.0227,27.5598,24.6887,112.6295,65.8857,347.6177,313.9477,265.9324,221.3153,40.806,47.6068,58.4099,67.7299,168.4932,324.7716,21.9538,99.6168,219.96,165.4221,424.4718,173.892,45.4189,5.7973,46.8009,118.3573,314.0521,78.9619,35.1194,109.1904,50.3647,170.1067,114.0417,153.6508,267.7377,59.9931,206.9841,146.1071,21.3825,213.8298,164.6231,137.7479,147.5812,133.7981,5.1903,4.9156,89.6805,12.9928,29.2688,263.0187,159.6407,130.1235,15.2924,21.2799,171.0331,191.4621,336.4245,43.0711,78.7972,175.3555,120.0759,71.3554,31.5634,6.9245,159.7328,1.003,152.4208,1.0
