dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,2,1.7142938836535475,1.2592922369344663,-0.12284955591704017,0.42683382028250866,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,5,1.6802149416081487,1.2589011730960094,-0.07865039076193181,0.42160931164298726,0.6454545454545455
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,10,1.580829347772367,1.171192460401077,0.04518111515934453,0.4508772063936842,0.6818181818181818
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,2,1.7658374268832955,1.3,-0.19138589788120863,0.3922038007101024,0.6181818181818182
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,5,1.6071430481600883,1.2205712792194368,0.01312967871683568,0.464661562644398,0.6454545454545455
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,10,1.6249913705811398,1.1755561108385295,-0.008911653320419655,0.45709430356490705,0.6727272727272727
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,2,1.6011359603844901,1.1818181818181819,0.020493226814866428,0.47345601749820426,0.6636363636363637
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,5,1.6646479947076238,1.2400003995651556,-0.0587559016715955,0.42196244224127927,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,10,1.6658845400789297,1.2290598502694219,-0.060329430691693275,0.4264648441548842,0.6545454545454545
"Lasso (alpha=1.0, top-100)",Decision Tree,,2,1.7425164665975574,1.309090909090909,-0.16012504341785339,0.4139687826863267,0.5909090909090909
"Lasso (alpha=1.0, top-100)",Decision Tree,,5,1.7308158141836298,1.2891115908384545,-0.14459733271655262,0.4157777020178033,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,,10,1.6375449068348555,1.172921746949768,-0.024560143831487524,0.4434873048220419,0.6636363636363637
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,2,1.6968208366633004,1.2546856904327746,-0.10007677905808166,0.3669536843210268,0.6818181818181818
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,5,1.642101142896636,1.2230219534367939,-0.030269461567447475,0.39452031770293183,0.6363636363636364
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,10,1.5650515815460506,1.2365946147399414,0.06414550253915474,0.43569602978906224,0.6272727272727273
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,2,1.662418829187267,1.2363636363636368,-0.05592219520666886,0.4237844796985006,0.6727272727272727
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,5,1.5944097482535287,1.1793298782682482,0.028705561007826286,0.44788814484892747,0.6454545454545455
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,10,1.5853171402338126,1.2441118456450402,0.039752178315031306,0.43595559509348136,0.6454545454545455
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,2,1.6403990645294488,1.1818181818181823,-0.028134769017019723,0.45109889972509865,0.7
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,5,1.6438452719793235,1.2907982815049994,-0.03245918931214087,0.38371802829071355,0.6181818181818182
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,10,1.5737963721543808,1.2147720454966382,0.053658032960431035,0.46107038913377035,0.6454545454545455
"Ridge (alpha=1.0, top-100)",Decision Tree,,2,1.6376257758774382,1.2272727272727277,-0.02466134074331361,0.4250969905509186,0.6363636363636364
"Ridge (alpha=1.0, top-100)",Decision Tree,,5,1.6316892812672508,1.26074982045231,-0.01724588456501608,0.41787005416262024,0.6090909090909091
"Ridge (alpha=1.0, top-100)",Decision Tree,,10,1.6044712856173569,1.2628576215029002,0.016408156648949346,0.42445093417036317,0.6363636363636364
PCA (n_components=50),Decision Tree,10.0,2,1.6083369584488558,1.130116323486535,0.01166288673019511,0.5183050997242452,0.6818181818181818
PCA (n_components=50),Decision Tree,10.0,5,1.5709177714588283,1.0936300479202616,0.05711673874481127,0.5188302775200528,0.7090909090909091
PCA (n_components=50),Decision Tree,10.0,10,1.495964146419323,1.0761074986091477,0.14494630076092296,0.5829895375992947,0.7181818181818181
PCA (n_components=50),Decision Tree,20.0,2,1.5285168093166777,1.0636363636363642,0.10732893365751983,0.5652511192571293,0.7454545454545455
PCA (n_components=50),Decision Tree,20.0,5,1.572372126810079,1.1363704639131764,0.055370088334082856,0.5219379881156322,0.7
PCA (n_components=50),Decision Tree,20.0,10,1.4884886794293548,1.0895814627810085,0.15347050931980588,0.590311756025604,0.7
PCA (n_components=50),Decision Tree,30.0,2,1.5954480704349314,1.145454545454546,0.027440083362278433,0.5287370652523551,0.6818181818181818
PCA (n_components=50),Decision Tree,30.0,5,1.5968694632237348,1.1557410932838057,0.025706394291731716,0.5173421275777533,0.6909090909090909
PCA (n_components=50),Decision Tree,30.0,10,1.5054309728943138,1.096456739942871,0.1340900814294993,0.5740606224867432,0.7
PCA (n_components=50),Decision Tree,,2,1.5462564764323838,1.1000000000000005,0.08648836401528304,0.5409349451538848,0.7181818181818181
PCA (n_components=50),Decision Tree,,5,1.5382136914436353,1.0983330500634882,0.09596682994125705,0.5376569275061275,0.7090909090909091
PCA (n_components=50),Decision Tree,,10,1.5052829031029618,1.0916824728820185,0.13426040979107712,0.5877211739387646,0.7181818181818181
