dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.1,1.5810528742706158,1.1763231990739624,0.04491107663657079,0.5994663345353166,0.7090909090909091
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.5,1.4445094296163696,1.1199142628169205,0.2027550394318618,0.5946896368782698,0.7272727272727273
"Lasso (alpha=1.0, top-100)",Poisson Regression,1.0,1.3850228115417809,1.0970763030070707,0.2670659925876314,0.5878335080983196,0.7363636363636363
"Lasso (alpha=1.0, top-100)",Poisson Regression,5.0,1.3584660883950848,1.1049588402890738,0.2949033953972262,0.5735864079436146,0.6636363636363637
"Lasso (alpha=1.0, top-100)",Poisson Regression,10.0,1.4091956805937753,1.1581231595106407,0.24125887015471748,0.5534422071099879,0.5909090909090909
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.1,1.6167345046194097,1.178662572850194,0.001315212132801502,0.5575595729475774,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.5,1.3920834555750656,1.0461805179394628,0.2595741639408138,0.5899313820693199,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Poisson Regression,1.0,1.3131227170057986,0.9978042973692651,0.34118777460633565,0.6001487199148947,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Poisson Regression,5.0,1.2695692326914887,1.0150265201212227,0.38416580748296614,0.6173973935973385,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Poisson Regression,10.0,1.3092479620306856,1.0620952774533672,0.34507007687056146,0.6029151471294005,0.6818181818181818
PCA (n_components=50),Poisson Regression,0.1,1.2528314398366238,1.0042971600827741,0.4002968814493163,0.6802875056071044,0.7818181818181819
PCA (n_components=50),Poisson Regression,0.5,1.20929978336888,0.9841522959947876,0.44124815468509127,0.6853085710014325,0.7818181818181819
PCA (n_components=50),Poisson Regression,1.0,1.2095930578174567,0.9818984425840672,0.44097710938791124,0.6892184547979341,0.7545454545454545
PCA (n_components=50),Poisson Regression,5.0,1.3745494306740909,1.1316761113470484,0.2781088047575151,0.6887481621714681,0.5909090909090909
PCA (n_components=50),Poisson Regression,10.0,1.4771620467051372,1.237240357420816,0.16630479907998585,0.6878629054628261,0.5636363636363636
