dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Random Forest,10,10.0,1.4203846523355985,1.169713933227983,0.22916227278583845,0.45722608770375683,0.6818181818181818
"Lasso (alpha=1.0, top-100)",Random Forest,10,20.0,1.3116956409721938,1.0654545454545454,0.3426189649183745,0.5741891082369195,0.7545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,10,30.0,1.3527077222438637,1.1109090909090908,0.3008683570684265,0.5091328373246121,0.6727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,10,,1.3883279675402873,1.1036363636363635,0.26356373740882266,0.502560758444123,0.7363636363636363
"Lasso (alpha=1.0, top-100)",Random Forest,20,10.0,1.350198492605674,1.08639624897559,0.3034596851760688,0.5350236185879235,0.7363636363636363
"Lasso (alpha=1.0, top-100)",Random Forest,20,20.0,1.3203133236952782,1.0554545454545454,0.3339527613754777,0.5688216696625776,0.7272727272727273
"Lasso (alpha=1.0, top-100)",Random Forest,20,30.0,1.355493871754364,1.0972727272727272,0.29798541160125047,0.5276587709305824,0.7363636363636363
"Lasso (alpha=1.0, top-100)",Random Forest,20,,1.3778111758741238,1.0990909090909091,0.2746787078846824,0.5051620566707978,0.7545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,50,10.0,1.3068469629407335,1.0679830052227586,0.34746999548379265,0.5697364634034273,0.7545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,50,20.0,1.3017456810690091,1.0376363636363637,0.35255435915248357,0.572071686593915,0.7636363636363637
"Lasso (alpha=1.0, top-100)",Random Forest,50,30.0,1.3750199998545476,1.118,0.2776144494616186,0.5102212574548,0.7272727272727273
"Lasso (alpha=1.0, top-100)",Random Forest,50,,1.3791182954073493,1.1380000000000003,0.2733018409169852,0.4905321325748751,0.7090909090909091
"Lasso (alpha=1.0, top-100)",Random Forest,100,10.0,1.3192292890951396,1.060979839580396,0.3350460198238575,0.5664213614580444,0.7727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,100,20.0,1.345294347960629,1.0935454545454544,0.30851039565116534,0.5340067719757605,0.7181818181818181
"Lasso (alpha=1.0, top-100)",Random Forest,100,30.0,1.344422485003066,1.0933636363636363,0.3094063911080235,0.5283020260577674,0.7272727272727273
"Lasso (alpha=1.0, top-100)",Random Forest,100,,1.3140077486972301,1.0692727272727272,0.34029940951719373,0.5590840897042912,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,10,10.0,1.325446199889818,1.0503154337629623,0.32876401817207546,0.5878473101909313,0.7363636363636363
"Ridge (alpha=1.0, top-100)",Random Forest,10,20.0,1.4065754673868536,1.1118181818181818,0.24407780479333108,0.5221521599633231,0.6818181818181818
"Ridge (alpha=1.0, top-100)",Random Forest,10,30.0,1.38813151066788,1.1127272727272726,0.2637721431052449,0.5259090024734727,0.7
"Ridge (alpha=1.0, top-100)",Random Forest,10,,1.3949584549043355,1.1299999999999997,0.2565126780131993,0.4797594049083013,0.6727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,20,10.0,1.3374542386004642,1.0858424253843093,0.31654663967162844,0.5548578917954466,0.7181818181818181
