dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,2,1.7041665759827902,1.2762302497679014,-0.10962212246147884,0.39872413786118854,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,5,1.6596603851745608,1.2241951973031655,-0.052420928631312425,0.46153161340587706,0.6545454545454545
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,10,1.6637138921707013,1.220151529094096,-0.05756801198400918,0.4299255600470725,0.6636363636363637
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,2,1.7372915179041823,1.2727272727272727,-0.15317818687044094,0.43487771690254484,0.6181818181818182
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,5,1.7244669131961197,1.2843177527118017,-0.1362156124275682,0.4189369098368742,0.6272727272727273
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,10,1.6664511964672533,1.2312098349600686,-0.06105090282315162,0.42797014925665866,0.6545454545454545
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,2,1.7529196424044293,1.2727272727272727,-0.17401875651267784,0.41021078971266944,0.6363636363636364
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,5,1.703712543551687,1.252669998771034,-0.10903093927089103,0.4251790881585669,0.6181818181818182
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,10,1.5723928665192357,1.1714324694684173,0.05534516868751771,0.46272822620065884,0.6818181818181818
"Lasso (alpha=1.0, top-100)",Decision Tree,,2,1.6596823354321315,1.2272727272727273,-0.05244876693296274,0.45720838865212804,0.6636363636363637
"Lasso (alpha=1.0, top-100)",Decision Tree,,5,1.7037650659008468,1.2783271082166505,-0.10909931912557425,0.41658043455391564,0.6363636363636364
"Lasso (alpha=1.0, top-100)",Decision Tree,,10,1.6401296290740373,1.2073287884703265,-0.02779705459645454,0.44325414614606756,0.6636363636363637
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,2,1.6312630485464092,1.236503872250956,-0.016714500489134032,0.4244877609602114,0.6636363636363637
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,5,1.6228799841574826,1.223853231038685,-0.006291555150013783,0.4417499943082253,0.6545454545454545
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,10,1.6105443864730322,1.2491720614880475,0.008948057353325933,0.4190704471646725,0.6454545454545455
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,2,1.681449591059074,1.2272727272727277,-0.08023619312261188,0.4270853176319275,0.6545454545454545
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,5,1.5911609412367738,1.1975515282582463,0.03265979332780655,0.4502428956323162,0.6454545454545455
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,10,1.5745964270278312,1.2346756687656304,0.052695623893819876,0.4534558806360178,0.6545454545454545
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,2,1.676034280404464,1.2636363636363641,-0.07328933657519965,0.39589567994054303,0.6090909090909091
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,5,1.567874180396472,1.2161984627191342,0.06076679746116731,0.44552828840141756,0.6545454545454545
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,10,1.5639252952343756,1.2092984062305212,0.06549198958620295,0.45295769311217243,0.6636363636363637
"Ridge (alpha=1.0, top-100)",Decision Tree,,2,1.6152680610632122,1.1909090909090914,0.003126085446335636,0.4358184668259587,0.6636363636363637
"Ridge (alpha=1.0, top-100)",Decision Tree,,5,1.6613493848317589,1.2286446103734294,-0.05456406958282378,0.4078748752175026,0.6636363636363637
"Ridge (alpha=1.0, top-100)",Decision Tree,,10,1.564302451206321,1.2583729804042183,0.06504120363490284,0.4370771891954622,0.6454545454545455
PCA (n_components=50),Decision Tree,10.0,2,1.6006602647161177,1.094452817654885,0.02107516104717644,0.497121725376402,0.7090909090909091
PCA (n_components=50),Decision Tree,10.0,5,1.5967555275010479,1.1551726276853975,0.025845419914670376,0.4648484417693935,0.7181818181818181
PCA (n_components=50),Decision Tree,10.0,10,1.5641866357003238,1.1038787605239888,0.06517964069682292,0.5098171876111631,0.7545454545454545
PCA (n_components=50),Decision Tree,20.0,2,1.7162326606420661,1.2363636363636368,-0.1253907606807918,0.4238477064292335,0.6818181818181818
PCA (n_components=50),Decision Tree,20.0,5,1.647490630695125,1.2102488293781142,-0.03704338869435286,0.43874752884863066,0.6727272727272727
PCA (n_components=50),Decision Tree,20.0,10,1.5557003785510843,1.1131988795952317,0.07529557672581255,0.538286441381308,0.7272727272727273
PCA (n_components=50),Decision Tree,30.0,2,1.6486909407714407,1.154545454545455,-0.038555053838138065,0.48323095136552063,0.7090909090909091
PCA (n_components=50),Decision Tree,30.0,5,1.6870318059752822,1.1847269054111254,-0.08742061334124474,0.44423470267730913,0.7
PCA (n_components=50),Decision Tree,30.0,10,1.5807531363928131,1.1414696678198313,0.045273176089862255,0.5240639003449075,0.7181818181818181
PCA (n_components=50),Decision Tree,,2,1.5579707080920127,1.1000000000000003,0.07259465092045858,0.5163078904831556,0.7181818181818181
PCA (n_components=50),Decision Tree,,5,1.6393023864875753,1.181127828427845,-0.026760523021273075,0.4623524767285848,0.6909090909090909
PCA (n_components=50),Decision Tree,,10,1.570167323591833,1.1183193435339613,0.05801737878322566,0.530233564302062,0.7272727272727273
