dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.1,1.5810528742706158,1.1763231990739624,0.04491107663657079,0.5994663345353166,0.7090909090909091
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.5,1.4445094296163696,1.1199142628169205,0.2027550394318618,0.5946896368782698,0.7272727272727273
"Lasso (alpha=1.0, top-100)",Poisson Regression,1.0,1.3850228115417809,1.0970763030070707,0.2670659925876314,0.5878335080983196,0.7363636363636363
"Lasso (alpha=1.0, top-100)",Poisson Regression,5.0,1.3584660883950848,1.1049588402890738,0.2949033953972262,0.5735864079436146,0.6636363636363637
"Lasso (alpha=1.0, top-100)",Poisson Regression,10.0,1.4091956805937753,1.1581231595106407,0.24125887015471748,0.5534422071099879,0.5909090909090909
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.1,1.6167345046194097,1.178662572850194,0.001315212132801502,0.5575595729475774,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.5,1.3920834555750656,1.0461805179394628,0.2595741639408138,0.5899313820693199,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Poisson Regression,1.0,1.3131227170057986,0.9978042973692651,0.34118777460633565,0.6001487199148947,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Poisson Regression,5.0,1.2695692326914887,1.0150265201212227,0.38416580748296614,0.6173973935973385,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Poisson Regression,10.0,1.3092479620306856,1.0620952774533672,0.34507007687056146,0.6029151471294005,0.6818181818181818
PCA (n_components=50),Poisson Regression,0.1,1.2495938012646688,0.9989357714044993,0.4033924505123331,0.7036177084494369,0.7636363636363637
PCA (n_components=50),Poisson Regression,0.5,1.2010291595930098,0.9675273499945991,0.44886483278500844,0.710413897973073,0.7727272727272727
PCA (n_components=50),Poisson Regression,1.0,1.1995791784063057,0.9675064498945818,0.450194780898735,0.710990236976095,0.7636363636363637
PCA (n_components=50),Poisson Regression,5.0,1.369457659450346,1.1246102040206671,0.2834471312504546,0.7121198614220182,0.5909090909090909
PCA (n_components=50),Poisson Regression,10.0,1.4744592507301275,1.2332377584735301,0.16935286895796664,0.7108058084951279,0.5727272727272728
