dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Random Forest,10,10.0,1.3657125053949843,1.1146953614957535,0.2873609891867074,0.49849916976383735,0.7181818181818181
"Lasso (alpha=1.0, top-100)",Random Forest,10,20.0,1.3610156635261905,1.0981818181818184,0.2922542549496352,0.5174455872689391,0.7545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,10,30.0,1.3509929008628498,1.0845454545454545,0.3026398054880167,0.5040894860679496,0.7090909090909091
"Lasso (alpha=1.0, top-100)",Random Forest,10,,1.359177558806662,1.0845454545454545,0.29416464050017366,0.5359726263685951,0.7
"Lasso (alpha=1.0, top-100)",Random Forest,20,10.0,1.3517691892326962,1.0991327486293527,0.30183816080072856,0.5339516256258876,0.7272727272727273
"Lasso (alpha=1.0, top-100)",Random Forest,20,20.0,1.3625594232246099,1.105909090909091,0.29064779437304633,0.5213101052149816,0.7454545454545455
"Lasso (alpha=1.0, top-100)",Random Forest,20,30.0,1.3289777342686437,1.0863636363636364,0.32518235498436976,0.5490147720639404,0.7545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,20,,1.33450705914547,1.0709090909090908,0.3195554011809658,0.5436846038376545,0.7909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,50,10.0,1.333634482315963,1.0759209398027314,0.32044493724752243,0.5535713070466648,0.7636363636363637
"Lasso (alpha=1.0, top-100)",Random Forest,50,20.0,1.346753672556884,1.0861818181818181,0.307009378256339,0.5309933141173704,0.7272727272727273
"Lasso (alpha=1.0, top-100)",Random Forest,50,30.0,1.3851524366391135,1.130181818181818,0.266928794720389,0.4891713934838084,0.6909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,50,,1.3221016327320405,1.0641818181818181,0.33214727335880523,0.5542278887048742,0.7636363636363637
"Lasso (alpha=1.0, top-100)",Random Forest,100,10.0,1.335881026663592,1.0806982627066142,0.31815355014249747,0.5292451904071103,0.7272727272727273
"Lasso (alpha=1.0, top-100)",Random Forest,100,20.0,1.3507768808423477,1.0958181818181818,0.3028627995831886,0.5185475590371111,0.7272727272727273
"Lasso (alpha=1.0, top-100)",Random Forest,100,30.0,1.3143823298762463,1.0590000000000002,0.33992323723515117,0.564545854132424,0.7272727272727273
