dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,2,1.717338163876899,1.2491581087675514,-0.1268410580128121,0.4084175659083516,0.6454545454545455
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,5,1.7588029312228919,1.3177185703657464,-0.18191265229804077,0.3749883216673346,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,10,1.6662633978216503,1.2133982823408493,-0.06081176867390292,0.4284975186745684,0.6545454545454545
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,2,1.7162326606420661,1.290909090909091,-0.1253907606807918,0.38250085565385383,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,5,1.690908024046103,1.244228973150601,-0.09242339019167956,0.44436423262872426,0.6636363636363637
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,10,1.6148011230252663,1.16536722727059,0.0037023502549403675,0.46361800979125756,0.6818181818181818
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,2,1.7425164665975574,1.309090909090909,-0.16012504341785339,0.4152158986702108,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,5,1.7319067351183854,1.3031798511021804,-0.14604065059509108,0.40855365487409157,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,10,1.647985244703187,1.1832556949106103,-0.03766617000186345,0.44700356272987546,0.6545454545454545
"Lasso (alpha=1.0, top-100)",Decision Tree,,2,1.6868475169541985,1.209090909090909,-0.0871830496700241,0.4641866358305829,0.6272727272727273
"Lasso (alpha=1.0, top-100)",Decision Tree,,5,1.7230705017727923,1.2793962393817013,-0.13437622420545203,0.42312087961264144,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,,10,1.6302869099388853,1.176129865442135,-0.015498072104858096,0.45211903385634644,0.6636363636363637
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,2,1.6478970198705924,1.2365038722509563,-0.03755507013137094,0.40655799713741936,0.6636363636363637
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,5,1.699566978179441,1.271581964853948,-0.10364039758589616,0.39004974546526083,0.6272727272727273
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,10,1.5628241861483534,1.2042666271165936,0.06680743991271643,0.44295742956261147,0.6454545454545455
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,2,1.6868475169541985,1.245454545454546,-0.0871830496700241,0.40863804521427943,0.6454545454545455
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,5,1.6214111905545625,1.2374786111421399,-0.004470883550232507,0.4264417706983014,0.6363636363636364
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,10,1.624906726286318,1.2569136424711114,-0.00880654951148685,0.4261444331936663,0.6454545454545455
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,2,1.70293863659264,1.2818181818181824,-0.10802361931226101,0.3884145223415962,0.6545454545454545
