dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.1,1.5810528742706158,1.1763231990739624,0.04491107663657079,0.5994663345353166,0.7090909090909091
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.5,1.4445094296163696,1.1199142628169205,0.2027550394318618,0.5946896368782698,0.7272727272727273
"Lasso (alpha=1.0, top-100)",Poisson Regression,1.0,1.3850228115417809,1.0970763030070707,0.2670659925876314,0.5878335080983196,0.7363636363636363
"Lasso (alpha=1.0, top-100)",Poisson Regression,5.0,1.3584660883950848,1.1049588402890738,0.2949033953972262,0.5735864079436146,0.6636363636363637
"Lasso (alpha=1.0, top-100)",Poisson Regression,10.0,1.4091956805937753,1.1581231595106407,0.24125887015471748,0.5534422071099879,0.5909090909090909
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.1,1.6167345046194097,1.178662572850194,0.001315212132801502,0.5575595729475774,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.5,1.3920834555750656,1.0461805179394628,0.2595741639408138,0.5899313820693199,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Poisson Regression,1.0,1.3131227170057986,0.9978042973692651,0.34118777460633565,0.6001487199148947,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Poisson Regression,5.0,1.2695692326914887,1.0150265201212227,0.38416580748296614,0.6173973935973385,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Poisson Regression,10.0,1.3092479620306856,1.0620952774533672,0.34507007687056146,0.6029151471294005,0.6818181818181818
PCA (n_components=50),Poisson Regression,0.1,1.235821208796923,0.9831578071425344,0.4164711823120818,0.6978082112989745,0.7727272727272727
PCA (n_components=50),Poisson Regression,0.5,1.1919475765523386,0.9628655978375091,0.4571681390156679,0.704429193765692,0.7818181818181819
PCA (n_components=50),Poisson Regression,1.0,1.1937541147006734,0.967390067492052,0.45552143973557924,0.7083114132900484,0.7636363636363637
PCA (n_components=50),Poisson Regression,5.0,1.3680160235034537,1.1280157735706469,0.28495497581854057,0.7025941303800698,0.5909090909090909
PCA (n_components=50),Poisson Regression,10.0,1.4735904903873411,1.2356547468246437,0.1703314252532111,0.7019532414087092,0.5636363636363636
"Lasso→PCA (top-100, 95%var)",Poisson Regression,0.1,1.4274793618968142,1.1200664469466497,0.22144249339858657,0.5503530300537899,0.7
"Lasso→PCA (top-100, 95%var)",Poisson Regression,0.5,1.387659597618535,1.0943240286909135,0.26427263815591595,0.5506250620632162,0.6909090909090909
"Lasso→PCA (top-100, 95%var)",Poisson Regression,1.0,1.374095632963509,1.0922601685260163,0.2785853805549411,0.5512428974744558,0.6818181818181818
"Lasso→PCA (top-100, 95%var)",Poisson Regression,5.0,1.4604939904657683,1.2065105900613136,0.18501321090472866,0.5540508210971792,0.5727272727272728
"Lasso→PCA (top-100, 95%var)",Poisson Regression,10.0,1.530314455294126,1.2766477740383948,0.10522800788802611,0.5523633004963306,0.5545454545454546
"Ridge→PCA (top-100, 95%var)",Poisson Regression,0.1,1.4827585260422917,1.1368958422988804,0.1599756404285445,0.5638854698447475,0.7272727272727273
"Ridge→PCA (top-100, 95%var)",Poisson Regression,0.5,1.3786624014911135,1.086293039249951,0.2737822094429425,0.5651257513792509,0.7272727272727273
"Ridge→PCA (top-100, 95%var)",Poisson Regression,1.0,1.3342083432889282,1.0753947041255616,0.3198599883181783,0.5720003230072979,0.7181818181818181
"Ridge→PCA (top-100, 95%var)",Poisson Regression,5.0,1.4031907616827533,1.1647191111551622,0.24771144666932698,0.5785152590974592,0.6090909090909091
"Ridge→PCA (top-100, 95%var)",Poisson Regression,10.0,1.4877199761735074,1.251623035970949,0.15434463346430305,0.5815906040175849,0.5818181818181818
