dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Random Forest,10,10.0,1.4305487495827263,1.1552959339585662,0.21809076157486207,0.4596545483771996,0.7181818181818181
"Lasso (alpha=1.0, top-100)",Random Forest,10,20.0,1.3819288233216906,1.1027272727272728,0.2703369225425496,0.5094968107322234,0.7272727272727273
"Lasso (alpha=1.0, top-100)",Random Forest,10,30.0,1.344314627675314,1.0790909090909089,0.309517193469955,0.5525859459157273,0.7272727272727273
"Lasso (alpha=1.0, top-100)",Random Forest,10,,1.4148883669424563,1.131818181818182,0.23511635984716928,0.5100488012423188,0.7454545454545455
"Lasso (alpha=1.0, top-100)",Random Forest,20,10.0,1.36439921954378,1.1037295070760003,0.28873089499102356,0.5078537761576631,0.7363636363636363
"Lasso (alpha=1.0, top-100)",Random Forest,20,20.0,1.3859604480779255,1.1531818181818183,0.26607328933657515,0.5000924125965384,0.7272727272727273
"Lasso (alpha=1.0, top-100)",Random Forest,20,30.0,1.3651589983987547,1.084090909090909,0.28793852031955547,0.49394700048842083,0.7
"Lasso (alpha=1.0, top-100)",Random Forest,20,,1.3587761873365043,1.0845454545454545,0.29458145189301843,0.5026882539999422,0.7181818181818181
"Lasso (alpha=1.0, top-100)",Random Forest,50,10.0,1.3351662807995976,1.0802562314014683,0.31888298120088465,0.5391997176673071,0.7363636363636363
"Lasso (alpha=1.0, top-100)",Random Forest,50,20.0,1.3248396129343356,1.074909090909091,0.3293782563390065,0.5489776023607631,0.7454545454545455
"Lasso (alpha=1.0, top-100)",Random Forest,50,30.0,1.3208895074566573,1.0803636363636362,0.3333713094824592,0.5458431883740357,0.7181818181818181
"Lasso (alpha=1.0, top-100)",Random Forest,50,,1.348901236360374,1.1021818181818182,0.3047974991316429,0.5344140946852681,0.7090909090909091
"Lasso (alpha=1.0, top-100)",Random Forest,100,10.0,1.3267863681169443,1.0722118537467797,0.32740594884229013,0.5386326000883334,0.7363636363636363
"Lasso (alpha=1.0, top-100)",Random Forest,100,20.0,1.3363307973701721,1.0759999999999998,0.31769433831191396,0.5383753748123653,0.7272727272727273
"Lasso (alpha=1.0, top-100)",Random Forest,100,30.0,1.3086714290038235,1.0695454545454546,0.3456467523445641,0.5645820218991459,0.7454545454545455
"Lasso (alpha=1.0, top-100)",Random Forest,100,,1.3264083424455273,1.0671818181818182,0.3277891629037861,0.545930766806352,0.7454545454545455
"Ridge (alpha=1.0, top-100)",Random Forest,10,10.0,1.3272840345711618,1.0759122930541065,0.3269012854219344,0.5617947082517801,0.7090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,10,20.0,1.3710646162082156,1.1036363636363635,0.2817645015630428,0.5201047708206233,0.7363636363636363
"Ridge (alpha=1.0, top-100)",Random Forest,10,30.0,1.3122153370956655,1.059090909090909,0.34209795067731863,0.591328922606555,0.7454545454545455
"Ridge (alpha=1.0, top-100)",Random Forest,10,,1.3383843720220014,1.0872727272727272,0.31559569294894074,0.5411589394793096,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Random Forest,20,10.0,1.3178135603407113,1.0619918532214307,0.33647244258435305,0.5633416401669725,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Random Forest,20,20.0,1.3030907315093045,1.0699999999999998,0.3512156998957974,0.5874949340999678,0.7636363636363637
"Ridge (alpha=1.0, top-100)",Random Forest,20,30.0,1.37174407896729,1.1145454545454547,0.281052448766933,0.5497162901750083,0.6636363636363637
"Ridge (alpha=1.0, top-100)",Random Forest,20,,1.3148712346219928,1.085909090909091,0.3394320944772491,0.5788542374085357,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,50,10.0,1.3030517222320652,1.0606852274533796,0.3512545432812969,0.6132906316225929,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,50,20.0,1.3087787506610193,1.0781818181818184,0.3455394234109065,0.5964240205433611,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Random Forest,50,30.0,1.3063759726120892,1.077090909090909,0.34794025703369225,0.6163981962688934,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,50,,1.3071954712283853,1.0583636363636362,0.34712191733240716,0.6009831708455633,0.7636363636363637
"Ridge (alpha=1.0, top-100)",Random Forest,100,10.0,1.3217231514718324,1.0746454201518312,0.33252959428610795,0.5844538561845983,0.7636363636363637
"Ridge (alpha=1.0, top-100)",Random Forest,100,20.0,1.2955542864314522,1.0566363636363636,0.35869850642584233,0.6169245059145456,0.7454545454545455
"Ridge (alpha=1.0, top-100)",Random Forest,100,30.0,1.3049280718596228,1.067909090909091,0.3493848558527267,0.5887900894536808,0.7454545454545455
"Ridge (alpha=1.0, top-100)",Random Forest,100,,1.32123495949124,1.070909090909091,0.33302257728377915,0.5867188082860947,0.7454545454545455
PCA (n_components=50),Random Forest,10,10.0,1.276755023138203,1.0117678489652882,0.37717480791264457,0.6139730303658513,0.7818181818181819
PCA (n_components=50),Random Forest,10,20.0,1.2461212548617338,0.979090909090909,0.4067037165682529,0.612171557584944,0.7545454545454545
PCA (n_components=50),Random Forest,10,30.0,1.264192160307055,0.9927272727272726,0.38937130948245924,0.6386280987541038,0.7363636363636363
PCA (n_components=50),Random Forest,10,,1.3201583927007325,1.040909090909091,0.3341090656477945,0.5781639216174024,0.7181818181818181
PCA (n_components=50),Random Forest,20,10.0,1.261497101423488,0.9920084853655121,0.3919720630115153,0.6209186600682547,0.7727272727272727
PCA (n_components=50),Random Forest,20,20.0,1.2844701772963187,1.009090909090909,0.3696248697464398,0.566693112655062,0.7545454545454545
PCA (n_components=50),Random Forest,20,30.0,1.248981403166014,0.9745454545454545,0.40397707537339367,0.6265234132685258,0.7727272727272727
PCA (n_components=50),Random Forest,20,,1.2374735993510766,0.9949999999999997,0.41490969086488383,0.6496111528535865,0.7636363636363637
