dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,2,1.8131023750783286,1.3280565376158342,-0.2758794166162297,0.28899600741600306,0.6363636363636364
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,5,1.7858213592297236,1.2613658090014943,-0.2377729958199024,0.30851139112910253,0.6909090909090909
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,10,1.7058278400124227,1.2429879072852925,-0.12936772835237065,0.3787394083652149,0.6727272727272727
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,2,1.6787441193290353,1.290909090909091,-0.09379009494482937,0.3675430439437397,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,5,1.7785425270469049,1.352368967868129,-0.22770347697665239,0.28529175256200767,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,10,1.6830705391874357,1.2528154442134047,-0.09943513993316322,0.37312603053280496,0.6454545454545455
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,2,1.7503246452119572,1.2818181818181817,-0.18905568385937888,0.3239204161313141,0.6454545454545455
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,5,1.717352225962585,1.2107839978142594,-0.1446790442335646,0.32790441345345284,0.6909090909090909
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,10,1.6697607651211794,1.230045304136763,-0.08211516083303194,0.37444570143217437,0.6636363636363637
"Lasso (alpha=1.0, top-100)",Decision Tree,,2,1.8090680674665818,1.3636363636363635,-0.27020785219399523,0.2929779420592873,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,,5,1.793953433670016,1.2817948051887031,-0.24907152804512833,0.30302292466264125,0.6636363636363637
"Lasso (alpha=1.0, top-100)",Decision Tree,,10,1.7795284929638646,1.359201349610038,-0.22906505173755254,0.2984226252074085,0.6272727272727273
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,2,1.605459162617511,1.0810301679766439,-0.00037655203597264375,0.43774565106346425,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,5,1.6107704741451812,1.119798174052151,-0.007006556215437776,0.4266775910551299,0.7272727272727273
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,10,1.5658622749989988,1.1130752472370076,0.048361289530183926,0.460921902832113,0.7090909090909091
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,2,1.5840110192454184,1.0363636363636364,0.02617397998460358,0.47331148608462054,0.7272727272727273
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,5,1.5711411045238999,1.0443457013686908,0.04193415188197924,0.5016418673188013,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,10,1.5562411932797555,1.1097477307095962,0.0600196149250819,0.47884823829553314,0.7
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,2,1.5579707080920127,1.0454545454545454,0.05792917628945349,0.49363233856747046,0.6909090909090909
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,5,1.5824909199966188,1.0666381648861032,0.028042151217343103,0.46047761618446037,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,10,1.5374726454580465,1.089806381735989,0.08255556068981451,0.4819875394178466,0.7
"Ridge (alpha=1.0, top-100)",Decision Tree,,2,1.5868780098614443,1.0636363636363637,0.022645624839620293,0.47331315736343055,0.7090909090909091
"Ridge (alpha=1.0, top-100)",Decision Tree,,5,1.6036382181386188,1.0890463665571608,0.0018914559415854626,0.4560043730445984,0.7
"Ridge (alpha=1.0, top-100)",Decision Tree,,10,1.5297993814762176,1.0785224342669084,0.09169032635563512,0.4978483693805292,0.6909090909090909
PCA (n_components=50),Decision Tree,10.0,2,1.2082243724164525,0.852596828845443,0.43342140676726704,0.7253223883001995,0.8181818181818182
PCA (n_components=50),Decision Tree,10.0,5,1.2041984733273507,0.8135717537773027,0.4371908854797453,0.7149861104474743,0.8090909090909091
PCA (n_components=50),Decision Tree,10.0,10,1.1983931178198786,0.8736961516048619,0.4426043307499232,0.7353337334457646,0.8181818181818182
PCA (n_components=50),Decision Tree,20.0,2,1.2284506132079176,0.8545454545454545,0.41429304593276883,0.7168298743082887,0.7909090909090909
PCA (n_components=50),Decision Tree,20.0,5,1.1845611493030646,0.803868967961759,0.4553971032556394,0.7355007911265822,0.8
PCA (n_components=50),Decision Tree,20.0,10,1.184729779605833,0.8500056510504219,0.45524203639700045,0.7378379295288631,0.8272727272727273
PCA (n_components=50),Decision Tree,30.0,2,1.2210278829367867,0.8363636363636363,0.4213497562227355,0.7233554071321295,0.8090909090909091
PCA (n_components=50),Decision Tree,30.0,5,1.1929649205015513,0.7972212815582196,0.4476424124736337,0.74002482675904,0.7818181818181819
PCA (n_components=50),Decision Tree,30.0,10,1.1595218049011446,0.8482368062658509,0.47817748030219986,0.7472404585890088,0.8363636363636363
PCA (n_components=50),Decision Tree,,2,1.2358287613066494,0.8545454545454545,0.40723633564280215,0.7268359811316969,0.8
PCA (n_components=50),Decision Tree,,5,1.1886283300107778,0.7942513093396256,0.45165090410761655,0.7292169766283856,0.8272727272727273
PCA (n_components=50),Decision Tree,,10,1.1789594401402252,0.85732771535676,0.4605357045772833,0.7442570685447168,0.8181818181818182
"Lasso→PCA (top-100, 95%var)",Decision Tree,10.0,2,1.5970311635824261,1.140044041922491,0.010099008750750649,0.4485214842286402,0.7
"Lasso→PCA (top-100, 95%var)",Decision Tree,10.0,5,1.6224759173152064,1.1461145026419326,-0.021695536227887446,0.4449045330350591,0.6909090909090909
"Lasso→PCA (top-100, 95%var)",Decision Tree,10.0,10,1.5494600723267273,1.171157057023662,0.06819345520944187,0.46930637925178487,0.7272727272727273
"Lasso→PCA (top-100, 95%var)",Decision Tree,20.0,2,1.5868780098614443,1.1181818181818182,0.022645624839620293,0.49222372228197225,0.6909090909090909
"Lasso→PCA (top-100, 95%var)",Decision Tree,20.0,5,1.5820226372173467,1.1509497887350386,0.028617299894651116,0.4865288128951569,0.6818181818181818
"Lasso→PCA (top-100, 95%var)",Decision Tree,20.0,10,1.5695569312733146,1.1860245450147233,0.043865203292659194,0.4582480554559436,0.7090909090909091
"Lasso→PCA (top-100, 95%var)",Decision Tree,30.0,2,1.676034280404464,1.1727272727272726,-0.09026173979984597,0.4279967168747938,0.6636363636363637
"Lasso→PCA (top-100, 95%var)",Decision Tree,30.0,5,1.6435348774193737,1.1656476290955944,-0.048389896357979856,0.4494224272243246,0.6727272727272727
"Lasso→PCA (top-100, 95%var)",Decision Tree,30.0,10,1.5667612291263113,1.1786464158974637,0.0472683133169739,0.45277256763932594,0.7090909090909091
"Lasso→PCA (top-100, 95%var)",Decision Tree,,2,1.6403990645294488,1.1636363636363636,-0.0443931229150627,0.4653924695679103,0.6727272727272727
"Lasso→PCA (top-100, 95%var)",Decision Tree,,5,1.61742165220375,1.1757459463684128,-0.015339969601996462,0.4676934692839992,0.6545454545454545
"Lasso→PCA (top-100, 95%var)",Decision Tree,,10,1.6261355613641808,1.1963489825744975,-0.026309791300734853,0.4297621761875454,0.6909090909090909
"Ridge→PCA (top-100, 95%var)",Decision Tree,10.0,2,1.706068601696974,1.2551827497349088,-0.12968655028627296,0.40449257978941305,0.6181818181818182
"Ridge→PCA (top-100, 95%var)",Decision Tree,10.0,5,1.6781908306781692,1.256652235340981,-0.09306922044151378,0.4325759605932283,0.6363636363636364
"Ridge→PCA (top-100, 95%var)",Decision Tree,10.0,10,1.5778503358776788,1.2276272797820875,0.033734239241898445,0.46049753863035603,0.6363636363636364
"Ridge→PCA (top-100, 95%var)",Decision Tree,20.0,2,1.7399059535712633,1.2818181818181817,-0.17494226327944573,0.41233202041681777,0.6
"Ridge→PCA (top-100, 95%var)",Decision Tree,20.0,5,1.7219445834706826,1.3041206646755736,-0.1508091832622105,0.3842402856328923,0.6545454545454545
"Ridge→PCA (top-100, 95%var)",Decision Tree,20.0,10,1.5985585848847166,1.2221131219442103,0.008204594988632574,0.4626051034981071,0.6454545454545455
"Ridge→PCA (top-100, 95%var)",Decision Tree,30.0,2,1.7215215257545762,1.2545454545454546,-0.1502437772645624,0.43322550647955804,0.6181818181818182
"Ridge→PCA (top-100, 95%var)",Decision Tree,30.0,5,1.6900934347895955,1.2745638846787177,-0.10862943936549252,0.4247247550242142,0.5818181818181818
"Ridge→PCA (top-100, 95%var)",Decision Tree,30.0,10,1.6133447391872107,1.2222154518831814,-0.010227838539353495,0.42880319090767155,0.6363636363636364
"Ridge→PCA (top-100, 95%var)",Decision Tree,,2,1.7658374268832955,1.3181818181818181,-0.21022581472927881,0.40267377791069214,0.6
"Ridge→PCA (top-100, 95%var)",Decision Tree,,5,1.7032576827268524,1.272176195152322,-0.12596707334466806,0.4113106193951788,0.6363636363636364
"Ridge→PCA (top-100, 95%var)",Decision Tree,,10,1.6360844263527672,1.2648426777339838,-0.03890634548576366,0.46227325488271964,0.6181818181818182
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,2,1.760263838777264,1.2730668470001356,-0.1838769226528505,0.40213049309199583,0.6363636363636364
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,5,1.721900077999686,1.2938227001160312,-0.1328356604643477,0.4053994847097605,0.6545454545454545
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,10,1.6625514597755011,1.278149456376375,-0.056090688448007686,0.4325377186545533,0.6363636363636364
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,2,1.7837651700316897,1.3272727272727276,-0.2156998957971521,0.40235044783316,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,5,1.7205264763871757,1.2602576515288995,-0.1310290001890233,0.4186023628151783,0.6727272727272727
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,10,1.7434847233363027,1.323104129012409,-0.1614146851537932,0.4105525034312344,0.6363636363636364
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,2,1.7863115884159435,1.3363636363636366,-0.2191733240708582,0.40007692089353597,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,5,1.705742829458073,1.2356426318266305,-0.11167574167155125,0.4324174846529109,0.6909090909090909
