dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Random Forest,10,10.0,1.2384409280538635,0.9729327673650924,0.4047278425527693,0.618655546291397,0.7909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,10,20.0,1.2425048015272142,0.9818181818181818,0.40081472927893236,0.6209791565778187,0.7727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,10,30.0,1.2167766658452381,0.9690909090909091,0.4253720810880165,0.6369150834658277,0.8
"Lasso (alpha=1.0, top-100)",Random Forest,10,,1.3011882681191485,1.0072727272727273,0.34287913779830637,0.5647167208026235,0.7545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,20,10.0,1.2482391920745903,0.9886534812242226,0.3952712639326592,0.6064688644622914,0.7818181818181819
"Lasso (alpha=1.0, top-100)",Random Forest,20,20.0,1.204763273616251,0.9809090909090911,0.436662817551963,0.6480875585503153,0.7545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,20,30.0,1.2239373869903343,0.9731818181818184,0.41858881832178607,0.6263908039048537,0.7727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,20,,1.2018262618350306,0.9477272727272728,0.4394061136771876,0.6174788637911566,0.8
"Lasso (alpha=1.0, top-100)",Random Forest,50,10.0,1.183381358968573,0.9489924348210771,0.456481382052633,0.6581398362142169,0.7818181818181819
"Lasso (alpha=1.0, top-100)",Random Forest,50,20.0,1.1891066165212207,0.9529090909090909,0.4512095201437003,0.6638548317818734,0.7818181818181819
"Lasso (alpha=1.0, top-100)",Random Forest,50,30.0,1.2025004252503502,0.9585454545454544,0.4387770079548371,0.6364880607769173,0.8454545454545455
"Lasso (alpha=1.0, top-100)",Random Forest,50,,1.216911141896863,0.9767272727272727,0.4252450603027971,0.6224536283966436,0.7818181818181819
"Lasso (alpha=1.0, top-100)",Random Forest,100,10.0,1.2127861797597679,0.9601834222399465,0.4291349484995788,0.6334173914709155,0.8
"Lasso (alpha=1.0, top-100)",Random Forest,100,20.0,1.2021189624991362,0.9682727272727272,0.43913301898896595,0.6433353085621223,0.8090909090909091
"Lasso (alpha=1.0, top-100)",Random Forest,100,30.0,1.1992039025953845,0.9635454545454546,0.44184985245060293,0.6409235214588723,0.8
"Lasso (alpha=1.0, top-100)",Random Forest,100,,1.2154703541502696,0.954818181818182,0.42660524121118826,0.6317073794115401,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,10,10.0,1.1322736880884128,0.8885999375191697,0.5024143948126198,0.7094344443440173,0.8181818181818182
"Ridge (alpha=1.0, top-100)",Random Forest,10,20.0,1.2675674627913391,1.029090909090909,0.376398511675648,0.586774203369922,0.8181818181818182
"Ridge (alpha=1.0, top-100)",Random Forest,10,30.0,1.2531777788703986,1.040909090909091,0.39047664870413135,0.612320365698114,0.7909090909090909
"Ridge (alpha=1.0, top-100)",Random Forest,10,,1.2116855277595,0.9709090909090908,0.4301706440851938,0.6211379547660251,0.8545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,20,10.0,1.159614862617648,0.9477624804238315,0.4780937189438885,0.6780320531482436,0.8090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,20,20.0,1.16860445131634,0.95,0.46997049012060554,0.6650442459892606,0.8363636363636363
"Ridge (alpha=1.0, top-100)",Random Forest,20,30.0,1.1755462946686068,0.9345454545454548,0.4636547344110854,0.6547724053083152,0.8090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,20,,1.143052134339542,0.9068181818181819,0.4928959776751347,0.6838735108196394,0.8363636363636363
"Ridge (alpha=1.0, top-100)",Random Forest,50,10.0,1.1708072798310065,0.9647779766425871,0.4679703872621921,0.6764187895104111,0.8181818181818182
"Ridge (alpha=1.0, top-100)",Random Forest,50,20.0,1.1731232594310719,0.9694545454545455,0.465863484731845,0.6621821223705185,0.8090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,50,30.0,1.1702074408178469,0.9656363636363637,0.46851539645881457,0.6622817066464761,0.8181818181818182
"Ridge (alpha=1.0, top-100)",Random Forest,50,,1.1400111642196555,0.9590909090909091,0.4955905824993585,0.7147430788891814,0.8181818181818182
"Ridge (alpha=1.0, top-100)",Random Forest,100,10.0,1.1490558572677132,0.9520477230877699,0.48755500084144876,0.6969854335868882,0.8181818181818182
"Ridge (alpha=1.0, top-100)",Random Forest,100,20.0,1.1403751376391256,0.9326363636363637,0.49526844367462153,0.7032394342378613,0.8090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,100,30.0,1.128452278767049,0.9415454545454546,0.5057674172440338,0.7183991038407781,0.8181818181818182
"Ridge (alpha=1.0, top-100)",Random Forest,100,,1.142677875550554,0.9405454545454545,0.4932279958942777,0.6907793895013588,0.8181818181818182
PCA (n_components=50),Random Forest,10,10.0,1.0397589087310524,0.793903244032699,0.5804050257167173,0.7814078372246573,0.8545454545454545
PCA (n_components=50),Random Forest,10,20.0,1.077708005655774,0.8236363636363636,0.549217346676931,0.7279993044759764,0.8272727272727273
PCA (n_components=50),Random Forest,10,30.0,1.0624585553414223,0.8281818181818182,0.5618841416474212,0.7397603694033819,0.8818181818181818
PCA (n_components=50),Random Forest,10,,1.0960673502863028,0.8318181818181819,0.5337278675904541,0.7343782861509027,0.8545454545454545
PCA (n_components=50),Random Forest,20,10.0,1.0522655684082822,0.8322578234068774,0.5702501860361489,0.7664188791820303,0.8545454545454545
PCA (n_components=50),Random Forest,20,20.0,1.0041278440879564,0.7827272727272727,0.6086701308699,0.7885336463536587,0.8636363636363636
PCA (n_components=50),Random Forest,20,30.0,1.1089101939209585,0.8818181818181817,0.5227370413138313,0.7447134547988836,0.8272727272727273
PCA (n_components=50),Random Forest,20,,1.055149709326079,0.8359090909090908,0.5678911662817552,0.762309568857446,0.8909090909090909
PCA (n_components=50),Random Forest,50,10.0,0.9931117965918446,0.7823738674643042,0.6172094049778174,0.7912429293399317,0.9090909090909091
PCA (n_components=50),Random Forest,50,20.0,1.027213353070954,0.8140000000000001,0.5904694636900181,0.784320413784321,0.8636363636363636
PCA (n_components=50),Random Forest,50,30.0,1.01803911337612,0.7965454545454543,0.5977519887092635,0.795182594986304,0.8727272727272727
PCA (n_components=50),Random Forest,50,,0.989345054247322,0.7725454545454544,0.6201076469078779,0.7893650883185329,0.8818181818181818
PCA (n_components=50),Random Forest,100,10.0,1.0028096791702612,0.7811906964450654,0.6096968900142898,0.7886288991279554,0.8727272727272727
PCA (n_components=50),Random Forest,100,20.0,1.0278791050242506,0.8104545454545455,0.589938446240698,0.7847942805739692,0.8727272727272727
PCA (n_components=50),Random Forest,100,30.0,1.0258743499172702,0.8052727272727273,0.591536438285861,0.7773626522980119,0.8636363636363636
PCA (n_components=50),Random Forest,100,,1.0323142580012772,0.8070909090909091,0.5863920964844753,0.7764942747758656,0.8636363636363636
"Lasso→PCA (top-100, 95%var)",Random Forest,10,10.0,1.2310750654124314,0.9844818260826648,0.41178777322842275,0.6248694195396192,0.7727272727272727
"Lasso→PCA (top-100, 95%var)",Random Forest,10,20.0,1.2740772061663796,1.0054545454545454,0.3699769053117782,0.5935100902188656,0.7181818181818181
"Lasso→PCA (top-100, 95%var)",Random Forest,10,30.0,1.2707907345070986,1.0036363636363637,0.37322299204516307,0.6019624632800914,0.7909090909090909
"Lasso→PCA (top-100, 95%var)",Random Forest,10,,1.3679779370894973,1.100909090909091,0.2736880934051834,0.5396773417261966,0.7181818181818181
"Lasso→PCA (top-100, 95%var)",Random Forest,20,10.0,1.2640139495599945,1.0049169399295728,0.37989003391534193,0.6183340842347771,0.7909090909090909
"Lasso→PCA (top-100, 95%var)",Random Forest,20,20.0,1.246923486753771,1.0036363636363637,0.39654541955350286,0.6097518083760067,0.7636363636363637
"Lasso→PCA (top-100, 95%var)",Random Forest,20,30.0,1.2475157131457122,0.9877272727272727,0.39597206184244294,0.6272236884804047,0.7909090909090909
"Lasso→PCA (top-100, 95%var)",Random Forest,20,,1.2540208059749973,0.9968181818181818,0.3896563061329228,0.6040842162008724,0.7818181818181819
"Lasso→PCA (top-100, 95%var)",Random Forest,50,10.0,1.2099692582043977,0.9717594260328724,0.4317837493528235,0.6386962546021677,0.7909090909090909
"Lasso→PCA (top-100, 95%var)",Random Forest,50,20.0,1.242734521492459,0.9885454545454546,0.4005931485758275,0.6210754961420253,0.7727272727272727
"Lasso→PCA (top-100, 95%var)",Random Forest,50,30.0,1.240996666906373,0.9865454545454546,0.40226841159866566,0.6255902525150046,0.7909090909090909
"Lasso→PCA (top-100, 95%var)",Random Forest,50,,1.2380365687064923,0.9861818181818183,0.4051164998716963,0.628359510109947,0.7909090909090909
"Lasso→PCA (top-100, 95%var)",Random Forest,100,10.0,1.2297078084785198,0.9808001634657049,0.4130936085379834,0.6398092957348289,0.7545454545454545
"Lasso→PCA (top-100, 95%var)",Random Forest,100,20.0,1.2328215973566863,0.9905454545454545,0.4101175904541954,0.6272333652144695,0.7818181818181819
"Lasso→PCA (top-100, 95%var)",Random Forest,100,30.0,1.226026842357792,0.9805454545454544,0.416602001539646,0.6417441919914798,0.7636363636363637
"Lasso→PCA (top-100, 95%var)",Random Forest,100,,1.2209396530392629,0.9748181818181817,0.42143337823967175,0.6328987737004718,0.7818181818181819
"Ridge→PCA (top-100, 95%var)",Random Forest,10,10.0,1.198666344071511,1.0318226335220688,0.44235013621509733,0.6651202283043804,0.8090909090909091
"Ridge→PCA (top-100, 95%var)",Random Forest,10,20.0,1.3253472958230434,1.1054545454545452,0.318251218886323,0.5206848537285591,0.6727272727272727
"Ridge→PCA (top-100, 95%var)",Random Forest,10,30.0,1.28992600210597,1.068181818181818,0.354205157813703,0.5797709990977757,0.7272727272727273
"Ridge→PCA (top-100, 95%var)",Random Forest,10,,1.3641180967270328,1.15,0.27778098537336404,0.4896951600302314,0.7363636363636363
"Ridge→PCA (top-100, 95%var)",Random Forest,20,10.0,1.3079622294613857,1.124192804189134,0.33601941096545607,0.5759488454394959,0.7636363636363637
"Ridge→PCA (top-100, 95%var)",Random Forest,20,20.0,1.3028988658163205,1.1090909090909091,0.34115024377726455,0.5805094181634762,0.7363636363636363
"Ridge→PCA (top-100, 95%var)",Random Forest,20,30.0,1.258227468956374,1.0754545454545454,0.3855545932768799,0.6271274771713435,0.7636363636363637
"Ridge→PCA (top-100, 95%var)",Random Forest,20,,1.3223343683872781,1.103181818181818,0.3213473505260457,0.5461495405322906,0.7545454545454545
"Ridge→PCA (top-100, 95%var)",Random Forest,50,10.0,1.2460381122487476,1.0585319386658987,0.39740207775741876,0.6414987771692802,0.8090909090909091
"Ridge→PCA (top-100, 95%var)",Random Forest,50,20.0,1.2621093455006187,1.0725454545454547,0.3817573774698487,0.6201692703800512,0.7818181818181819
"Ridge→PCA (top-100, 95%var)",Random Forest,50,30.0,1.289507305488841,1.0865454545454547,0.3546243264049268,0.5880288885650441,0.7636363636363637
"Ridge→PCA (top-100, 95%var)",Random Forest,50,,1.2815899216491706,1.089090909090909,0.36252501924557345,0.5781876116344781,0.7727272727272727
"Ridge→PCA (top-100, 95%var)",Random Forest,100,10.0,1.2554764692092064,1.0757508581675552,0.3882385138141523,0.6123989259325695,0.8
"Ridge→PCA (top-100, 95%var)",Random Forest,100,20.0,1.2824266769754058,1.092,0.3616923274313575,0.6000911156711911,0.7818181818181819
"Ridge→PCA (top-100, 95%var)",Random Forest,100,30.0,1.2650569516464825,1.0879999999999999,0.3788662432640494,0.6057462227248975,0.7636363636363637
"Ridge→PCA (top-100, 95%var)",Random Forest,100,,1.2674322646416043,1.0842727272727273,0.37653153066461387,0.6071160454359145,0.7454545454545455
"Lasso (alpha=1.0, top-100)",Random Forest,10,10.0,1.35823978240059,1.1341904519402999,0.29513829901175304,0.5041027815502666,0.7
"Lasso (alpha=1.0, top-100)",Random Forest,10,20.0,1.3956751380278618,1.1427272727272726,0.25574852379298363,0.4912353962372934,0.7090909090909091
"Lasso (alpha=1.0, top-100)",Random Forest,10,30.0,1.345227253528698,1.0527272727272725,0.3085793678360541,0.5562216740574274,0.7181818181818181
"Lasso (alpha=1.0, top-100)",Random Forest,10,,1.3295590519895206,1.0772727272727274,0.32459187217783936,0.5697673182839627,0.7363636363636363
"Lasso (alpha=1.0, top-100)",Random Forest,20,10.0,1.3475211592780176,1.1112336501157665,0.306219311506714,0.5491944595176207,0.7454545454545455
