dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,2,1.744326211098514,1.3193515633448223,-0.18091976397793497,0.3218407936212282,0.6454545454545455
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,5,1.659704889936037,1.2141622301847395,-0.06912066629134173,0.3970023119205169,0.6818181818181818
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,10,1.643596612281908,1.2523449106380682,-0.048468657597037,0.3986455523748082,0.6545454545454545
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,2,1.6292775867068985,1.2,-0.030279702335129555,0.3956491947104133,0.6545454545454545
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,5,1.7342753899452912,1.256675187963823,-0.16735003370720092,0.31311910540601035,0.6909090909090909
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,10,1.6768413855408408,1.3013129539085944,-0.09131203779755492,0.3835218580205188,0.6181818181818182
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,2,1.7241598744685114,1.2818181818181817,-0.1537721324095458,0.33278639833645884,0.6363636363636364
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,5,1.7784514141945427,1.332470684333482,-0.22757769229766112,0.280490943145161,0.6
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,10,1.765509350520926,1.29533157925807,-0.20977615884011902,0.3042428454361685,0.6636363636363637
"Lasso (alpha=1.0, top-100)",Decision Tree,,2,1.6348477827391983,1.2363636363636363,-0.03733641262509613,0.42040543410769377,0.6454545454545455
"Lasso (alpha=1.0, top-100)",Decision Tree,,5,1.7984643194475738,1.3363402597341576,-0.25536099213320806,0.28533013006502295,0.6363636363636364
"Lasso (alpha=1.0, top-100)",Decision Tree,,10,1.7330910313682462,1.306922238241283,-0.16575618194795738,0.3442725972471369,0.6363636363636364
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,2,1.5558440007508416,1.0303415691144409,0.06049936773364584,0.4646731465206653,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,5,1.579280657155769,1.0852467110425723,0.03198160545923412,0.44802938614184756,0.7272727272727273
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,10,1.5653011134448866,1.115771310775297,0.04904324908273017,0.4580031516965829,0.6909090909090909
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,2,1.5579707080920127,1.009090909090909,0.05792917628945349,0.5011959956214519,0.7272727272727273
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,5,1.5930513186114363,1.0730869601099493,0.015026581500878988,0.46595391191987806,0.7454545454545455
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,10,1.5128362719352808,1.0640950601692363,0.11172214566446081,0.49846089316648257,0.7090909090909091
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,2,1.5521246435421703,1.0454545454545454,0.06498588657942017,0.49970297247258333,0.7363636363636363
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,5,1.5879539993535496,1.0632028122331043,0.02131977677824337,0.4397472612594079,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,10,1.553387723748418,1.0967042524487265,0.06346348519576828,0.4826379505068893,0.7
"Ridge (alpha=1.0, top-100)",Decision Tree,,2,1.4924050144892729,1.009090909090909,0.13555298947908656,0.5029061228169932,0.7272727272727273
"Ridge (alpha=1.0, top-100)",Decision Tree,,5,1.5540613192410593,1.0303203288628162,0.06265108846769096,0.46312886295479516,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Decision Tree,,10,1.502289443450534,1.0603406160850901,0.12406433730994115,0.4987620348706116,0.7181818181818181
PCA (n_components=50),Decision Tree,10.0,2,1.181573181220119,0.8190555797980631,0.45814107938152926,0.7201250672475913,0.8454545454545455
PCA (n_components=50),Decision Tree,10.0,5,1.1067598688237186,0.8103990677780343,0.5245862000388695,0.7455077263085957,0.8181818181818182
PCA (n_components=50),Decision Tree,10.0,10,1.1785743125054278,0.8863979958728071,0.4608880978258446,0.717772904005175,0.8181818181818182
PCA (n_components=50),Decision Tree,20.0,2,1.1946852000726917,0.8636363636363638,0.44604824223761874,0.7190911480598382,0.8181818181818182
PCA (n_components=50),Decision Tree,20.0,5,1.2154348843306646,0.8518083929528818,0.42663870630037404,0.7149517480668947,0.7909090909090909
PCA (n_components=50),Decision Tree,20.0,10,1.195173607208192,0.8272157032947706,0.4455952203123813,0.7263258512845994,0.7909090909090909
PCA (n_components=50),Decision Tree,30.0,2,1.2468141218904503,0.8454545454545456,0.3966512702078522,0.7215101767023883,0.8
PCA (n_components=50),Decision Tree,30.0,5,1.2532499824225538,0.8445655511922735,0.3904064096372277,0.7152332340528291,0.7909090909090909
PCA (n_components=50),Decision Tree,30.0,10,1.213446946870012,0.8701134305674979,0.4285127256958987,0.7141348485966552,0.8090909090909091
PCA (n_components=50),Decision Tree,,2,1.2210278829367867,0.8727272727272729,0.4213497562227355,0.7058925092072817,0.8
PCA (n_components=50),Decision Tree,,5,1.243183905376709,0.8862824037905289,0.40015956847219003,0.7008316441480683,0.7636363636363637
PCA (n_components=50),Decision Tree,,10,1.2104808507418663,0.8894005601257685,0.43130314764067534,0.7022325798544583,0.7636363636363637
"Lasso→PCA (top-100, 95%var)",Decision Tree,10.0,2,1.5748711783977947,1.1265700159484653,0.03737962966924879,0.4693821728052736,0.7
"Lasso→PCA (top-100, 95%var)",Decision Tree,10.0,5,1.5796688439883013,1.1551638023753252,0.03150566956393486,0.48588753300136456,0.7
"Lasso→PCA (top-100, 95%var)",Decision Tree,10.0,10,1.5494600723267276,1.171157057023662,0.06819345520944176,0.46930637925178487,0.7272727272727273
"Lasso→PCA (top-100, 95%var)",Decision Tree,20.0,2,1.5840110192454184,1.1272727272727272,0.02617397998460358,0.4809235259476202,0.7
"Lasso→PCA (top-100, 95%var)",Decision Tree,20.0,5,1.564273719573989,1.1167138119458702,0.050291170644948036,0.4927009833863313,0.6909090909090909
