dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Random Forest,10,10.0,1.2462145578356274,0.9977192522768947,0.3972314035683371,0.6240334614705284,0.7727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,10,20.0,1.3026895255585653,1.0154545454545454,0.3413619450859635,0.5666005084948964,0.7454545454545455
"Lasso (alpha=1.0, top-100)",Random Forest,10,30.0,1.3060001392175897,1.0072727272727273,0.3380100076982294,0.5718557623495824,0.7636363636363637
"Lasso (alpha=1.0, top-100)",Random Forest,10,,1.3267869596750024,1.0363636363636362,0.3167693097254298,0.5531017996677084,0.7545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,20,10.0,1.2457683976208083,0.9730254090646409,0.3976629235251582,0.5944424781160262,0.7818181818181819
"Lasso (alpha=1.0, top-100)",Random Forest,20,20.0,1.2501727153404918,0.9995454545454543,0.39339636258660504,0.5987162361536947,0.7909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,20,30.0,1.2374552333500612,1.0031818181818182,0.40567503849114706,0.6117111967843739,0.8090909090909091
"Lasso (alpha=1.0, top-100)",Random Forest,20,,1.2101183262955584,0.9686363636363637,0.4316437323582244,0.634112700676713,0.7636363636363637
"Lasso (alpha=1.0, top-100)",Random Forest,50,10.0,1.2095416284067053,0.9754450729906953,0.4321853186659672,0.6335328521693241,0.7636363636363637
"Lasso (alpha=1.0, top-100)",Random Forest,50,20.0,1.2158932369399724,0.9583636363636362,0.42620618424429046,0.6377250254741458,0.7818181818181819
"Lasso (alpha=1.0, top-100)",Random Forest,50,30.0,1.199499895789908,0.9618181818181818,0.44157428791377995,0.6460825000553475,0.8090909090909091
"Lasso (alpha=1.0, top-100)",Random Forest,50,,1.209776838925262,0.9605454545454545,0.4319644598409035,0.6356338211834431,0.8090909090909091
"Lasso (alpha=1.0, top-100)",Random Forest,100,10.0,1.199774688150572,0.9581965217177626,0.4413184001105239,0.6433054456826488,0.7818181818181819
"Lasso (alpha=1.0, top-100)",Random Forest,100,20.0,1.1886420823780386,0.9413636363636365,0.45163821529381576,0.6539040021228154,0.7727272727272727
"Lasso (alpha=1.0, top-100)",Random Forest,100,30.0,1.198634450303572,0.9606363636363636,0.44237981139337945,0.6410970186352974,0.7818181818181819
"Lasso (alpha=1.0, top-100)",Random Forest,100,,1.2087405165558223,0.9630000000000002,0.43293722735437523,0.6379084655569219,0.8090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,10,10.0,1.156929692142997,0.9483911103094812,0.48050794258399776,0.6718995799195312,0.7909090909090909
