dimension_reduction_type,model,C,gamma,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",SVR (rbf),0.1,scale,1.406972520350328,1.1684187432942599,0.23169049128966057,0.6799757634972974,0.6
"Lasso (alpha=1.0, top-100)",SVR (rbf),0.1,auto,1.393064672382795,1.1523004253243347,0.2468048147473728,0.697073183717679,0.6
"Lasso (alpha=1.0, top-100)",SVR (rbf),1.0,scale,1.1994889680925749,0.9603731335332713,0.4415844626197377,0.6891156323833415,0.7727272727272727
"Lasso (alpha=1.0, top-100)",SVR (rbf),1.0,auto,1.184965972440985,0.9305640615911306,0.4550248041538232,0.6968699728884794,0.7636363636363637
"Lasso (alpha=1.0, top-100)",SVR (rbf),10.0,scale,1.2637190369648303,0.9895659736528402,0.38017936126871477,0.6311035590748022,0.7636363636363637
"Lasso (alpha=1.0, top-100)",SVR (rbf),10.0,auto,1.253869390604954,0.9686756845617767,0.38980368779759855,0.6450327377308449,0.7909090909090909
"Ridge (alpha=1.0, top-100)",SVR (rbf),0.1,scale,1.3512241559629707,1.1229367136144153,0.2913696013645145,0.7304089965622803,0.6636363636363637
"Ridge (alpha=1.0, top-100)",SVR (rbf),0.1,auto,1.3512241559629707,1.1229367136144153,0.2913696013645145,0.7304089965622803,0.6636363636363637
"Ridge (alpha=1.0, top-100)",SVR (rbf),1.0,scale,1.1145091068507003,0.9148593351184019,0.5179054514381878,0.7069566195014759,0.8272727272727273
"Ridge (alpha=1.0, top-100)",SVR (rbf),1.0,auto,1.1145091068507003,0.9148593351184019,0.5179054514381878,0.7069566195014759,0.8272727272727273
"Ridge (alpha=1.0, top-100)",SVR (rbf),10.0,scale,1.206709428925886,0.9716018288652984,0.4348413358067259,0.6528286440874101,0.8
"Ridge (alpha=1.0, top-100)",SVR (rbf),10.0,auto,1.206709428925886,0.9716018288652984,0.4348413358067259,0.6528286440874101,0.8
PCA (n_components=50),SVR (rbf),0.1,scale,1.4559412659004252,1.2078296655406384,0.17727879991031692,0.699045252446502,0.6
PCA (n_components=50),SVR (rbf),0.1,auto,1.4559412659004252,1.2078296655406382,0.17727879991031703,0.699045252446502,0.6
PCA (n_components=50),SVR (rbf),1.0,scale,1.0369832180329972,0.8116096170304284,0.5826422968554962,0.7658600494017316,0.8818181818181818
PCA (n_components=50),SVR (rbf),1.0,auto,1.0369832180329972,0.8116096170304284,0.5826422968554962,0.7658600494017316,0.8818181818181818
PCA (n_components=50),SVR (rbf),10.0,scale,1.0629707451147898,0.7813990228636266,0.5614616262466099,0.7441488196729326,0.8909090909090909
PCA (n_components=50),SVR (rbf),10.0,auto,1.0629707451147912,0.7813990228636276,0.561461626246609,0.7441488196729326,0.8909090909090909
"Lasso→PCA (top-100, 95%var)",SVR (rbf),0.1,scale,1.3740094690669322,1.117992728762639,0.2672692309746063,0.6303553737491128,0.6454545454545455
"Lasso→PCA (top-100, 95%var)",SVR (rbf),0.1,auto,1.3740094690669322,1.117992728762639,0.2672692309746063,0.6303553737491128,0.6454545454545455
"Lasso→PCA (top-100, 95%var)",SVR (rbf),1.0,scale,1.2905662148119987,1.0265976370567982,0.35356396031397697,0.6278983700869726,0.7454545454545455
"Lasso→PCA (top-100, 95%var)",SVR (rbf),1.0,auto,1.2905662148119987,1.0265976370567982,0.35356396031397697,0.6278983700869726,0.7454545454545455
"Lasso→PCA (top-100, 95%var)",SVR (rbf),10.0,scale,1.3387689866127928,1.0386756768180276,0.30437326680310006,0.5764998855832919,0.7636363636363637
"Lasso→PCA (top-100, 95%var)",SVR (rbf),10.0,auto,1.3387689866127928,1.0386756768180276,0.30437326680310006,0.5764998855832919,0.7636363636363637
"Ridge→PCA (top-100, 95%var)",SVR (rbf),0.1,scale,1.4889124465754178,1.252906354219369,0.13959426128550567,0.6070415495263991,0.5909090909090909
"Ridge→PCA (top-100, 95%var)",SVR (rbf),0.1,auto,1.4889124465754178,1.252906354219369,0.13959426128550567,0.6070415495263991,0.5909090909090909
"Ridge→PCA (top-100, 95%var)",SVR (rbf),1.0,scale,1.2467036067574804,1.0384248481657543,0.3967582247390451,0.6164677609444972,0.7818181818181819
"Ridge→PCA (top-100, 95%var)",SVR (rbf),1.0,auto,1.2467036067574804,1.0384248481657543,0.3967582247390451,0.6164677609444972,0.7818181818181819
"Ridge→PCA (top-100, 95%var)",SVR (rbf),10.0,scale,1.2378956548524622,1.010402102001615,0.40525191195594257,0.6240927854674171,0.8181818181818182
"Ridge→PCA (top-100, 95%var)",SVR (rbf),10.0,auto,1.2378956548524622,1.010402102001615,0.40525191195594257,0.6240927854674171,0.8181818181818182
"Lasso (alpha=1.0, top-100)",SVR (rbf),0.1,scale,1.4706644360935837,1.2180185894757694,0.1736230385725931,0.5557890595302937,0.6
"Lasso (alpha=1.0, top-100)",SVR (rbf),0.1,auto,1.4506841137418478,1.1996791892196028,0.19592468299782295,0.5639546305251101,0.6
"Lasso (alpha=1.0, top-100)",SVR (rbf),1.0,scale,1.408646434988077,1.13509972361866,0.24185020608368168,0.5599617539121733,0.6818181818181818
"Lasso (alpha=1.0, top-100)",SVR (rbf),1.0,auto,1.3733229122345672,1.0998847841715402,0.27939652539240156,0.5854036628615785,0.6727272727272727
"Lasso (alpha=1.0, top-100)",SVR (rbf),10.0,scale,1.500375788876221,1.22826103597058,0.1398957073183269,0.4193995871431321,0.6818181818181818
"Lasso (alpha=1.0, top-100)",SVR (rbf),10.0,auto,1.4805785264920275,1.1983933214706632,0.1624438866202731,0.44549621719997046,0.6727272727272727
"Ridge (alpha=1.0, top-100)",SVR (rbf),0.1,scale,1.387679382279913,1.1414344625120416,0.2642516586296504,0.6483537141276589,0.6272727272727273
"Ridge (alpha=1.0, top-100)",SVR (rbf),0.1,auto,1.387679382279913,1.1414344625120416,0.2642516586296504,0.6483537141276589,0.6272727272727273
"Ridge (alpha=1.0, top-100)",SVR (rbf),1.0,scale,1.1314389868802224,0.8941323677248694,0.5108823900188265,0.7211061391571378,0.8272727272727273
"Ridge (alpha=1.0, top-100)",SVR (rbf),1.0,auto,1.1314389868802224,0.8941323677248694,0.5108823900188265,0.7211061391571378,0.8272727272727273
"Ridge (alpha=1.0, top-100)",SVR (rbf),10.0,scale,1.1780319182876078,0.9306364102230066,0.46976897514594673,0.6774749712723568,0.8
"Ridge (alpha=1.0, top-100)",SVR (rbf),10.0,auto,1.1780319182876078,0.9306364102230066,0.46976897514594673,0.6774749712723568,0.8
PCA (n_components=50),SVR (rbf),0.1,scale,1.498852261361848,1.2386971281891506,0.1416415729321021,0.6417281209489173,0.6090909090909091
PCA (n_components=50),SVR (rbf),0.1,auto,1.498852261361848,1.2386971281891506,0.1416415729321021,0.6417281209489173,0.6090909090909091
PCA (n_components=50),SVR (rbf),1.0,scale,1.203782014778507,0.9602685756040243,0.44633544528842595,0.6860601170613732,0.8090909090909091
PCA (n_components=50),SVR (rbf),1.0,auto,1.203782014778507,0.9602685756040243,0.44633544528842595,0.6860601170613732,0.8090909090909091
PCA (n_components=50),SVR (rbf),10.0,scale,1.2227722168056074,0.9510967458065444,0.4287290435530151,0.6497277063108634,0.7727272727272727
PCA (n_components=50),SVR (rbf),10.0,auto,1.2227722168056074,0.9510967458065444,0.4287290435530151,0.6497277063108634,0.7727272727272727
"Lasso→PCA (top-100, 95%var)",SVR (rbf),0.1,scale,1.4643270480744652,1.1792474150301888,0.18072974154403443,0.4832256736938058,0.6454545454545455
"Lasso→PCA (top-100, 95%var)",SVR (rbf),0.1,auto,1.4643270480744652,1.1792474150301888,0.18072974154403443,0.4832256736938058,0.6454545454545455
"Lasso→PCA (top-100, 95%var)",SVR (rbf),1.0,scale,1.442958213840442,1.1244315141790306,0.2044663954225222,0.518156427988966,0.6909090909090909
"Lasso→PCA (top-100, 95%var)",SVR (rbf),1.0,auto,1.442958213840442,1.1244315141790306,0.2044663954225222,0.518156427988966,0.6909090909090909
"Lasso→PCA (top-100, 95%var)",SVR (rbf),10.0,scale,1.4394004100445277,1.1855994064197934,0.20838454516151794,0.5046239881980084,0.7181818181818181
"Lasso→PCA (top-100, 95%var)",SVR (rbf),10.0,auto,1.4394004100445277,1.1855994064197934,0.20838454516151794,0.5046239881980084,0.7181818181818181
"Ridge→PCA (top-100, 95%var)",SVR (rbf),0.1,scale,1.5168524028804087,1.2548759661592594,0.12090123885499249,0.5479646812252664,0.5909090909090909
"Ridge→PCA (top-100, 95%var)",SVR (rbf),0.1,auto,1.5168524028804087,1.2548759661592594,0.12090123885499249,0.5479646812252664,0.5909090909090909
"Ridge→PCA (top-100, 95%var)",SVR (rbf),1.0,scale,1.2993427967367497,1.0349576146503745,0.35494238493405805,0.6094346939315859,0.7636363636363637
"Ridge→PCA (top-100, 95%var)",SVR (rbf),1.0,auto,1.2993427967367497,1.0349576146503745,0.35494238493405805,0.6094346939315859,0.7636363636363637
"Ridge→PCA (top-100, 95%var)",SVR (rbf),10.0,scale,1.2707613148575514,1.0245200088937128,0.3830087699644522,0.6074198127770208,0.7272727272727273
"Ridge→PCA (top-100, 95%var)",SVR (rbf),10.0,auto,1.2707613148575514,1.0245200088937128,0.3830087699644522,0.6074198127770208,0.7272727272727273
"Lasso (alpha=1.0, top-100)",SVR (rbf),0.1,scale,1.5037179382380985,1.2495397959387484,0.1360596034883843,0.38605030707226434,0.5545454545454546
"Lasso (alpha=1.0, top-100)",SVR (rbf),0.1,auto,1.4988426381384934,1.2439676151318035,0.1416525948967855,0.39346433200714,0.5727272727272728
"Lasso (alpha=1.0, top-100)",SVR (rbf),1.0,scale,1.4215936684726762,1.147687024158184,0.2278494567329763,0.4508723074201601,0.7181818181818181
"Lasso (alpha=1.0, top-100)",SVR (rbf),1.0,auto,1.4286566266357341,1.1537535975588218,0.22015778655324258,0.4438409715832911,0.7545454545454545
"Lasso (alpha=1.0, top-100)",SVR (rbf),10.0,scale,1.3288246788909464,1.0808822727891654,0.325337780495801,0.5130662019142753,0.7090909090909091
"Lasso (alpha=1.0, top-100)",SVR (rbf),10.0,auto,1.3455432053021963,1.071708668430251,0.3082545435677668,0.4996259763638012,0.7
