dimension_reduction_type,n_features,model,mean_squared_error,mean_absolute_error,f1_score,accuracy_score,cohen_kappa,within_1_accuracy,execution_time_seconds,parameters
PCA50,50,Naive Model,4.136363636363637,1.5909090909090908,0.229172254108361,0.23636363636363636,0.18973611785656475,0.5181818181818182,0.007209300994873047,
PCA50,50,Linear Regression,1.809090909090909,1.0454545454545454,0.2815861473277741,0.2818181818181818,0.4814025112532575,0.7181818181818181,0.0071010589599609375,
PCA50,50,Poisson Regression,2.090909090909091,1.0909090909090908,0.30110984080152436,0.3,0.4065212291813276,0.7090909090909091,0.013148069381713867,alpha=0.001
PCA50,50,Decision Tree,3.6545454545454548,1.490909090909091,0.2399492471074907,0.24545454545454545,0.2377176348905361,0.5272727272727272,0.016776323318481445,"max_depth=10, min_samples_split=2"
PCA50,50,Random Forest,2.981818181818182,1.2363636363636363,0.2913119438700834,0.34545454545454546,0.3691204756076236,0.6454545454545455,0.5868208408355713,"n_estimators=300, max_depth=20, min_samples_split=10"
PCA100,100,Naive Model,4.845454545454546,1.7727272727272727,0.19110132504241903,0.19090909090909092,0.017429193899782036,0.4636363636363636,0.0055692195892333984,
PCA100,100,Linear Regression,1.7,0.9545454545454546,0.34974444909928776,0.33636363636363636,0.5366073439963956,0.7818181818181819,0.008174896240234375,
PCA100,100,Poisson Regression,1.990909090909091,1.0636363636363637,0.30961903442743527,0.3,0.46167597765363133,0.7272727272727273,0.013222217559814453,alpha=0.001
PCA100,100,Decision Tree,3.418181818181818,1.4545454545454546,0.21884868612165603,0.21818181818181817,0.22936463573691068,0.5636363636363636,0.027162790298461914,"max_depth=10, min_samples_split=10"
PCA100,100,Random Forest,3.4727272727272727,1.3272727272727274,0.282253268616905,0.35454545454545455,0.33941204213174025,0.6181818181818182,0.8005721569061279,"n_estimators=300, max_depth=None, min_samples_split=5"
PCA300,300,Naive Model,4.490909090909091,1.690909090909091,0.20052627357392894,0.2,0.10757102972573507,0.4727272727272727,0.006537437438964844,
PCA300,300,Linear Regression,2.4363636363636365,1.2,0.27459415584415586,0.2636363636363636,0.41865509761388287,0.6454545454545455,0.01810765266418457,
PCA300,300,Poisson Regression,2.2636363636363637,1.1363636363636365,0.2759205661891895,0.2636363636363636,0.4678453468039634,0.7272727272727273,0.01156473159790039,alpha=0.1
PCA300,300,Decision Tree,4.072727272727272,1.6727272727272726,0.14442856552806574,0.13636363636363635,0.09261646105689558,0.4909090909090909,0.07218790054321289,"max_depth=20, min_samples_split=5"
PCA300,300,Random Forest,3.0545454545454547,1.2181818181818183,0.2830398303522036,0.35454545454545455,0.3510096575943811,0.6636363636363637,0.39417552947998047,"n_estimators=100, max_depth=None, min_samples_split=2"
Lasso_0.01,516,Naive Model,5.5181818181818185,1.7727272727272727,0.2499596448748991,0.24545454545454545,-0.04704406460718191,0.5181818181818182,0.005815744400024414,
Lasso_0.01,516,Linear Regression,3.827272727272727,1.5545454545454545,0.21742563656439254,0.22727272727272727,0.26527050610820246,0.509090909090909,0.0410158634185791,
Lasso_0.01,516,Poisson Regression,2.172727272727273,1.1363636363636365,0.28813315655184013,0.2818181818181818,0.4528616024973985,0.6727272727272727,0.022937297821044922,alpha=0.5
Lasso_0.01,516,Decision Tree,3.1363636363636362,1.3,0.29400545641233605,0.2909090909090909,0.3329231850940412,0.6363636363636364,0.11951541900634766,"max_depth=10, min_samples_split=5"
Lasso_0.01,516,Random Forest,2.6363636363636362,1.1090909090909091,0.3310295728368018,0.38181818181818183,0.4553525695748676,0.7090909090909091,0.23525476455688477,"n_estimators=50, max_depth=None, min_samples_split=5"
Lasso_0.1,416,Naive Model,5.154545454545454,1.809090909090909,0.18817045957138837,0.19090909090909092,-0.04175714047102064,0.4727272727272727,0.005135297775268555,
Lasso_0.1,416,Linear Regression,3.6636363636363636,1.518181818181818,0.20360970596264713,0.22727272727272727,0.306368330464716,0.5272727272727272,0.029978036880493164,
Lasso_0.1,416,Poisson Regression,1.8636363636363635,1.0272727272727273,0.31373282914029943,0.3090909090909091,0.5088216074929209,0.7272727272727273,0.016737699508666992,alpha=1.0
Lasso_0.1,416,Decision Tree,3.3363636363636364,1.3545454545454545,0.29946260635915806,0.2909090909090909,0.3062381852551985,0.6090909090909091,0.09809279441833496,"max_depth=30, min_samples_split=5"
Lasso_0.1,416,Random Forest,2.109090909090909,1.0,0.3204200675485505,0.37272727272727274,0.550308370044053,0.7545454545454545,0.4300966262817383,"n_estimators=100, max_depth=None, min_samples_split=5"
Lasso_1,212,Naive Model,4.9,1.7545454545454546,0.18611473587550142,0.19090909090909092,0.06996078431372577,0.4818181818181818,0.006060600280761719,
Lasso_1,212,Linear Regression,2.618181818181818,1.2181818181818183,0.28535272224027847,0.2818181818181818,0.4257748776508973,0.6545454545454545,0.01034855842590332,
Lasso_1,212,Poisson Regression,2.172727272727273,1.0818181818181818,0.31226206229272135,0.3090909090909091,0.4876242447865914,0.7181818181818181,0.02158045768737793,alpha=0.1
Lasso_1,212,Decision Tree,3.590909090909091,1.4090909090909092,0.25555165433866917,0.2636363636363636,0.3110829237355319,0.6272727272727273,0.04585385322570801,"max_depth=20, min_samples_split=10"
Lasso_1,212,Random Forest,2.309090909090909,1.0545454545454545,0.3196738356359493,0.37272727272727274,0.505224012750133,0.7181818181818181,0.3178699016571045,"n_estimators=100, max_depth=30, min_samples_split=5"
Ridge50,50,Naive Model,4.209090909090909,1.6090909090909091,0.19710289710289708,0.2,0.1025550660792951,0.5454545454545454,0.005341291427612305,
Ridge50,50,Linear Regression,2.7818181818181817,1.290909090909091,0.23384047041336045,0.24545454545454545,0.18597339782345834,0.6181818181818182,0.0060443878173828125,
Ridge50,50,Poisson Regression,3.1818181818181817,1.4,0.20822712484203168,0.21818181818181817,0.15216912574322827,0.5727272727272728,0.012587308883666992,alpha=0.0
Ridge50,50,Decision Tree,3.536363636363636,1.4090909090909092,0.27368625724557927,0.2636363636363636,0.23874755381604706,0.5909090909090909,0.013895988464355469,"max_depth=30, min_samples_split=10"
Ridge50,50,Random Forest,2.909090909090909,1.2181818181818183,0.2948095734968045,0.35454545454545455,0.42605576390021194,0.6636363636363637,0.5827815532684326,"n_estimators=300, max_depth=None, min_samples_split=5"
Ridge100,100,Naive Model,5.2,1.8545454545454545,0.1702950558213716,0.17272727272727273,0.05991334229792322,0.4090909090909091,0.0060846805572509766,
Ridge100,100,Linear Regression,1.9727272727272727,1.1,0.24319592511996047,0.24545454545454545,0.4729520865533231,0.7454545454545455,0.007368326187133789,
Ridge100,100,Poisson Regression,2.0090909090909093,1.1181818181818182,0.23585495390244182,0.23636363636363636,0.4501244062429314,0.7363636363636363,0.011002302169799805,alpha=0.5
Ridge100,100,Decision Tree,3.890909090909091,1.4545454545454546,0.23921071074440234,0.2545454545454545,0.26814860873620405,0.6181818181818182,0.0236356258392334,"max_depth=30, min_samples_split=5"
Ridge100,100,Random Forest,2.4909090909090907,1.0909090909090908,0.3089937826170994,0.38181818181818183,0.5156676843965933,0.7090909090909091,0.6769814491271973,"n_estimators=300, max_depth=30, min_samples_split=5"
Ridge300,300,Naive Model,5.109090909090909,1.8545454545454545,0.15035797998602948,0.15454545454545454,0.010088070456365172,0.42727272727272725,0.00548863410949707,
Ridge300,300,Linear Regression,2.6545454545454548,1.1636363636363636,0.33787353072459453,0.33636363636363636,0.39361902963941864,0.6727272727272727,0.020474910736083984,
Ridge300,300,Poisson Regression,2.190909090909091,1.0454545454545454,0.3557277432712216,0.35454545454545455,0.45306375077367445,0.7454545454545455,0.014230966567993164,alpha=0.5
Ridge300,300,Decision Tree,3.1636363636363636,1.309090909090909,0.3120247765290605,0.3181818181818182,0.3096483318304779,0.6,0.059410810470581055,"max_depth=10, min_samples_split=10"
Ridge300,300,Random Forest,2.709090909090909,1.0909090909090908,0.37909911141490094,0.42727272727272725,0.47627416520210897,0.7,0.17093396186828613,"n_estimators=50, max_depth=10, min_samples_split=5"
All Features,17214,Naive Model,4.963636363636364,1.7818181818181817,0.18326745718050064,0.19090909090909092,0.012333497779970282,0.4636363636363636,0.0054705142974853516,
All Features,17214,Linear Regression,2.9454545454545453,1.290909090909091,0.2656028818183041,0.2727272727272727,0.4053061905556482,0.6363636363636364,0.15294694900512695,
All Features,17214,Poisson Regression,1.8727272727272728,1.0545454545454545,0.2628497759200296,0.2545454545454545,0.503831837092183,0.7727272727272727,0.6132094860076904,alpha=10.0
All Features,17214,Decision Tree,2.981818181818182,1.2363636363636363,0.3081271678631927,0.3090909090909091,0.39554364215111404,0.6818181818181818,3.8453893661499023,"max_depth=20, min_samples_split=5"
All Features,17214,Random Forest,2.5,1.0454545454545454,0.3650336038309125,0.4090909090909091,0.473088312140742,0.7363636363636363,1.0031073093414307,"n_estimators=50, max_depth=10, min_samples_split=10"
