dimension_reduction_type,n_features,model,mean_squared_error,mean_absolute_error,f1_score,accuracy_score,cohen_kappa,within_1_accuracy,execution_time_seconds,parameters
PCA50,50,Naive Model,5.572727272727272,1.9181818181818182,0.1826005807537955,0.17272727272727273,-0.015053439710974281,0.41818181818181815,0.008857011795043945,
PCA50,50,Linear Regression,1.990909090909091,1.0454545454545454,0.32799983889936046,0.3181818181818182,0.4755062050947093,0.7272727272727273,0.0064465999603271484,
PCA50,50,Poisson Regression,2.2,1.0727272727272728,0.34284997663515454,0.34545454545454546,0.4366137566137567,0.7181818181818181,0.012609481811523438,alpha=0.001
PCA50,50,Decision Tree,2.881818181818182,1.2636363636363637,0.31716203191617304,0.3090909090909091,0.38118899733806566,0.6090909090909091,0.025270462036132812,"max_depth=20, min_samples_split=5"
PCA50,50,Random Forest,3.0636363636363635,1.3181818181818181,0.26483787312431817,0.2727272727272727,0.39928698752228164,0.6181818181818182,0.14670491218566895,"n_estimators=50, max_depth=20, min_samples_split=2"
PCA100,100,Naive Model,5.290909090909091,1.7818181818181817,0.23894974590626764,0.21818181818181817,0.037727341049150875,0.4818181818181818,0.004980325698852539,
PCA100,100,Linear Regression,2.0454545454545454,1.0272727272727273,0.36528465245446373,0.34545454545454546,0.4755244755244755,0.7272727272727273,0.007066488265991211,
PCA100,100,Poisson Regression,2.3181818181818183,1.1181818181818182,0.3251461916461917,0.3181818181818182,0.42272072442889497,0.7090909090909091,0.032418012619018555,alpha=0.0
PCA100,100,Decision Tree,2.6636363636363636,1.2272727272727273,0.30810854217552786,0.3,0.4366369515818913,0.6363636363636364,0.04396796226501465,"max_depth=30, min_samples_split=2"
PCA100,100,Random Forest,2.9454545454545453,1.1818181818181819,0.35487975732557775,0.38181818181818183,0.4329355608591886,0.6636363636363637,1.09053635597229,"n_estimators=300, max_depth=None, min_samples_split=10"
PCA300,300,Naive Model,5.490909090909091,1.8727272727272728,0.15378544164453878,0.14545454545454545,-0.04154256153002045,0.4818181818181818,0.005872011184692383,
PCA300,300,Linear Regression,2.0727272727272728,1.0909090909090908,0.32157671422377304,0.3,0.5010940919037199,0.6909090909090909,0.018833637237548828,
PCA300,300,Poisson Regression,2.9,1.2818181818181817,0.28983191923284085,0.2818181818181818,0.38707423580786027,0.6181818181818182,0.03631877899169922,alpha=0.0
PCA300,300,Decision Tree,3.118181818181818,1.3909090909090909,0.20795004359396635,0.2,0.3019426456984273,0.6181818181818182,0.12454581260681152,"max_depth=20, min_samples_split=2"
PCA300,300,Random Forest,3.8727272727272726,1.4363636363636363,0.2430253837072019,0.3090909090909091,0.23643474010102672,0.5818181818181818,1.795022964477539,"n_estimators=300, max_depth=30, min_samples_split=5"
