dimension_reduction_type,Dimension Reduction,n_features,SMOTE,StratKFold,model,mean_squared_error,mean_absolute_error,f1_score,accuracy_score,cohen_kappa,within_1_accuracy,execution_time_seconds,parameters
All Features,All Features,17214,No,No,Decision Tree,2.245454545,1.027272727,0.398254683,0.390909091,0.589490225,0.736363636,3.528212309,"max_depth=10, min_samples_split=5"
All Features,All Features,17214,Yes,No,Decision Tree,2.354545455,1.063636364,0.44401852,0.418181818,0.576709357,0.663636364,5.816256046,"max_depth=30, min_samples_split=2"
Lasso_0.01,Lasso,374,No,No,Decision Tree,2.545454545,1.218181818,0.317758927,0.281818182,0.505824215,0.645454545,0.086873055,"max_depth=30, min_samples_split=10"
Lasso_0.01,Lasso,367,Yes,No,Decision Tree,2.927272727,1.272727273,0.34730105,0.318181818,0.494534349,0.6,0.126257658,"max_depth=20, min_samples_split=5"
Lasso_0.1,Lasso,106,No,No,Decision Tree,2.772727273,1.190909091,0.383766796,0.372727273,0.467815107,0.609090909,0.026253939,"max_depth=10, min_samples_split=2"
Lasso_0.1,Lasso,101,Yes,No,Decision Tree,3.263636364,1.390909091,0.28644881,0.263636364,0.407110471,0.572727273,0.0409863,"max_depth=20, min_samples_split=5"
Lasso_0.8,Lasso,5,Yes,No,Decision Tree,2.518181818,1.190909091,0.316470279,0.3,0.530407176,0.663636364,0.007055283,"max_depth=10, min_samples_split=10"
Lasso_0.8,Lasso,1,No,No,Decision Tree,3.1,1.372727273,0.224463319,0.236363636,0.31161681,0.6,0.005805254,"max_depth=20, min_samples_split=10"
PCA100,PCA,100,Yes,No,Decision Tree,3.109090909,1.272727273,0.331657242,0.309090909,0.400057411,0.636363636,0.046718836,"max_depth=10, min_samples_split=5"
PCA100,PCA,100,No,No,Decision Tree,3.7,1.5,0.269187123,0.254545455,0.31420606,0.527272727,0.028758049,"max_depth=20, min_samples_split=2"
PCA300,PCA,300,Yes,No,Decision Tree,3.472727273,1.436363636,0.278442911,0.263636364,0.351082559,0.554545455,0.120390892,"max_depth=10, min_samples_split=5"
PCA300,PCA,300,No,No,Decision Tree,4.054545455,1.545454545,0.245846989,0.245454545,0.236372692,0.554545455,0.070608854,"max_depth=30, min_samples_split=2"
PCA50,PCA,50,No,No,Decision Tree,3.009090909,1.318181818,0.321013855,0.309090909,0.447345254,0.563636364,0.015413046,"max_depth=10, min_samples_split=10"
PCA50,PCA,50,Yes,No,Decision Tree,3.627272727,1.409090909,0.302545344,0.281818182,0.310967377,0.581818182,0.02474761,"max_depth=30, min_samples_split=5"
Ridge100,Ridge,100,Yes,No,Decision Tree,3.109090909,1.272727273,0.349533714,0.336363636,0.455776408,0.636363636,0.039224386,"max_depth=30, min_samples_split=10"
Ridge100,Ridge,100,No,No,Decision Tree,3.854545455,1.4,0.358327681,0.363636364,0.316790203,0.554545455,0.023342133,"max_depth=30, min_samples_split=5"
Ridge300,Ridge,300,No,No,Decision Tree,3.718181818,1.372727273,0.374629381,0.363636364,0.357744468,0.6,0.061340094,"max_depth=10, min_samples_split=5"
Ridge300,Ridge,300,Yes,No,Decision Tree,3.636363636,1.418181818,0.290262636,0.272727273,0.326990731,0.627272727,0.110723972,"max_depth=10, min_samples_split=5"
Ridge50,Ridge,50,No,No,Decision Tree,3.281818182,1.372727273,0.273274586,0.272727273,0.347583216,0.581818182,0.014689445,"max_depth=10, min_samples_split=5"
Ridge50,Ridge,50,Yes,No,Decision Tree,3.972727273,1.536363636,0.261416051,0.236363636,0.245818821,0.545454545,0.022523642,"max_depth=10, min_samples_split=2"
All Features,All Features,17214,Yes,Yes,Decision Tree StratKFold,2.4,1.090909091,0.398875498,0.372727273,0.564787339,0.690909091,5.804131508,"max_depth=10, min_samples_split=2"
All Features,All Features,17214,No,Yes,Decision Tree StratKFold,2.809090909,1.209090909,0.332522954,0.318181818,0.474180873,0.663636364,3.551679373,"max_depth=10, min_samples_split=5"
Lasso_0.01,Lasso,367,Yes,Yes,Decision Tree StratKFold,2.8,1.218181818,0.339201765,0.309090909,0.516538714,0.690909091,0.111933947,"max_depth=20, min_samples_split=10"
Lasso_0.01,Lasso,374,No,Yes,Decision Tree StratKFold,2.581818182,1.236363636,0.282508338,0.263636364,0.507364304,0.636363636,0.086473703,"max_depth=20, min_samples_split=5"
Lasso_0.1,Lasso,106,No,Yes,Decision Tree StratKFold,2.809090909,1.209090909,0.368797174,0.354545455,0.489041219,0.627272727,0.025436163,"max_depth=20, min_samples_split=5"
Lasso_0.1,Lasso,101,Yes,Yes,Decision Tree StratKFold,3.309090909,1.363636364,0.323139674,0.309090909,0.420935412,0.581818182,0.038659811,"max_depth=20, min_samples_split=5"
Lasso_0.8,Lasso,5,Yes,Yes,Decision Tree StratKFold,2.318181818,1.1,0.362546665,0.345454545,0.567623393,0.7,0.004145145,"max_depth=20, min_samples_split=10"
Lasso_0.8,Lasso,1,No,Yes,Decision Tree StratKFold,3.1,1.372727273,0.224463319,0.236363636,0.31161681,0.6,0.00248909,"max_depth=30, min_samples_split=10"
PCA100,PCA,100,Yes,Yes,Decision Tree StratKFold,3.318181818,1.3,0.33670503,0.318181818,0.361014737,0.645454545,0.040368557,"max_depth=10, min_samples_split=5"
PCA100,PCA,100,No,Yes,Decision Tree StratKFold,3.936363636,1.5,0.299856284,0.3,0.279621283,0.5,0.023146391,"max_depth=10, min_samples_split=5"
PCA300,PCA,300,Yes,Yes,Decision Tree StratKFold,3.254545455,1.363636364,0.291208605,0.272727273,0.399969526,0.590909091,0.118103504,"max_depth=10, min_samples_split=5"
PCA300,PCA,300,No,Yes,Decision Tree StratKFold,3.5,1.445454545,0.199542379,0.218181818,0.277969107,0.609090909,0.064272881,"max_depth=20, min_samples_split=10"
PCA50,PCA,50,No,Yes,Decision Tree StratKFold,2.836363636,1.272727273,0.334372624,0.318181818,0.472924409,0.572727273,0.012891054,"max_depth=10, min_samples_split=5"
PCA50,PCA,50,Yes,Yes,Decision Tree StratKFold,3.163636364,1.236363636,0.395439652,0.363636364,0.391743732,0.636363636,0.020596981,"max_depth=10, min_samples_split=10"
Ridge100,Ridge,100,Yes,Yes,Decision Tree StratKFold,3.009090909,1.281818182,0.324449362,0.309090909,0.458716142,0.636363636,0.036273241,"max_depth=10, min_samples_split=2"
Ridge100,Ridge,100,No,Yes,Decision Tree StratKFold,3.481818182,1.336363636,0.322904098,0.309090909,0.352384173,0.636363636,0.020326614,"max_depth=20, min_samples_split=10"
Ridge300,Ridge,300,No,Yes,Decision Tree StratKFold,3.827272727,1.445454545,0.332504541,0.3,0.317826945,0.572727273,0.055042505,"max_depth=20, min_samples_split=10"
Ridge300,Ridge,300,Yes,Yes,Decision Tree StratKFold,3.754545455,1.445454545,0.309988657,0.290909091,0.289601251,0.581818182,0.10054493,"max_depth=10, min_samples_split=10"
Ridge50,Ridge,50,No,Yes,Decision Tree StratKFold,4,1.527272727,0.247503608,0.245454545,0.239304687,0.572727273,0.012838602,"max_depth=20, min_samples_split=10"
Ridge50,Ridge,50,Yes,Yes,Decision Tree StratKFold,4.045454545,1.572727273,0.254882019,0.236363636,0.201494242,0.509090909,0.019843817,"max_depth=10, min_samples_split=10"
All Features,All Features,17214,No,No,Linear Regression,2.690909091,1.236363636,0.29706095,0.281818182,0.543632439,0.654545455,0.153563738,
All Features,All Features,17214,Yes,No,Linear Regression,2.690909091,1.236363636,0.29706095,0.281818182,0.543632439,0.654545455,0.326879501,
Lasso_0.01,Lasso,374,No,No,Linear Regression,1.945454545,1.054545455,0.336490075,0.3,0.624980086,0.718181818,0.025052547,
Lasso_0.01,Lasso,367,Yes,No,Linear Regression,2.390909091,1.1,0.381483096,0.363636364,0.541477795,0.672727273,0.029792786,
Lasso_0.1,Lasso,106,No,No,Linear Regression,1.245454545,0.809090909,0.404173817,0.381818182,0.731917316,0.836363636,0.006984472,
Lasso_0.1,Lasso,101,Yes,No,Linear Regression,1.372727273,0.845454545,0.384740284,0.345454545,0.715689295,0.863636364,0.007811785,
Lasso_0.8,Lasso,5,Yes,No,Linear Regression,1.881818182,1.118181818,0.222492639,0.227272727,0.553336733,0.690909091,0.006124973,
Lasso_0.8,Lasso,1,No,No,Linear Regression,2.127272727,1.254545455,0.127489885,0.163636364,0.409334986,0.6,0.005853653,
PCA100,PCA,100,Yes,No,Linear Regression,1.527272727,0.909090909,0.368210064,0.345454545,0.689108711,0.790909091,0.007206202,
PCA100,PCA,100,No,No,Linear Regression,1.436363636,0.909090909,0.321966892,0.318181818,0.680173715,0.809090909,0.007667542,
PCA300,PCA,300,Yes,No,Linear Regression,1.672727273,0.927272727,0.390859664,0.363636364,0.677409072,0.763636364,0.019908428,
PCA300,PCA,300,No,No,Linear Regression,1.881818182,1.009090909,0.344709223,0.318181818,0.634990863,0.754545455,0.019910812,
PCA50,PCA,50,Yes,No,Linear Regression,1.572727273,0.954545455,0.314176499,0.318181818,0.654891009,0.763636364,0.006361723,
PCA50,PCA,50,No,No,Linear Regression,1.581818182,0.963636364,0.307507125,0.327272727,0.620253165,0.727272727,0.00663662,
Ridge100,Ridge,100,No,No,Linear Regression,2.554545455,1.227272727,0.269333386,0.245454545,0.465095352,0.672727273,0.007743835,
Ridge100,Ridge,100,Yes,No,Linear Regression,2.636363636,1.254545455,0.270555072,0.245454545,0.451343263,0.654545455,0.007239103,
Ridge300,Ridge,300,No,No,Linear Regression,2.154545455,1.027272727,0.414233576,0.372727273,0.588112617,0.718181818,0.018505335,
Ridge300,Ridge,300,Yes,No,Linear Regression,2.409090909,1.154545455,0.335487361,0.309090909,0.542630307,0.672727273,0.019702435,
Ridge50,Ridge,50,No,No,Linear Regression,2.436363636,1.254545455,0.225602577,0.227272727,0.404757097,0.609090909,0.006726503,
Ridge50,Ridge,50,Yes,No,Linear Regression,2.990909091,1.336363636,0.241114608,0.227272727,0.336133837,0.636363636,0.006429195,
All Features,All Features,17214,Yes,No,Naive Model,5.618181818,1.945454545,0.148902781,0.145454545,0.049735805,0.436363636,0.005477428,
All Features,All Features,17214,No,No,Naive Model,6,1.963636364,0.182753247,0.172727273,-0.089206949,0.445454545,0.005273342,
Lasso_0.01,Lasso,374,No,No,Naive Model,5.972727273,1.936363636,0.19293677,0.190909091,-0.10487693,0.436363636,0.007030725,
Lasso_0.01,Lasso,367,Yes,No,Naive Model,7.145454545,2.236363636,0.084918683,0.090909091,-0.246000865,0.390909091,0.005463839,
Lasso_0.1,Lasso,101,Yes,No,Naive Model,6.081818182,2.027272727,0.141119369,0.136363636,0.045153756,0.409090909,0.005518198,
Lasso_0.1,Lasso,106,No,No,Naive Model,5.645454545,1.918181818,0.172758841,0.163636364,-0.057332136,0.436363636,0.005204916,
Lasso_0.8,Lasso,1,No,No,Naive Model,4.427272727,1.681818182,0.215457929,0.209090909,0.184204916,0.445454545,0.005134821,
Lasso_0.8,Lasso,5,Yes,No,Naive Model,6.345454545,2.054545455,0.183632197,0.163636364,0.021287444,0.390909091,0.005501986,
PCA100,PCA,100,No,No,Naive Model,5.036363636,1.818181818,0.146612447,0.145454545,-0.00299549,0.445454545,0.005698919,
PCA100,PCA,100,Yes,No,Naive Model,6.618181818,2.018181818,0.2229431,0.218181818,-0.063225258,0.436363636,0.005042076,
PCA300,PCA,300,Yes,No,Naive Model,4.827272727,1.736363636,0.165087954,0.154545455,0.197730956,0.536363636,0.005937099,
PCA300,PCA,300,No,No,Naive Model,5.872727273,1.945454545,0.22138938,0.218181818,-0.041721641,0.4,0.004871845,
PCA50,PCA,50,Yes,No,Naive Model,4.463636364,1.645454545,0.251620047,0.236363636,0.158958547,0.490909091,0.007990122,
PCA50,PCA,50,No,No,Naive Model,5.509090909,1.818181818,0.208530446,0.209090909,-0.062988359,0.481818182,0.007118702,
Ridge100,Ridge,100,Yes,No,Naive Model,6.181818182,2.018181818,0.160507031,0.163636364,0.016126062,0.418181818,0.00561285,
Ridge100,Ridge,100,No,No,Naive Model,5.954545455,1.881818182,0.197056262,0.209090909,-0.062026473,0.490909091,0.005467415,
Ridge300,Ridge,300,No,No,Naive Model,5.936363636,1.936363636,0.203253575,0.190909091,-0.054493673,0.445454545,0.005214691,
Ridge300,Ridge,300,Yes,No,Naive Model,6.654545455,2.2,0.132808081,0.127272727,-0.06918072,0.290909091,0.005590677,
Ridge50,Ridge,50,No,No,Naive Model,5.663636364,1.845454545,0.243045806,0.245454545,-0.032856066,0.454545455,0.004805088,
Ridge50,Ridge,50,Yes,No,Naive Model,6.927272727,2.2,0.115687161,0.109090909,-0.083813908,0.381818182,0.007635593,
All Features,All Features,17214,No,No,Poisson Regression,1.263636364,0.772727273,0.443794883,0.427272727,0.7363884,0.845454545,0.717505217,alpha=10.0
All Features,All Features,17214,Yes,No,Poisson Regression,1.490909091,0.8,0.49056802,0.454545455,0.724133713,0.827272727,1.184489489,alpha=5.0
