dimension_reduction_type,n_features,model,mean_squared_error,mean_absolute_error,f1_score,accuracy_score,execution_time_seconds,alpha,prediction_std,max_depth,min_samples_split,n_estimators
PCA,80,Linear Regression,1.7582119640263447,1.0259750104559549,0.37858189761143785,0.36363636363636365,0.007569313049316406,,,,,
PCA,80,Poisson Regression,2.053756045136986,1.2111703672699414,0.07768847006651886,0.2,0.008198976516723633,10.0,0.2600620547459146,,,
PCA,80,Decision Tree,3.513722326013764,1.4311224886224887,0.27332880008369076,0.2909090909090909,0.022998809814453125,,,10,2.0,
PCA,80,Decision Tree,3.815327665119103,1.5800402375402376,0.20430937785313685,0.20909090909090908,0.02717423439025879,,,10,5.0,
PCA,80,Decision Tree,3.357210441293546,1.450415417915418,0.24761254060743565,0.2545454545454545,0.020580053329467773,,,10,10.0,
PCA,80,Decision Tree,3.8545454545454545,1.5272727272727273,0.23222756586778476,0.23636363636363636,0.02319169044494629,,,20,2.0,
PCA,80,Decision Tree,3.563320707070707,1.4689393939393938,0.2710695187165776,0.2727272727272727,0.02335357666015625,,,20,5.0,
PCA,80,Decision Tree,3.5044649513845942,1.4967784992784994,0.23547758692919984,0.22727272727272727,0.021123886108398438,,,20,10.0,
PCA,80,Decision Tree,4.0181818181818185,1.5272727272727273,0.27335474308300395,0.2727272727272727,0.022338390350341797,,,30,2.0,
PCA,80,Decision Tree,3.203977272727273,1.3886363636363637,0.2582897956353334,0.2545454545454545,0.023416996002197266,,,30,5.0,
PCA,80,Decision Tree,3.571241904590119,1.505652958152958,0.22835752482811306,0.21818181818181817,0.0214536190032959,,,30,10.0,
PCA,80,Decision Tree,3.709090909090909,1.3818181818181818,0.3217326476044964,0.32727272727272727,0.022003173828125,,,None,2.0,
PCA,80,Decision Tree,3.3400252525252525,1.4378787878787878,0.2360348799318011,0.23636363636363636,0.022134065628051758,,,None,5.0,
PCA,80,Decision Tree,3.2160159717927574,1.4222330447330447,0.22947831829187762,0.22727272727272727,0.020901918411254883,,,None,10.0,
PCA,80,Random Forest,2.1305995828013433,1.2202586873595545,0.1793867947121372,0.20909090909090908,0.12122225761413574,,,10,,10.0
PCA,80,Random Forest,2.3141818181818183,1.2527272727272731,0.15784245580434475,0.2,0.12107539176940918,,,20,,10.0
PCA,80,Random Forest,2.0985454545454543,1.1999999999999997,0.19165088619820078,0.24545454545454545,0.12331533432006836,,,30,,10.0
PCA,80,Random Forest,2.188727272727273,1.2399999999999998,0.2044189788705918,0.22727272727272727,0.1204683780670166,,,None,,10.0
PCA,80,Random Forest,2.1728049088809036,1.232300403166946,0.15469821162444114,0.20909090909090908,0.23987221717834473,,,10,,20.0
PCA,80,Random Forest,1.907863636363636,1.1527272727272726,0.17635267145135564,0.23636363636363636,0.24347949028015137,,,20,,20.0
PCA,80,Random Forest,1.989090909090909,1.1863636363636363,0.18769734769734772,0.24545454545454545,0.2501041889190674,,,30,,20.0
PCA,80,Random Forest,2.0263636363636364,1.1436363636363638,0.21377206518051592,0.2727272727272727,0.24274802207946777,,,None,,20.0
