group1,group2,meandiff,p-adj,lower,upper,reject
All Features,Lasso_0.01,-0.0157,1.0,-0.1713,0.14,False
All Features,Lasso_0.1,0.0122,1.0,-0.1435,0.1679,False
All Features,Lasso_0.8,-0.173,0.017,-0.3287,-0.0173,True
All Features,PCA100,-0.1113,0.3956,-0.267,0.0444,False
All Features,PCA300,-0.1471,0.0811,-0.3028,0.0086,False
All Features,PCA50,-0.0974,0.5908,-0.2531,0.0583,False
All Features,Ridge100,-0.1649,0.0286,-0.3206,-0.0092,True
All Features,Ridge300,-0.0931,0.6523,-0.2488,0.0626,False
All Features,Ridge50,-0.2822,0.0,-0.4379,-0.1265,True
Lasso_0.01,Lasso_0.1,0.0278,0.9999,-0.1279,0.1835,False
Lasso_0.01,Lasso_0.8,-0.1573,0.0454,-0.313,-0.0017,True
Lasso_0.01,PCA100,-0.0956,0.6164,-0.2513,0.0601,False
Lasso_0.01,PCA300,-0.1315,0.1775,-0.2872,0.0242,False
Lasso_0.01,PCA50,-0.0818,0.7989,-0.2375,0.0739,False
Lasso_0.01,Ridge100,-0.1493,0.072,-0.305,0.0064,False
Lasso_0.01,Ridge300,-0.0774,0.8453,-0.2331,0.0783,False
Lasso_0.01,Ridge50,-0.2666,0.0,-0.4223,-0.1109,True
Lasso_0.1,Lasso_0.8,-0.1852,0.0074,-0.3409,-0.0295,True
Lasso_0.1,PCA100,-0.1235,0.2512,-0.2792,0.0322,False
Lasso_0.1,PCA300,-0.1593,0.0404,-0.315,-0.0036,True
Lasso_0.1,PCA50,-0.1096,0.4182,-0.2653,0.0461,False
Lasso_0.1,Ridge100,-0.1771,0.0129,-0.3328,-0.0214,True
Lasso_0.1,Ridge300,-0.1053,0.4779,-0.261,0.0504,False
Lasso_0.1,Ridge50,-0.2944,0.0,-0.4501,-0.1387,True
Lasso_0.8,PCA100,0.0617,0.9572,-0.094,0.2174,False
Lasso_0.8,PCA300,0.0259,0.9999,-0.1298,0.1816,False
Lasso_0.8,PCA50,0.0756,0.8632,-0.0801,0.2313,False
Lasso_0.8,Ridge100,0.0081,1.0,-0.1476,0.1638,False
Lasso_0.8,Ridge300,0.0799,0.8195,-0.0758,0.2356,False
Lasso_0.8,Ridge50,-0.1092,0.4229,-0.2649,0.0465,False
PCA100,PCA300,-0.0358,0.9992,-0.1915,0.1199,False
PCA100,PCA50,0.0139,1.0,-0.1418,0.1696,False
PCA100,Ridge100,-0.0537,0.9829,-0.2094,0.102,False
PCA100,Ridge300,0.0182,1.0,-0.1375,0.1739,False
PCA100,Ridge50,-0.171,0.0194,-0.3267,-0.0153,True
PCA300,PCA50,0.0497,0.99,-0.106,0.2054,False
PCA300,Ridge100,-0.0178,1.0,-0.1735,0.1379,False
PCA300,Ridge300,0.054,0.9822,-0.1017,0.2097,False
PCA300,Ridge50,-0.1351,0.1494,-0.2908,0.0206,False
PCA50,Ridge100,-0.0675,0.9263,-0.2232,0.0882,False
PCA50,Ridge300,0.0043,1.0,-0.1514,0.16,False
PCA50,Ridge50,-0.1848,0.0076,-0.3405,-0.0291,True
Ridge100,Ridge300,0.0718,0.8956,-0.0839,0.2275,False
Ridge100,Ridge50,-0.1173,0.3196,-0.273,0.0384,False
Ridge300,Ridge50,-0.1892,0.0055,-0.3449,-0.0335,True
