dimension_reduction_type,Decision Tree StratKFold_cohen_kappa,Decision Tree StratKFold_mae,Decision Tree StratKFold_within1_acc,Linear Regression_cohen_kappa,Linear Regression_mae,Linear Regression_within1_acc,Poisson Regression StratKFold_cohen_kappa,Poisson Regression StratKFold_mae,Poisson Regression StratKFold_within1_acc,Random Forest StratKFold_cohen_kappa,Random Forest StratKFold_mae,Random Forest StratKFold_within1_acc
All Features,0.564787339,1.090909091,0.690909091,0.543632439,1.236363636,0.654545455,0.724133713,0.8,0.827272727,0.787931367,0.690909091,0.827272727
PCA50,0.391743732,1.236363636,0.636363636,0.637572087,0.9590909095,0.7454545455,0.622944244,0.981818182,0.727272727,0.743698052,0.772727273,0.854545455
PCA100,0.361014737,1.3,0.645454545,0.684641213,0.909090909,0.8,0.668142318,0.909090909,0.8,0.60313183,1.009090909,0.7
PCA300,0.399969526,1.363636364,0.590909091,0.6561999675,0.9681818179999999,0.7590909095,0.646575427,1.0,0.745454545,0.459544219,1.154545455,0.645454545
Lasso_0.01,0.516538714,1.218181818,0.690909091,0.5832289405,1.0772727275,0.6954545455000001,0.615081492,1.036363636,0.727272727,0.813771433,0.609090909,0.854545455
Lasso_0.1,0.420935412,1.363636364,0.581818182,0.7238033054999999,0.827272727,0.85,0.733391456,0.790909091,0.863636364,0.777511894,0.709090909,0.818181818
Lasso_0.8,0.567623393,1.1,0.7,0.4813358595,1.1863636364999999,0.6454545455,0.557887686,1.127272727,0.745454545,0.57870729,1.081818182,0.718181818
Ridge50,0.201494242,1.572727273,0.509090909,0.37044546700000003,1.2954545455,0.6227272724999999,0.277899344,1.418181818,0.636363636,0.489473222,1.245454545,0.6
Ridge100,0.458716142,1.281818182,0.636363636,0.4582193075,1.2409090909999998,0.663636364,0.463859068,1.236363636,0.627272727,0.605626864,1.036363636,0.690909091
Ridge300,0.289601251,1.445454545,0.581818182,0.565371462,1.0909090909999999,0.6954545455000001,0.593582712,1.027272727,0.736363636,0.797646422,0.672727273,0.836363636
